collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18167,11.9,10.4,27.0,0.0,11.9,11.9
2020-08-09,IN,18167,16.0,13.6,24.6,0.0,16.0,16.0
2020-08-16,IN,18167,33.6,30.3,31.2,0.0,33.7,33.6
2020-08-23,IN,18167,36.1,33.6,27.9,0.0,36.4,36.1
2020-08-30,IN,18167,32.6,30.0,32.4,0.0,32.9,32.6
2020-09-06,IN,18167,29.6,27.1,37.2,0.0,29.6,29.6
2020-09-13,IN,18167,23.6,21.3,33.0,0.0,23.7,23.6
2020-09-20,IN,18167,15.4,14.3,26.3,0.0,15.4,15.4
2020-09-27,IN,18167,18.4,17.1,32.0,0.0,18.4,18.4
2020-10-04,IN,18167,30.700000000000003,29.700000000000003,34.3,0.0,30.700000000000003,30.700000000000003
2020-10-11,IN,18167,43.0,41.4,34.0,0.0,43.0,43.0
2020-10-18,IN,18167,40.6,39.6,29.900000000000002,0.0,40.6,40.6
2020-10-25,IN,18167,46.1,44.3,29.700000000000003,0.0,46.1,46.1
2020-11-01,IN,18167,41.4,40.3,33.0,0.0,41.4,41.4
2020-11-08,IN,18167,64.4,60.400000000000006,36.0,0.0,64.4,64.4
2020-11-15,IN,18167,83.6,79.5,37.3,0.0,83.69999999999999,83.6
2020-11-22,IN,18167,89.6,88.80000000000001,35.2,0.0,89.6,89.6
2020-11-29,IN,18167,86.4,84.7,37.7,0.0,86.4,86.4
2020-12-06,IN,18167,69.0,68.0,41.5,0.0,69.1,69.0
2020-12-13,IN,18167,68.2,67.0,40.3,0.0,68.2,68.2
2020-12-20,IN,18167,67.0,64.7,36.6,0.0,67.0,67.0
2020-12-27,IN,18167,52.2,50.7,31.1,0.0,52.2,52.2
2021-01-03,IN,18167,54.5,52.0,33.7,0.0,54.6,54.5
2021-01-10,IN,18167,49.0,47.7,37.9,0.0,49.0,49.0
2021-01-17,IN,18167,43.9,39.4,34.5,0.0,43.9,43.9
2021-01-24,IN,18167,44.9,44.0,39.099999999999994,0.0,44.9,44.9
2021-01-31,IN,18167,43.7,43.2,33.2,0.0,43.7,43.7
2021-02-07,IN,18167,30.3,29.2,33.1,0.0,30.3,30.3
2021-02-14,IN,18167,23.5,22.9,31.4,0.0,23.5,23.5
2021-02-21,IN,18167,22.6,22.3,32.400000000000006,0.0,22.6,22.6
2021-02-28,IN,18167,20.6,20.4,30.700000000000003,0.0,20.6,20.6
2021-03-07,IN,18167,11.9,11.6,29.099999999999998,0.0,11.9,11.9
2021-03-14,IN,18167,13.3,12.4,29.299999999999997,0.0,13.3,13.3
2021-03-21,IN,18167,10.4,10.3,32.5,0.0,10.4,10.4
2021-03-28,IN,18167,5.6,4.9,32.3,0.0,5.6,5.6
2021-04-04,IN,18167,5.4,5.0,32.6,0.0,5.4,5.4
2021-04-11,IN,18167,10.9,10.6,34.0,0.0,11.0,10.9
2021-04-18,IN,18167,11.3,11.1,34.2,0.0,11.3,11.3
2021-04-25,IN,18167,14.3,13.9,33.5,0.0,14.3,14.3
2021-05-02,IN,18167,16.5,16.0,32.9,0.0,16.700000000000003,16.5
2021-05-09,IN,18167,6.6,6.4,29.8,0.0,6.6,6.6
2021-05-16,IN,18167,9.7,9.3,34.7,0.0,9.7,9.7
2021-05-23,IN,18167,11.5,10.899999999999999,34.4,0.0,11.5,11.5
2021-05-30,IN,18167,4.7,4.0,30.4,0.0,4.9,4.7
2021-06-06,IN,18167,0,0,28.4,0.0,0,0.0
2021-06-13,IN,18167,0,0,29.799999999999997,0.0,0,0.0
2021-06-20,IN,18167,0,0,33.1,0.0,0,0.0
2021-06-27,IN,18167,4.1,0,27.0,0.0,4.4,4.1
2021-07-04,IN,18167,6.3,5.4,28.0,0.0,6.3,6.3
2021-07-11,IN,18167,8.4,7.4,32.7,0.0,8.4,8.4
2021-07-18,IN,18167,10.0,9.6,30.0,0.0,10.0,10.0
2021-07-25,IN,18167,18.3,16.3,30.799999999999997,0.0,18.3,18.3
2021-08-01,IN,18167,35.3,34.5,32.0,0.0,35.5,35.3
2021-08-08,IN,18167,51.3,50.2,33.7,0.0,51.3,51.3
2021-08-15,IN,18167,49.9,48.8,33.9,0.0,50.300000000000004,49.9
2021-08-22,IN,18167,65.9,64.8,35.4,0.0,66.3,65.9
2021-08-29,IN,18167,73.0,71.2,37.0,0.0,74.6,73.0
2021-09-05,IN,18167,79.8,79.2,33.599999999999994,0.0,80.8,79.8
2021-09-12,IN,18167,79.7,78.30000000000001,34.7,0,80.3,79.7
2021-09-19,IN,18167,76.8,74.3,34.3,0.0,76.8,76.8
2021-09-26,IN,18167,74.0,71.69999999999999,37.2,0.0,74.4,74.0
2021-10-03,IN,18167,56.5,55.5,32.900000000000006,0.0,56.6,56.5
2021-10-10,IN,18167,48.2,47.1,33.4,0.0,48.4,48.2
2021-10-17,IN,18167,31.700000000000003,30.9,34.6,0.0,31.799999999999997,31.700000000000003
2021-10-24,IN,18167,23.3,19.9,34.0,0.0,23.6,23.3
2021-10-31,IN,18167,27.4,26.5,30.599999999999998,0.0,27.4,27.4
2021-11-07,IN,18167,35.6,33.3,33.2,0.0,35.6,35.6
2021-11-14,IN,18167,36.1,34.6,36.5,0.0,36.1,36.1
2021-11-21,IN,18167,35.7,35.0,33.400000000000006,0.0,35.9,35.7
2021-11-28,IN,18167,53.0,52.9,34.9,0.0,53.0,53.0
2021-12-05,IN,18167,57.300000000000004,56.7,37.1,0.0,57.300000000000004,57.300000000000004
2021-12-12,IN,18167,59.0,58.8,36.599999999999994,0.0,59.0,59.0
2021-12-19,IN,18167,63.4,63.3,34.9,0.0,63.4,63.4
