collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,IN,18183,0,0.0,0.0,0.0,0,0.0
2020-08-09,IN,18183,0,0,0.0,0,0,0.0
2020-08-16,IN,18183,0,0,0.0,0.0,0,0.0
2020-08-23,IN,18183,0,0.0,0.0,0.0,0,0.0
2020-08-30,IN,18183,0,0,0.0,0.0,0,0.0
2020-09-06,IN,18183,0,0,0.0,0.0,0,0.0
2020-09-13,IN,18183,0,0,0.0,0.0,0,0.0
2020-09-20,IN,18183,0,0,0.0,0.0,0,0.0
2020-09-27,IN,18183,0,0,0.0,0.0,0,0.0
2020-10-04,IN,18183,0,0,0.0,0.0,0,0.0
2020-10-11,IN,18183,0,0,0.0,0.0,0,0.0
2020-10-18,IN,18183,0,0,0.0,0.0,0,0.0
2020-10-25,IN,18183,4.1,0,0.0,0.0,4.1,4.1
2020-11-01,IN,18183,5.7,0,0.0,0.0,5.7,5.7
2020-11-08,IN,18183,7.7,5.7,0.0,0.0,7.7,7.7
2020-11-15,IN,18183,10.6,8.1,0.0,0.0,10.6,10.6
2020-11-22,IN,18183,10.0,8.4,0.0,0.0,10.0,10.0
2020-11-29,IN,18183,6.4,5.4,0.0,0.0,6.4,6.4
2020-12-06,IN,18183,11.6,10.0,0.0,0.0,11.6,11.6
2020-12-13,IN,18183,10.1,9.6,0.0,0.0,10.1,10.1
2020-12-20,IN,18183,9.9,9.1,0.0,0.0,9.9,9.9
2020-12-27,IN,18183,7.9,7.3,0.0,0.0,7.9,7.9
2021-01-03,IN,18183,7.6,7.0,0.0,0.0,7.6,7.6
2021-01-10,IN,18183,7.1,6.7,0.0,0.0,7.1,7.1
2021-01-17,IN,18183,4.1,0,0.0,0.0,4.1,4.1
2021-01-24,IN,18183,4.7,4.0,0.0,0.0,4.7,4.7
2021-01-31,IN,18183,0,0,0.0,0,0,0.0
2021-02-07,IN,18183,0,0,0.0,0.0,0,0.0
2021-02-14,IN,18183,0,0,0.0,0.0,0,0.0
2021-02-21,IN,18183,0,0,0.0,0.0,0,0.0
2021-02-28,IN,18183,0,0,0.0,0.0,0,0.0
2021-03-07,IN,18183,0,0,0.0,0.0,0,0.0
2021-03-14,IN,18183,0,0.0,0.0,0.0,0,0.0
2021-03-21,IN,18183,0,0,0.0,0.0,0,0.0
2021-03-28,IN,18183,0,0,0.0,0.0,0,0.0
2021-04-04,IN,18183,0,0,0.0,0.0,0,0.0
2021-04-11,IN,18183,0,0,0.0,0.0,0,0.0
2021-04-18,IN,18183,0,0,0.0,0.0,0,0.0
2021-04-25,IN,18183,0,0,0.0,0.0,0,0.0
2021-05-02,IN,18183,0,0,0.0,0.0,0,0.0
2021-05-09,IN,18183,0,0,0.0,0.0,0,0.0
2021-05-16,IN,18183,0,0,0.0,0.0,0,0.0
2021-05-23,IN,18183,0,0,0.0,0.0,0,0.0
2021-05-30,IN,18183,0,0,0.0,0.0,0,0.0
2021-06-06,IN,18183,0,0,0.0,0.0,0,0.0
2021-06-13,IN,18183,0,0,0.0,0.0,0,0.0
2021-06-20,IN,18183,0,0,0.0,0.0,0,0.0
2021-06-27,IN,18183,0,0.0,0.0,0.0,0,0.0
2021-07-04,IN,18183,0,0.0,0.0,0.0,0,0.0
2021-07-11,IN,18183,0,0,0.0,0.0,0,0.0
2021-07-18,IN,18183,0,0,0.0,0.0,0,0.0
2021-07-25,IN,18183,0,0,0.0,0.0,0,0.0
2021-08-01,IN,18183,4.4,4.0,0.0,0.0,4.4,4.4
2021-08-08,IN,18183,0,0,0.0,0.0,0,0.0
2021-08-15,IN,18183,4.4,4.4,0.0,0.0,4.4,4.4
2021-08-22,IN,18183,5.3,5.0,0.0,0.0,5.3,5.3
2021-08-29,IN,18183,6.0,6.0,0.0,0.0,6.0,6.0
2021-09-05,IN,18183,7.1,6.7,0.0,0.0,7.1,7.1
2021-09-12,IN,18183,7.6,7.6,0.0,0.0,7.6,7.6
2021-09-19,IN,18183,4.0,0,0.0,0.0,4.0,4.0
2021-09-26,IN,18183,0,0,0.0,0.0,0,0.0
2021-10-03,IN,18183,4.3,0,0.0,0.0,4.3,4.3
2021-10-10,IN,18183,0,0,0.0,0.0,0,0.0
2021-10-17,IN,18183,0,0,0.0,0.0,0,0.0
2021-10-24,IN,18183,5.3,5.0,0.0,0.0,5.3,5.3
2021-10-31,IN,18183,4.1,4.1,0.0,0.0,4.1,4.1
2021-11-07,IN,18183,4.1,0,0.0,0.0,4.1,4.1
2021-11-14,IN,18183,7.0,6.1,0.0,0.0,7.0,7.0
2021-11-21,IN,18183,9.0,8.1,0.0,0.0,9.0,9.0
2021-11-28,IN,18183,8.1,7.7,0.0,0.0,8.1,8.1
2021-12-05,IN,18183,13.0,12.6,0.0,0.0,13.0,13.0
2021-12-12,IN,18183,10.3,9.1,0.0,0.0,10.3,10.3
2021-12-19,IN,18183,13.1,12.9,0.0,0.0,13.1,13.1
2021-12-26,IN,18183,12.4,11.9,0.0,0.0,12.4,12.4
