collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KS,20035,0,0,0,0.0,7.0,0.0
2020-08-09,KS,20035,0,0,0,0,0.0,0.0
2020-08-16,KS,20035,0,0,0,0,0.0,0.0
2020-08-23,KS,20035,0,0,0,0.0,0,0.0
2020-08-30,KS,20035,0,0,0,0.0,0.0,0.0
2020-09-06,KS,20035,0,0,0,0.0,0.0,0.0
2020-09-13,KS,20035,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,KS,20035,0.0,0.0,0,0,0.0,0.0
2020-09-27,KS,20035,0,0,0,0,0,0.0
2020-10-04,KS,20035,0,0,0,0.0,0.0,0.0
2020-10-11,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,KS,20035,0.0,0.0,0,0.0,0.0,0.0
2020-10-25,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,KS,20035,0,0.0,0,0.0,0,0.0
2020-11-08,KS,20035,0,0.0,0,0.0,0,0.0
2020-11-15,KS,20035,4.7,4.7,0,0.0,4.7,4.7
2020-11-22,KS,20035,6.4,6.4,0,0.0,6.4,6.4
2020-11-29,KS,20035,10.4,10.4,0,0.0,10.4,10.4
2020-12-06,KS,20035,8.1,8.1,0.0,0.0,8.1,8.1
2020-12-13,KS,20035,9.3,9.3,0,0.0,9.3,9.3
2020-12-20,KS,20035,7.4,7.4,0.0,0.0,7.4,7.4
2020-12-27,KS,20035,5.9,5.9,0.0,0.0,5.9,5.9
2021-01-03,KS,20035,8.1,8.1,0.0,0.0,8.4,8.1
2021-01-10,KS,20035,8.0,8.0,0.0,0.0,8.0,8.0
2021-01-17,KS,20035,5.0,5.0,0.0,0.0,5.0,5.0
2021-01-24,KS,20035,8.0,8.0,0,0.0,8.0,8.0
2021-01-31,KS,20035,6.0,6.0,0,0.0,6.0,6.0
2021-02-07,KS,20035,0,0,0.0,0.0,0,0.0
2021-02-14,KS,20035,0,0,0.0,0.0,0,0.0
2021-02-21,KS,20035,0,0,0.0,0.0,0,0.0
2021-02-28,KS,20035,0,0,0.0,0.0,0,0.0
2021-03-07,KS,20035,0,0,0.0,0.0,0,0.0
2021-03-14,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,KS,20035,0,0.0,0.0,0.0,0,0.0
2021-07-25,KS,20035,0,0.0,0.0,0.0,0,0.0
2021-08-01,KS,20035,0,0,0.0,0.0,0,0.0
2021-08-08,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,KS,20035,0,0,0.0,0.0,0,0.0
2021-08-22,KS,20035,0,0,0.0,0.0,0,0.0
2021-08-29,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,KS,20035,0,0,0.0,0.0,0,0.0
2021-09-12,KS,20035,0,0,0.0,0.0,0,0.0
2021-09-19,KS,20035,0,0,0.0,0.0,0,0.0
2021-09-26,KS,20035,0,0,0.0,0.0,0,0.0
2021-10-03,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-24,KS,20035,0,0,0.0,0.0,0,0.0
2021-10-31,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-14,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-28,KS,20035,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-05,KS,20035,0,0,0.0,0.0,0,0.0
2021-12-12,KS,20035,0,0,0.0,0.0,0,0.0
2021-12-19,KS,20035,0,0,0.0,0.0,0,0.0
2021-12-26,KS,20035,0,0,0.0,0.0,0,0.0
