collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KS,20045,5.4,4.9,0.0,0,5.6,5.4
2020-08-09,KS,20045,5.7,5.7,0.0,0.0,5.7,5.7
2020-08-16,KS,20045,7.1,7.1,0.0,0.0,7.1,7.1
2020-08-23,KS,20045,8.0,7.7,0.0,0.0,8.0,8.0
2020-08-30,KS,20045,5.7,5.7,0.0,0.0,5.7,5.7
2020-09-06,KS,20045,6.6,6.1,0.0,0.0,6.6,6.6
2020-09-13,KS,20045,4.6,4.6,0.0,0.0,4.6,4.6
2020-09-20,KS,20045,0,0,0.0,0.0,0,0.0
2020-09-27,KS,20045,4.1,4.1,0.0,0.0,4.1,4.1
2020-10-04,KS,20045,0,0,0.0,0.0,0,0.0
2020-10-11,KS,20045,0,0,0.0,0.0,0,0.0
2020-10-18,KS,20045,9.0,4.7,17.0,0.0,9.0,9.0
2020-10-25,KS,20045,16.6,7.1,16.0,0,16.9,16.6
2020-11-01,KS,20045,25.3,11.6,14.3,0,25.4,25.3
2020-11-08,KS,20045,25.9,20.6,19.0,0,26.0,25.9
2020-11-15,KS,20045,38.0,32.3,20.7,0,38.1,38.0
2020-11-22,KS,20045,29.6,25.7,19.0,0.0,29.6,29.6
2020-11-29,KS,20045,25.0,22.9,19.9,0.0,25.0,25.0
2020-12-06,KS,20045,25.0,23.3,18.4,0.0,25.0,25.0
2020-12-13,KS,20045,22.1,20.7,17.9,0.0,22.1,22.1
2020-12-20,KS,20045,22.9,21.1,20.6,0.0,22.9,22.9
2020-12-27,KS,20045,24.9,21.1,20.6,0.0,24.9,24.9
2021-01-03,KS,20045,18.9,17.9,17.9,0.0,18.9,18.9
2021-01-10,KS,20045,16.3,15.1,15.7,0.0,16.3,16.3
2021-01-17,KS,20045,18.4,13.1,19.7,0.0,18.4,18.4
2021-01-24,KS,20045,17.3,14.6,18.6,0.0,17.3,17.3
2021-01-31,KS,20045,10.3,9.7,18.6,0.0,10.3,10.3
2021-02-07,KS,20045,8.9,8.1,19.1,0,9.0,8.9
2021-02-14,KS,20045,8.0,8.0,19.0,0.0,8.0,8.0
2021-02-21,KS,20045,7.4,7.4,19.9,0,7.7,7.4
2021-02-28,KS,20045,6.7,6.7,17.9,0,6.9,6.7
2021-03-07,KS,20045,6.1,6.1,16.1,0.0,6.1,6.1
2021-03-14,KS,20045,0,0,19.7,0.0,0,0.0
2021-03-21,KS,20045,4.1,4.1,19.6,0.0,4.1,4.1
2021-03-28,KS,20045,0,0,19.4,0,0,0.0
2021-04-04,KS,20045,5.1,5.1,16.1,0.0,5.1,5.1
2021-04-11,KS,20045,5.3,5.3,20.0,0,5.4,5.3
2021-04-18,KS,20045,0,0,17.0,0.0,0,0.0
2021-04-25,KS,20045,4.3,4.3,16.7,0.0,4.3,4.3
2021-05-02,KS,20045,4.1,4.1,14.7,0.0,4.1,4.1
2021-05-09,KS,20045,0,0,17.0,0,0,0.0
2021-05-16,KS,20045,0,0,16.7,0.0,0,0.0
2021-05-23,KS,20045,0,0,18.6,0.0,0,0.0
2021-05-30,KS,20045,0,0,17.0,0.0,0,0.0
2021-06-06,KS,20045,0,0,16.4,0.0,0,0.0
2021-06-13,KS,20045,0,0,16.7,0.0,0,0.0
2021-06-20,KS,20045,0,0,18.9,0.0,0,0.0
2021-06-27,KS,20045,0,0,17.6,0.0,0,0.0
2021-07-04,KS,20045,0,0,17.1,0.0,0,0.0
2021-07-11,KS,20045,4.6,4.1,18.4,0.0,4.6,4.6
2021-07-18,KS,20045,4.9,4.9,18.7,0,5.0,4.9
2021-07-25,KS,20045,8.9,6.0,20.4,0.0,8.9,8.9
2021-08-01,KS,20045,17.1,7.6,20.1,0.0,17.1,17.1
2021-08-08,KS,20045,17.3,14.9,20.3,0,17.4,17.3
2021-08-15,KS,20045,16.1,15.9,20.0,0.0,16.1,16.1
2021-08-22,KS,20045,14.0,13.4,18.6,0,14.1,14.0
2021-08-29,KS,20045,14.9,14.9,20.7,0,15.1,14.9
2021-09-05,KS,20045,16.3,15.6,18.7,0.0,16.3,16.3
2021-09-12,KS,20045,16.3,14.3,21.4,0.0,16.3,16.3
2021-09-19,KS,20045,15.6,14.9,20.0,0.0,15.6,15.6
2021-09-26,KS,20045,10.6,9.7,17.6,0.0,10.6,10.6
2021-10-03,KS,20045,9.9,9.9,20.7,0.0,9.9,9.9
2021-10-10,KS,20045,7.1,7.1,20.3,0,7.3,7.1
2021-10-17,KS,20045,4.7,4.7,21.3,0,4.9,4.7
2021-10-24,KS,20045,6.1,6.1,21.3,0,6.4,6.1
2021-10-31,KS,20045,0,0,19.0,0,0,0.0
2021-11-07,KS,20045,4.1,4.1,20.6,0,4.3,4.1
2021-11-14,KS,20045,6.3,6.3,20.4,0,6.6,6.3
2021-11-21,KS,20045,7.3,7.3,16.9,0.0,7.3,7.3
2021-11-28,KS,20045,8.6,8.6,19.0,0,8.7,8.6
2021-12-05,KS,20045,15.3,15.3,21.6,0,15.4,15.3
2021-12-12,KS,20045,17.6,15.1,19.6,0.0,17.6,17.6
2021-12-19,KS,20045,14.3,12.1,19.7,0.0,14.3,14.3
2021-12-26,KS,20045,15.6,15.6,22.4,0.0,15.6,15.6
