collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21019,10.3,7.1,27.1,0.0,10.3,10.3
2020-08-09,KY,21019,15.0,12.2,15.8,0.0,15.0,15.0
2020-08-16,KY,21019,15.6,11.4,17.2,0.0,15.6,15.6
2020-08-23,KY,21019,16.0,12.3,18.8,0.0,16.0,16.0
2020-08-30,KY,21019,17.8,15.8,12.5,0.0,17.8,17.8
2020-09-06,KY,21019,34.7,27.0,19.9,0.0,34.7,34.7
2020-09-13,KY,21019,30.1,28.0,17.0,0.0,30.1,30.1
2020-09-20,KY,21019,27.4,25.9,14.4,0.0,27.4,27.4
2020-09-27,KY,21019,37.7,36.9,15.3,0.0,37.7,37.7
2020-10-04,KY,21019,27.6,27.6,14.0,0.0,27.6,27.6
2020-10-11,KY,21019,27.9,27.4,15.0,0.0,27.9,27.9
2020-10-18,KY,21019,28.7,27.9,16.4,0.0,28.7,28.7
2020-10-25,KY,21019,33.1,30.4,20.9,0.0,33.1,33.1
2020-11-01,KY,21019,35.7,31.9,23.0,0.0,35.7,35.7
2020-11-08,KY,21019,41.1,38.4,28.0,0.0,41.1,41.1
2020-11-15,KY,21019,55.9,54.4,29.4,0.0,55.9,55.9
2020-11-22,KY,21019,71.9,69.7,30.1,0.0,71.9,71.9
2020-11-29,KY,21019,67.9,64.4,25.6,0.0,67.9,67.9
2020-12-06,KY,21019,68.7,64.6,25.6,0.0,68.7,68.7
2020-12-13,KY,21019,74.7,71.0,24.7,0.0,74.7,74.7
2020-12-20,KY,21019,62.7,58.7,22.1,0.0,62.7,62.7
2020-12-27,KY,21019,68.9,63.1,24.6,0,69.0,68.9
2021-01-03,KY,21019,79.6,73.0,24.7,0.0,79.6,79.6
2021-01-10,KY,21019,69.3,64.4,25.3,0,69.4,69.3
2021-01-17,KY,21019,55.3,50.7,28.1,0.0,55.3,55.3
2021-01-24,KY,21019,50.6,45.9,23.1,0.0,50.6,50.6
2021-01-31,KY,21019,38.0,33.0,26.3,0.0,38.0,38.0
2021-02-07,KY,21019,38.0,31.6,24.9,0.0,38.0,38.0
2021-02-14,KY,21019,31.9,29.6,24.4,0.0,31.9,31.9
2021-02-21,KY,21019,32.3,28.9,22.4,0.0,32.3,32.3
2021-02-28,KY,21019,12.4,10.6,21.6,0.0,12.4,12.4
2021-03-07,KY,21019,10.3,9.3,19.1,0.0,10.3,10.3
2021-03-14,KY,21019,9.3,9.0,16.3,0.0,9.3,9.3
2021-03-21,KY,21019,6.7,5.9,21.0,0.0,6.7,6.7
2021-03-28,KY,21019,0,0,19.4,0.0,0,0.0
2021-04-04,KY,21019,8.3,8.3,21.1,0.0,8.3,8.3
2021-04-11,KY,21019,6.7,6.7,23.7,0.0,6.7,6.7
2021-04-18,KY,21019,5.9,5.7,18.9,0.0,5.9,5.9
2021-04-25,KY,21019,5.9,5.6,20.1,0.0,5.9,5.9
2021-05-02,KY,21019,7.0,7.0,22.0,0.0,7.0,7.0
2021-05-09,KY,21019,10.1,9.6,18.3,0.0,10.1,10.1
2021-05-16,KY,21019,9.1,8.6,18.7,0.0,9.1,9.1
2021-05-23,KY,21019,8.9,8.7,17.7,0.0,8.9,8.9
2021-05-30,KY,21019,5.4,5.3,16.3,0.0,5.4,5.4
2021-06-06,KY,21019,5.6,5.6,20.3,0.0,5.6,5.6
2021-06-13,KY,21019,4.6,4.6,16.0,0.0,4.6,4.6
2021-06-20,KY,21019,5.9,5.9,19.1,0.0,5.9,5.9
2021-06-27,KY,21019,4.6,4.6,21.6,0.0,4.6,4.6
2021-07-04,KY,21019,6.3,6.3,21.1,0.0,6.3,6.3
2021-07-11,KY,21019,6.3,6.3,20.0,0.0,6.3,6.3
2021-07-18,KY,21019,13.1,13.1,16.7,0.0,13.1,13.1
