collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21059,15.4,8.6,21.0,0.0,15.4,15.4
2020-08-09,KY,21059,12.3,9.6,27.3,0,12.4,12.3
2020-08-16,KY,21059,14.3,10.1,26.4,0.0,14.3,14.3
2020-08-23,KY,21059,14.1,7.9,24.4,0,14.4,14.1
2020-08-30,KY,21059,15.7,12.3,23.6,0.0,15.7,15.7
2020-09-06,KY,21059,10.9,8.0,22.1,0.0,10.9,10.9
2020-09-13,KY,21059,7.9,0,16.3,0.0,7.9,7.9
2020-09-20,KY,21059,9.9,7.7,18.4,0.0,9.9,9.9
2020-09-27,KY,21059,13.0,13.0,21.1,0.0,13.0,13.0
2020-10-04,KY,21059,19.4,19.4,23.4,0.0,19.4,19.4
2020-10-11,KY,21059,24.4,24.4,25.7,0.0,24.4,24.4
2020-10-18,KY,21059,21.9,21.9,26.9,0.0,21.9,21.9
2020-10-25,KY,21059,24.7,24.7,27.4,0.0,24.7,24.7
2020-11-01,KY,21059,26.4,26.4,26.7,0.0,26.4,26.4
2020-11-08,KY,21059,32.4,32.4,26.9,0,32.6,32.4
2020-11-15,KY,21059,43.6,43.6,27.9,0.0,43.6,43.6
2020-11-22,KY,21059,33.6,33.6,27.1,0.0,33.6,33.6
2020-11-29,KY,21059,43.0,43.0,28.7,0,43.1,43.0
2020-12-06,KY,21059,37.7,37.7,28.3,0.0,37.7,37.7
2020-12-13,KY,21059,41.0,41.0,25.9,0.0,41.0,41.0
2020-12-20,KY,21059,42.9,42.9,4.4,0.0,42.9,42.9
2020-12-27,KY,21059,40.9,40.9,0,0.0,40.9,40.9
2021-01-03,KY,21059,41.6,41.6,0,0.0,41.6,41.6
2021-01-10,KY,21059,37.4,37.4,4.4,0.0,37.4,37.4
2021-01-17,KY,21059,31.0,31.0,23.4,0.0,31.0,31.0
2021-01-24,KY,21059,26.3,26.3,25.9,0.0,26.3,26.3
2021-01-31,KY,21059,23.0,23.0,28.6,0.0,23.0,23.0
2021-02-07,KY,21059,16.0,16.0,28.4,0,16.1,16.0
2021-02-14,KY,21059,13.9,13.9,27.6,0.0,13.9,13.9
2021-02-21,KY,21059,14.1,14.1,28.9,0.0,14.1,14.1
2021-02-28,KY,21059,7.7,7.7,25.9,0.0,7.7,7.7
2021-03-07,KY,21059,8.1,8.1,26.6,0.0,8.1,8.1
2021-03-14,KY,21059,6.6,6.6,24.6,0.0,6.6,6.6
2021-03-21,KY,21059,4.0,4.0,17.0,0.0,4.0,4.0
