collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21111,270.9,108.9,284.7,20.0,293.7,290.9
2020-08-09,KY,21111,261.9,136.7,263.3,17.7,280.0,279.59999999999997
2020-08-16,KY,21111,212.4,129.3,270.4,8.9,221.79999999999998,221.3
2020-08-23,KY,21111,209.5,124.6,267.3,10.6,220.39999999999998,220.1
2020-08-30,KY,21111,198.3,109.6,263.3,11.0,209.3,209.3
2020-09-06,KY,21111,169.29999999999998,94.0,260.0,8.1,177.4,177.39999999999998
2020-09-13,KY,21111,192.5,111.5,269.9,6.7,199.20000000000002,199.2
2020-09-20,KY,21111,185.50000000000003,108.4,271.5,10.7,196.20000000000002,196.20000000000002
2020-09-27,KY,21111,177.0,98.2,256.5,9.0,186.0,186.0
2020-10-04,KY,21111,205.49999999999997,118.8,272.3,11.1,216.7,216.59999999999997
2020-10-11,KY,21111,233.0,146.7,282.0,11.6,244.6,244.6
2020-10-18,KY,21111,263.4,188.79999999999998,287.5,8.9,272.3,272.29999999999995
2020-10-25,KY,21111,290.09999999999997,225.09999999999997,289.2,8.0,298.09999999999997,298.09999999999997
2020-11-01,KY,21111,324.6,255.20000000000002,292.1,10.7,335.3,335.3
2020-11-08,KY,21111,366.90000000000003,290.1,292.4,11.3,378.2,378.20000000000005
2020-11-15,KY,21111,426.4,347.0,300.9,13.3,439.7,439.7
2020-11-22,KY,21111,474.90000000000003,384.4,295.0,10.9,485.70000000000005,485.8
2020-11-29,KY,21111,466.6,383.70000000000005,282.0,10.7,477.3,477.3
2020-12-06,KY,21111,437.79999999999995,364.8,286.6,9.4,447.29999999999995,447.19999999999993
2020-12-13,KY,21111,452.79999999999995,360.5,291.5,9.3,462.0,462.09999999999997
2020-12-20,KY,21111,407.3,341.59999999999997,278.5,8.1,415.4,415.40000000000003
2020-12-27,KY,21111,404.0,332.0,287.3,8.6,412.59999999999997,412.6
2021-01-03,KY,21111,420.6,344.5,286.9,14.1,434.7,434.70000000000005
2021-01-10,KY,21111,424.09999999999997,355.09999999999997,288.2,10.4,434.49999999999994,434.49999999999994
2021-01-17,KY,21111,418.29999999999995,352.0,292.2,10.0,428.29999999999995,428.29999999999995
2021-01-24,KY,21111,419.1,359.3,300.5,9.9,429.00000000000006,429.0
2021-01-31,KY,21111,358.2,303.8,295.3,0.0,361.99999999999994,358.2
2021-02-07,KY,21111,331.8,279.0,285.1,5.7,337.5,337.5
2021-02-14,KY,21111,282.2,238.5,276.40000000000003,4.4,286.6,286.59999999999997
2021-02-21,KY,21111,248.60000000000002,206.2,273.3,6.1,254.7,254.70000000000002
2021-02-28,KY,21111,212.9,166.5,263.8,5.7,218.6,218.6
2021-03-07,KY,21111,182.8,133.2,252.10000000000002,5.1,188.0,187.9
2021-03-14,KY,21111,151.1,116.40000000000002,256.4,5.1,156.2,156.2
2021-03-21,KY,21111,127.90000000000002,94.6,255.6,4.3,132.2,132.20000000000002
2021-03-28,KY,21111,118.89999999999999,84.8,249.79999999999998,7.1,126.0,125.99999999999999
2021-04-04,KY,21111,122.9,87.80000000000001,258.0,6.3,129.2,129.20000000000002
2021-04-11,KY,21111,120.89999999999999,87.60000000000001,262.40000000000003,6.0,126.89999999999999,126.89999999999999
