collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21121,4.3,4.3,9.3,0.0,4.7,4.3
2020-08-09,KY,21121,5.1,5.1,7.3,0.0,5.1,5.1
2020-08-16,KY,21121,6.4,6.4,9.0,0.0,6.4,6.4
2020-08-23,KY,21121,5.6,5.6,8.7,0.0,5.6,5.6
2020-08-30,KY,21121,5.1,5.1,9.9,0.0,5.1,5.1
2020-09-06,KY,21121,7.4,7.4,9.4,0.0,7.4,7.4
2020-09-13,KY,21121,8.7,8.7,9.4,0.0,8.7,8.7
2020-09-20,KY,21121,13.1,13.1,8.1,0.0,13.1,13.1
2020-09-27,KY,21121,18.9,18.9,9.6,0.0,18.9,18.9
2020-10-04,KY,21121,23.1,23.1,13.899999999999999,0.0,23.3,23.1
2020-10-11,KY,21121,23.9,23.9,9.9,0.0,23.9,23.9
2020-10-18,KY,21121,23.9,19.9,14.5,0.0,23.9,23.9
2020-10-25,KY,21121,19.9,19.9,9.7,0.0,19.9,19.9
2020-11-01,KY,21121,15.9,15.9,15.2,0.0,15.9,15.9
2020-11-08,KY,21121,14.1,14.1,9.3,0.0,14.1,14.1
2020-11-15,KY,21121,16.1,16.1,9.3,0.0,16.1,16.1
2020-11-22,KY,21121,20.3,20.3,10.0,0.0,20.3,20.3
2020-11-29,KY,21121,22.0,22.0,9.3,0.0,22.0,22.0
2020-12-06,KY,21121,24.3,24.3,15.6,0.0,24.3,24.3
2020-12-13,KY,21121,24.0,24.0,14.600000000000001,0.0,24.0,24.0
2020-12-20,KY,21121,27.0,27.0,14.4,0.0,27.0,27.0
2020-12-27,KY,21121,29.1,28.7,14.3,0.0,29.1,29.1
2021-01-03,KY,21121,36.0,35.7,15.7,0.0,36.0,36.0
2021-01-10,KY,21121,35.7,35.7,15.6,0.0,35.7,35.7
2021-01-17,KY,21121,29.6,29.299999999999997,15.0,0.0,29.6,29.6
2021-01-24,KY,21121,31.900000000000002,31.6,14.1,0.0,31.900000000000002,31.900000000000002
2021-01-31,KY,21121,31.7,31.7,10.0,0.0,31.7,31.7
2021-02-07,KY,21121,28.0,28.0,9.0,0.0,28.0,28.0
2021-02-14,KY,21121,25.3,25.3,14.2,0.0,25.3,25.3
2021-02-21,KY,21121,12.1,12.1,14.2,0.0,12.1,12.1
2021-02-28,KY,21121,9.6,9.6,14.6,0.0,9.6,9.6
2021-03-07,KY,21121,8.4,8.4,14.6,0.0,8.4,8.4
2021-03-14,KY,21121,9.1,9.1,9.7,0.0,9.1,9.1
2021-03-21,KY,21121,12.7,12.7,9.9,0.0,12.7,12.7
2021-03-28,KY,21121,9.7,9.7,13.7,0.0,9.7,9.7
2021-04-04,KY,21121,9.3,9.3,9.7,0.0,9.3,9.3
2021-04-11,KY,21121,7.1,7.1,8.9,0.0,7.1,7.1
2021-04-18,KY,21121,5.0,5.0,9.4,0.0,5.0,5.0
2021-04-25,KY,21121,7.1,7.1,9.7,0.0,7.1,7.1
2021-05-02,KY,21121,4.6,4.6,9.6,0.0,4.6,4.6
2021-05-09,KY,21121,4.4,4.4,9.9,0.0,4.4,4.4
2021-05-16,KY,21121,5.3,5.3,6.7,0.0,5.3,5.3
2021-05-23,KY,21121,8.0,8.0,13.2,0.0,8.0,8.0
