collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21161,0,0,0,0.0,0,0.0
2020-08-09,KY,21161,0,0,0,0.0,0,0.0
2020-08-16,KY,21161,0,0,0,0.0,0,0.0
2020-08-23,KY,21161,0,0,0,0.0,0,0.0
2020-08-30,KY,21161,0,0,0,0.0,0,0.0
2020-09-06,KY,21161,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,KY,21161,0,0,4.3,0,0,0.0
2020-09-20,KY,21161,0,0,0,0.0,0,0.0
2020-09-27,KY,21161,0,0,4.1,0.0,0,0.0
2020-10-04,KY,21161,0,0,0,0.0,0,0.0
2020-10-11,KY,21161,0,0,4.7,0.0,0,0.0
2020-10-18,KY,21161,0,0,0,0.0,0,0.0
2020-10-25,KY,21161,0,0,0,0.0,0,0.0
2020-11-01,KY,21161,4.4,4.0,0,0.0,4.4,4.4
2020-11-08,KY,21161,7.7,7.4,0,0.0,7.7,7.7
2020-11-15,KY,21161,8.4,8.3,4.4,0.0,8.4,8.4
2020-11-22,KY,21161,9.3,9.3,0,0.0,9.3,9.3
2020-11-29,KY,21161,8.6,8.6,0,0.0,8.6,8.6
2020-12-06,KY,21161,8.4,8.4,0,0.0,8.4,8.4
2020-12-13,KY,21161,7.3,7.3,0,0.0,7.3,7.3
2020-12-20,KY,21161,4.3,4.3,4.3,0.0,4.3,4.3
2020-12-27,KY,21161,6.0,6.0,4.0,0.0,6.0,6.0
2021-01-03,KY,21161,6.7,6.7,0,0.0,6.7,6.7
2021-01-10,KY,21161,5.4,5.4,0,0.0,5.4,5.4
2021-01-17,KY,21161,0,0,0,0.0,0,0.0
2021-01-24,KY,21161,5.0,5.0,0,0.0,5.0,5.0
2021-01-31,KY,21161,0,0,0,0.0,0,0.0
2021-02-07,KY,21161,4.0,4.0,0,0.0,4.0,4.0
2021-02-14,KY,21161,0,0,0,0.0,0,0.0
2021-02-21,KY,21161,0,0,0,0.0,0,0.0
2021-02-28,KY,21161,0,0,0,0.0,0,0.0
2021-03-07,KY,21161,0,0,0,0.0,0,0.0
2021-03-14,KY,21161,0,0,0,0.0,0,0.0
2021-03-21,KY,21161,0.0,0.0,0,0.0,0.0,0.0
2021-03-28,KY,21161,0,0,0,0.0,0,0.0
2021-04-04,KY,21161,0,0,0,0.0,0,0.0
2021-04-11,KY,21161,0,0,0,0.0,0,0.0
2021-04-18,KY,21161,0,0,0,0.0,0,0.0
2021-04-25,KY,21161,0,0,0,0.0,0,0.0
2021-05-02,KY,21161,4.4,4.4,0,0.0,4.4,4.4
2021-05-09,KY,21161,0,0,0,0.0,0,0.0
2021-05-16,KY,21161,0,0,0,0.0,0,0.0
2021-05-23,KY,21161,0,0,0,0.0,0,0.0
2021-05-30,KY,21161,0,0,0,0.0,0,0.0
2021-06-06,KY,21161,0,0,0,0.0,0,0.0
2021-06-13,KY,21161,0,0,0,0.0,0,0.0
2021-06-20,KY,21161,0,0,0,0.0,0,0.0
2021-06-27,KY,21161,0,0,0,0.0,0,0.0
2021-07-04,KY,21161,0,0,0,0.0,0,0.0
2021-07-11,KY,21161,0,0,0,0.0,0,0.0
2021-07-18,KY,21161,0,0,0,0.0,0,0.0
2021-07-25,KY,21161,0,0,0,0.0,0,0.0
2021-08-01,KY,21161,8.1,8.1,0,0.0,8.1,8.1
2021-08-08,KY,21161,9.4,9.0,4.0,0.0,9.4,9.4
2021-08-15,KY,21161,7.0,7.0,0,0.0,7.0,7.0
2021-08-22,KY,21161,4.4,4.4,0,0.0,4.4,4.4
2021-08-29,KY,21161,7.1,7.1,0,0.0,7.1,7.1
2021-09-05,KY,21161,7.0,7.0,0,0.0,7.0,7.0
2021-09-12,KY,21161,9.4,9.4,4.6,0.0,9.4,9.4
2021-09-19,KY,21161,8.9,8.9,4.4,0.0,8.9,8.9
2021-09-26,KY,21161,9.0,9.0,0,0.0,9.0,9.0
2021-10-03,KY,21161,8.1,8.1,4.0,0.0,8.1,8.1
2021-10-10,KY,21161,9.0,9.0,4.0,0.0,9.0,9.0
2021-10-17,KY,21161,6.9,6.9,0,0.0,6.9,6.9
2021-10-24,KY,21161,8.6,8.6,0,0.0,8.6,8.6
2021-10-31,KY,21161,6.3,6.3,0,0.0,6.3,6.3
2021-11-07,KY,21161,4.1,4.1,0,0.0,4.1,4.1
2021-11-14,KY,21161,0,0,4.7,0.0,0,0.0
2021-11-21,KY,21161,4.4,4.4,4.3,0.0,4.4,4.4
2021-11-28,KY,21161,6.7,6.7,0,0.0,6.7,6.7
2021-12-05,KY,21161,7.9,7.9,0,0.0,7.9,7.9
2021-12-12,KY,21161,10.4,10.4,0,0.0,10.4,10.4
2021-12-19,KY,21161,7.4,7.4,0,0.0,7.4,7.4
2021-12-26,KY,21161,8.1,8.1,0,0.0,8.1,8.1
