collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21145,13.0,13.0,32.4,0.0,13.0,13.0
2020-08-09,KY,21145,14.6,14.3,32.599999999999994,0.0,14.6,14.6
2020-08-16,KY,21145,16.8,15.8,31.8,0.0,16.8,16.8
2020-08-23,KY,21145,11.7,11.2,32.5,0.0,11.7,11.7
2020-08-30,KY,21145,9.7,9.7,32.599999999999994,0.0,9.7,9.7
2020-09-06,KY,21145,10.899999999999999,10.5,30.8,0.0,10.899999999999999,10.899999999999999
2020-09-13,KY,21145,10.9,10.9,32.1,0.0,10.9,10.9
2020-09-20,KY,21145,19.5,18.5,30.1,0.0,19.5,19.5
2020-09-27,KY,21145,21.1,20.8,33.7,0.0,21.1,21.1
2020-10-04,KY,21145,27.799999999999997,26.9,34.7,0.0,27.9,27.799999999999997
2020-10-11,KY,21145,19.3,19.0,36.8,0.0,19.3,19.3
2020-10-18,KY,21145,28.699999999999996,27.6,35.2,0.0,28.699999999999996,28.699999999999996
2020-10-25,KY,21145,37.3,36.900000000000006,38.0,0.0,37.3,37.3
2020-11-01,KY,21145,46.3,46.2,41.7,0.0,46.3,46.3
2020-11-08,KY,21145,63.4,63.4,40.099999999999994,0.0,63.5,63.4
2020-11-15,KY,21145,81.20000000000002,81.0,36.7,0.0,81.20000000000002,81.20000000000002
2020-11-22,KY,21145,88.7,88.7,41.4,0.0,88.7,88.7
2020-11-29,KY,21145,75.0,75.0,37.7,0.0,75.3,75.0
2020-12-06,KY,21145,70.1,70.0,39.400000000000006,0.0,70.1,70.1
2020-12-13,KY,21145,70.29999999999998,69.89999999999999,38.400000000000006,0.0,70.29999999999998,70.29999999999998
2020-12-20,KY,21145,63.5,63.0,34.7,0.0,63.5,63.5
2020-12-27,KY,21145,59.699999999999996,59.6,36.2,0.0,59.699999999999996,59.699999999999996
2021-01-03,KY,21145,62.900000000000006,62.6,36.7,0.0,62.900000000000006,62.900000000000006
2021-01-10,KY,21145,54.7,54.3,34.0,0.0,54.7,54.7
2021-01-17,KY,21145,57.6,57.199999999999996,39.599999999999994,0.0,57.6,57.6
2021-01-24,KY,21145,48.7,48.7,38.2,0.0,48.7,48.7
2021-01-31,KY,21145,40.4,40.4,32.900000000000006,0.0,40.4,40.4
2021-02-07,KY,21145,40.8,40.7,33.0,0.0,40.8,40.8
2021-02-14,KY,21145,34.7,34.7,36.099999999999994,0.0,34.7,34.7
2021-02-21,KY,21145,26.5,26.5,39.099999999999994,0.0,26.5,26.5
2021-02-28,KY,21145,22.6,22.6,35.4,0.0,22.6,22.6
2021-03-07,KY,21145,20.9,20.9,34.5,0.0,20.9,20.9
2021-03-14,KY,21145,13.8,13.8,33.7,0.0,13.8,13.8
2021-03-21,KY,21145,6.1,6.1,29.5,0.0,6.1,6.1
2021-03-28,KY,21145,7.3,7.3,29.900000000000002,0.0,7.3,7.3
2021-04-04,KY,21145,10.5,10.5,29.0,0.0,10.5,10.5
2021-04-11,KY,21145,10.899999999999999,10.899999999999999,32.0,0.0,10.899999999999999,10.899999999999999
2021-04-18,KY,21145,15.200000000000001,15.200000000000001,32.8,0.0,15.200000000000001,15.200000000000001
2021-04-25,KY,21145,16.0,16.0,30.200000000000003,0.0,16.0,16.0
2021-05-02,KY,21145,12.3,12.3,29.2,0.0,12.3,12.3
2021-05-09,KY,21145,15.9,15.9,30.6,0.0,15.9,15.9
2021-05-16,KY,21145,8.8,8.8,32.4,0.0,8.8,8.8
2021-05-23,KY,21145,12.0,12.0,37.9,0.0,12.0,12.0
2021-05-30,KY,21145,4.0,4.0,33.0,0.0,4.0,4.0
2021-06-06,KY,21145,0,0,33.0,0.0,0,0.0
2021-06-13,KY,21145,0,0,29.1,0.0,0,0.0
2021-06-20,KY,21145,4.7,4.7,37.1,0.0,4.7,4.7
2021-06-27,KY,21145,11.4,11.4,39.6,0.0,11.4,11.4
2021-07-04,KY,21145,18.4,18.4,37.7,0.0,18.4,18.4
2021-07-11,KY,21145,18.5,18.5,32.5,0.0,18.5,18.5
2021-07-18,KY,21145,22.0,22.0,41.1,0.0,22.0,22.0
2021-07-25,KY,21145,32.7,32.7,43.8,0.0,32.7,32.7
2021-08-01,KY,21145,38.2,38.2,42.400000000000006,0.0,38.2,38.2
2021-08-08,KY,21145,49.2,49.0,46.3,0.0,49.2,49.2
2021-08-15,KY,21145,64.5,64.5,43.099999999999994,0.0,64.8,64.5
2021-08-22,KY,21145,82.0,81.6,44.7,0.0,82.0,82.0
2021-08-29,KY,21145,83.10000000000001,83.10000000000001,45.1,0.0,83.10000000000001,83.10000000000001
2021-09-05,KY,21145,77.1,77.1,45.7,0.0,77.1,77.1
2021-09-12,KY,21145,74.6,74.0,45.4,0.0,74.6,74.6
2021-09-19,KY,21145,61.6,61.300000000000004,41.8,0.0,61.6,61.6
2021-09-26,KY,21145,46.6,45.5,35.0,0.0,46.6,46.6
2021-10-03,KY,21145,31.3,31.3,37.0,0.0,31.700000000000003,31.3
2021-10-10,KY,21145,30.400000000000002,30.400000000000002,35.099999999999994,0.0,30.400000000000002,30.400000000000002
2021-10-17,KY,21145,21.0,21.0,35.7,0.0,21.0,21.0
2021-10-24,KY,21145,16.2,16.2,39.5,0.0,16.2,16.2
2021-10-31,KY,21145,14.600000000000001,14.5,35.2,0.0,14.8,14.600000000000001
2021-11-07,KY,21145,14.7,14.7,42.400000000000006,0.0,14.7,14.7
2021-11-14,KY,21145,13.8,13.8,43.2,0.0,13.8,13.8
2021-11-21,KY,21145,17.7,17.7,42.0,0.0,17.7,17.7
2021-11-28,KY,21145,25.0,25.0,41.599999999999994,0.0,25.200000000000003,25.0
2021-12-05,KY,21145,34.6,34.6,44.0,0.0,34.6,34.6
