collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21199,5.1,0,27.3,0.0,5.1,5.1
2020-08-09,KY,21199,6.4,5.1,28.7,0.0,6.4,6.4
2020-08-16,KY,21199,12.0,8.6,33.7,0.0,12.0,12.0
2020-08-23,KY,21199,8.9,8.3,26.9,0.0,8.9,8.9
2020-08-30,KY,21199,9.0,7.6,32.6,0.0,9.0,9.0
2020-09-06,KY,21199,13.4,9.7,34.3,0.0,13.4,13.4
2020-09-13,KY,21199,7.7,6.6,33.6,0.0,7.7,7.7
2020-09-20,KY,21199,8.0,6.4,34.7,0.0,8.0,8.0
2020-09-27,KY,21199,10.3,9.6,33.7,0.0,10.3,10.3
2020-10-04,KY,21199,6.6,6.6,34.4,0.0,6.6,6.6
2020-10-11,KY,21199,8.4,8.0,35.3,0.0,8.4,8.4
2020-10-18,KY,21199,6.1,6.0,32.6,0.0,6.1,6.1
2020-10-25,KY,21199,9.7,9.7,33.9,0.0,9.7,9.7
2020-11-01,KY,21199,14.1,13.6,34.9,0.0,14.1,14.1
2020-11-08,KY,21199,15.4,14.9,35.7,0.0,15.4,15.4
2020-11-15,KY,21199,20.0,20.0,34.3,0.0,20.0,20.0
2020-11-22,KY,21199,29.7,29.7,35.3,0.0,29.7,29.7
2020-11-29,KY,21199,33.9,33.9,35.3,0.0,33.9,33.9
2020-12-06,KY,21199,33.0,32.9,35.9,0.0,33.0,33.0
2020-12-13,KY,21199,33.9,33.9,35.3,0.0,33.9,33.9
2020-12-20,KY,21199,33.6,33.6,34.1,0.0,33.6,33.6
2020-12-27,KY,21199,32.4,32.4,35.0,0.0,32.4,32.4
2021-01-03,KY,21199,30.3,30.3,32.9,0.0,30.3,30.3
2021-01-10,KY,21199,29.0,29.0,33.7,0.0,29.0,29.0
2021-01-17,KY,21199,26.0,26.0,34.0,0.0,26.0,26.0
2021-01-24,KY,21199,21.4,21.4,34.3,0.0,21.4,21.4
2021-01-31,KY,21199,22.1,22.1,35.0,0.0,22.1,22.1
2021-02-07,KY,21199,18.4,18.4,34.6,0.0,18.4,18.4
2021-02-14,KY,21199,13.7,13.7,34.3,0.0,13.7,13.7
2021-02-21,KY,21199,11.0,11.0,34.0,0.0,11.0,11.0
2021-02-28,KY,21199,9.9,9.9,34.3,0.0,9.9,9.9
2021-03-07,KY,21199,9.1,9.1,34.0,0.0,9.1,9.1
2021-03-14,KY,21199,6.1,6.1,33.1,0.0,6.1,6.1
2021-03-21,KY,21199,7.4,7.1,33.0,0.0,7.4,7.4
2021-03-28,KY,21199,7.7,7.7,33.0,0.0,7.7,7.7
2021-04-04,KY,21199,8.1,8.1,34.0,0.0,8.1,8.1
2021-04-11,KY,21199,4.4,4.4,30.4,0.0,4.4,4.4
2021-04-18,KY,21199,6.3,6.3,32.9,0.0,6.3,6.3
2021-04-25,KY,21199,4.6,4.6,33.0,0.0,4.6,4.6
2021-05-02,KY,21199,5.3,5.3,33.4,0.0,5.3,5.3
2021-05-09,KY,21199,4.7,4.7,33.7,0.0,4.7,4.7
2021-05-16,KY,21199,4.6,4.6,33.9,0.0,4.6,4.6
2021-05-23,KY,21199,4.0,4.0,29.9,0.0,4.0,4.0
2021-05-30,KY,21199,0,0,30.6,0.0,0,0.0
2021-06-06,KY,21199,0,0,30.9,0.0,0,0.0
2021-06-13,KY,21199,0.0,0.0,32.3,0.0,0.0,0.0
2021-06-20,KY,21199,0,0,33.3,0.0,0,0.0
2021-06-27,KY,21199,0,0,35.0,0.0,0,0.0
2021-07-04,KY,21199,0,0,32.6,0.0,0,0.0
2021-07-11,KY,21199,0,0,33.9,0.0,0,0.0
2021-07-18,KY,21199,8.9,8.9,33.7,0.0,8.9,8.9
2021-07-25,KY,21199,13.6,13.6,35.0,0.0,13.6,13.6
2021-08-01,KY,21199,15.3,15.3,35.0,0.0,15.3,15.3
2021-08-08,KY,21199,16.9,16.9,34.6,0.0,16.9,16.9
2021-08-15,KY,21199,16.3,16.3,34.3,0.0,16.3,16.3
2021-08-22,KY,21199,25.1,25.1,35.0,0,25.3,25.1
2021-08-29,KY,21199,25.6,25.6,36.4,0.0,25.6,25.6
2021-09-05,KY,21199,27.1,27.1,35.9,0.0,27.1,27.1
2021-09-12,KY,21199,34.4,34.4,37.6,0.0,34.4,34.4
2021-09-19,KY,21199,36.4,36.4,39.3,0.0,36.4,36.4
2021-09-26,KY,21199,35.6,35.6,42.1,0.0,35.6,35.6
2021-10-03,KY,21199,36.4,36.4,38.9,0.0,36.4,36.4
