collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,KY,21205,0,0,14.0,0.0,0,0.0
2020-08-09,KY,21205,0,0,11.6,0.0,0,0.0
2020-08-16,KY,21205,0,0,12.1,0.0,0,0.0
2020-08-23,KY,21205,0,0,12.4,0.0,0,0.0
2020-08-30,KY,21205,0,0,11.9,0.0,0,0.0
2020-09-06,KY,21205,0,0,12.4,0.0,0,0.0
2020-09-13,KY,21205,0,0,11.4,0.0,0,0.0
2020-09-20,KY,21205,0,0,12.6,0.0,0,0.0
2020-09-27,KY,21205,0,0,12.6,0.0,0,0.0
2020-10-04,KY,21205,0,0,11.9,0.0,0,0.0
2020-10-11,KY,21205,5.0,4.6,12.4,0.0,5.0,5.0
2020-10-18,KY,21205,6.9,5.3,13.1,0.0,6.9,6.9
2020-10-25,KY,21205,12.4,5.6,12.0,0.0,12.4,12.4
2020-11-01,KY,21205,5.9,5.9,12.4,0.0,5.9,5.9
2020-11-08,KY,21205,6.6,6.6,11.4,0.0,6.6,6.6
2020-11-15,KY,21205,9.3,9.3,11.3,0.0,9.3,9.3
2020-11-22,KY,21205,16.0,16.0,12.0,0,16.1,16.0
2020-11-29,KY,21205,9.4,9.4,13.0,0.0,9.4,9.4
2020-12-06,KY,21205,10.0,9.3,12.9,0.0,10.0,10.0
2020-12-13,KY,21205,11.7,11.7,12.1,0.0,11.7,11.7
2020-12-20,KY,21205,12.3,12.3,12.4,0.0,12.3,12.3
2020-12-27,KY,21205,14.3,14.1,12.6,0.0,14.3,14.3
2021-01-03,KY,21205,14.4,14.3,11.9,0.0,14.4,14.4
2021-01-10,KY,21205,7.6,7.6,13.0,0.0,7.6,7.6
2021-01-17,KY,21205,10.6,9.9,12.7,0.0,10.6,10.6
2021-01-24,KY,21205,6.3,5.4,11.4,0.0,6.3,6.3
2021-01-31,KY,21205,6.4,6.4,11.7,0.0,6.4,6.4
2021-02-07,KY,21205,5.4,5.4,12.6,0,5.6,5.4
2021-02-14,KY,21205,5.9,5.9,13.7,0.0,5.9,5.9
2021-02-21,KY,21205,7.6,7.6,13.3,0.0,7.6,7.6
2021-02-28,KY,21205,6.0,6.0,12.3,0.0,6.0,6.0
2021-03-07,KY,21205,7.4,7.3,11.9,0,7.6,7.4
2021-03-14,KY,21205,0,0,11.1,0.0,0,0.0
2021-03-21,KY,21205,5.7,5.7,12.7,0.0,5.7,5.7
2021-03-28,KY,21205,6.1,6.1,12.6,0.0,6.1,6.1
2021-04-04,KY,21205,0,0,11.3,0.0,0,0.0
2021-04-11,KY,21205,7.4,6.7,11.9,0.0,7.4,7.4
2021-04-18,KY,21205,6.1,6.1,12.9,0.0,6.1,6.1
2021-04-25,KY,21205,4.0,0,10.7,0.0,4.0,4.0
2021-05-02,KY,21205,4.4,4.4,11.7,0.0,4.4,4.4
2021-05-09,KY,21205,6.1,6.1,12.9,0.0,6.1,6.1
2021-05-16,KY,21205,0,0,13.7,0.0,0,0.0
2021-05-23,KY,21205,5.0,5.0,14.0,0.0,5.0,5.0
2021-05-30,KY,21205,0,0,12.7,0.0,0,0.0
2021-06-06,KY,21205,0,0,12.1,0.0,0,0.0
2021-06-13,KY,21205,0,0,13.3,0.0,0,0.0
2021-06-20,KY,21205,0,0,12.9,0.0,0,0.0
2021-06-27,KY,21205,0,0,11.0,0.0,0,0.0
2021-07-04,KY,21205,0,0,13.6,0.0,0,0.0
2021-07-11,KY,21205,0,0,11.4,0.0,0,0.0
2021-07-18,KY,21205,0,0,12.0,0.0,0,0.0
2021-07-25,KY,21205,4.0,0,12.0,0.0,4.0,4.0
2021-08-01,KY,21205,6.1,6.1,12.6,0.0,6.1,6.1
2021-08-08,KY,21205,10.6,9.9,12.7,0.0,10.6,10.6
2021-08-15,KY,21205,20.0,20.0,14.1,0.0,20.0,20.0
2021-08-22,KY,21205,32.7,32.7,13.7,0,32.9,32.7
2021-08-29,KY,21205,35.3,35.3,14.6,0.0,35.3,35.3
2021-09-05,KY,21205,38.7,38.6,16.0,0,38.9,38.7
2021-09-12,KY,21205,40.7,40.7,18.1,0.0,40.7,40.7
2021-09-19,KY,21205,41.9,41.9,16.3,0.0,41.9,41.9
2021-09-26,KY,21205,35.0,35.0,15.1,0.0,35.0,35.0
2021-10-03,KY,21205,25.0,25.0,14.0,0.0,25.0,25.0
2021-10-10,KY,21205,18.7,18.7,12.9,0.0,18.7,18.7
2021-10-17,KY,21205,17.0,17.0,13.0,0.0,17.0,17.0
2021-10-24,KY,21205,16.4,16.4,13.3,0.0,16.4,16.4
2021-10-31,KY,21205,12.3,12.3,12.0,0.0,12.3,12.3
2021-11-07,KY,21205,8.7,8.7,12.9,0.0,8.7,8.7
2021-11-14,KY,21205,9.6,9.6,12.1,0.0,9.6,9.6
2021-11-21,KY,21205,14.1,13.7,11.7,0.0,14.1,14.1
2021-11-28,KY,21205,16.3,16.3,12.9,0.0,16.3,16.3
2021-12-05,KY,21205,22.7,22.4,13.4,0,22.9,22.7
2021-12-12,KY,21205,18.0,18.0,13.7,0.0,18.0,18.0
2021-12-19,KY,21205,15.0,15.0,13.1,0.0,15.0,15.0
2021-12-26,KY,21205,19.3,19.3,13.3,0.0,19.3,19.3
