collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22019,0,0,58.400000000000006,0,0,0.0
2020-08-09,LA,22019,19.5,30.6,52.9,0.0,19.5,19.5
2020-08-16,LA,22019,35.4,43.9,50.0,0.0,40.1,35.4
2020-08-23,LA,22019,34.1,37.099999999999994,38.099999999999994,0.0,34.1,34.1
2020-08-30,LA,22019,0.0,0.0,4.3,0.0,0.0,0.0
2020-09-06,LA,22019,0.0,5.3,6.3,0.0,0.0,0.0
2020-09-13,LA,22019,4.1,0.0,14.6,0.0,4.1,4.1
2020-09-20,LA,22019,17.7,13.0,29.700000000000003,0.0,17.7,17.7
2020-09-27,LA,22019,24.1,19.5,34.7,0.0,24.1,24.1
2020-10-04,LA,22019,29.5,19.9,25.5,0.0,29.5,29.5
2020-10-11,LA,22019,21.3,14.4,32.3,0.0,21.3,21.3
2020-10-18,LA,22019,26.4,22.5,41.2,0.0,26.6,26.4
2020-10-25,LA,22019,27.3,25.7,47.8,0.0,27.3,27.3
2020-11-01,LA,22019,20.700000000000003,16.0,46.7,0.0,20.700000000000003,20.700000000000003
2020-11-08,LA,22019,28.4,26.6,47.0,0.0,28.4,28.4
2020-11-15,LA,22019,53.0,48.7,45.0,0.0,53.0,53.0
2020-11-22,LA,22019,62.2,59.10000000000001,47.4,0.0,62.2,62.2
2020-11-29,LA,22019,67.80000000000001,66.9,50.4,0.0,68.0,67.80000000000001
2020-12-06,LA,22019,71.0,68.30000000000001,48.6,0.0,71.1,71.0
2020-12-13,LA,22019,68.69999999999999,67.9,44.0,0.0,69.19999999999999,68.69999999999999
2020-12-20,LA,22019,65.0,63.300000000000004,45.6,0.0,65.0,65.0
2020-12-27,LA,22019,70.0,66.1,39.400000000000006,0.0,70.0,70.0
2021-01-03,LA,22019,71.1,67.2,42.8,0.0,71.5,71.1
2021-01-10,LA,22019,73.8,72.19999999999999,49.099999999999994,0.0,73.8,73.8
2021-01-17,LA,22019,59.400000000000006,57.900000000000006,50.5,0.0,59.400000000000006,59.400000000000006
2021-01-24,LA,22019,60.199999999999996,57.699999999999996,47.0,0.0,60.199999999999996,60.199999999999996
2021-01-31,LA,22019,67.9,65.5,40.8,0.0,67.9,67.9
2021-02-07,LA,22019,52.900000000000006,50.1,44.099999999999994,0.0,52.900000000000006,52.900000000000006
2021-02-14,LA,22019,43.0,37.0,37.400000000000006,0.0,43.0,43.0
2021-02-21,LA,22019,47.099999999999994,42.3,43.0,0.0,47.099999999999994,47.099999999999994
2021-02-28,LA,22019,48.6,44.6,46.1,0.0,48.6,48.6
2021-03-07,LA,22019,55.3,51.8,44.5,0.0,55.3,55.3
2021-03-14,LA,22019,53.9,51.2,50.4,0.0,53.9,53.9
2021-03-21,LA,22019,54.2,52.4,50.4,0.0,54.2,54.2
2021-03-28,LA,22019,53.2,49.9,41.7,0.0,53.2,53.2
2021-04-04,LA,22019,38.900000000000006,36.5,40.7,0.0,38.900000000000006,38.900000000000006
2021-04-11,LA,22019,37.0,33.8,39.2,0.0,37.0,37.0
2021-04-18,LA,22019,29.7,27.8,45.8,0.0,29.7,29.7
2021-04-25,LA,22019,24.4,24.1,40.5,0.0,24.6,24.4
