collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22051,0,0,267.2,0,0,0.0
2020-08-09,LA,22051,101.8,95.6,264.5,0.0,102.8,101.8
2020-08-16,LA,22051,100.2,90.7,270.90000000000003,0.0,103.0,100.2
2020-08-23,LA,22051,76.10000000000001,69.4,247.70000000000002,0.0,77.5,76.10000000000001
2020-08-30,LA,22051,81.39999999999999,71.6,292.2,0.0,81.89999999999999,81.39999999999999
2020-09-06,LA,22051,82.5,60.1,264.40000000000003,0.0,83.0,82.5
2020-09-13,LA,22051,60.699999999999996,57.7,254.2,0.0,62.9,60.699999999999996
2020-09-20,LA,22051,55.1,52.6,260.7,0.0,55.4,55.1
2020-09-27,LA,22051,51.0,48.0,254.70000000000002,0.0,51.1,51.0
2020-10-04,LA,22051,43.7,37.9,245.9,0.0,44.400000000000006,43.7
2020-10-11,LA,22051,43.5,38.1,245.4,0.0,43.5,43.5
2020-10-18,LA,22051,44.7,44.0,240.5,0.0,44.7,44.7
2020-10-25,LA,22051,56.4,53.4,242.5,0.0,56.699999999999996,56.4
2020-11-01,LA,22051,63.300000000000004,59.6,259.4,0.0,63.400000000000006,63.300000000000004
2020-11-08,LA,22051,59.1,55.1,261.7,0.0,59.5,59.1
2020-11-15,LA,22051,71.3,66.3,261.6,0.0,73.2,71.3
2020-11-22,LA,22051,87.5,83.4,256.09999999999997,0.0,89.5,87.5
2020-11-29,LA,22051,117.6,113.1,253.6,0.0,120.8,117.6
2020-12-06,LA,22051,152.0,144.5,250.60000000000002,0.0,153.2,152.0
2020-12-13,LA,22051,163.3,159.20000000000002,263.3,0.0,163.70000000000002,163.3
2020-12-20,LA,22051,175.7,170.6,256.4,0.0,176.79999999999998,175.7
2020-12-27,LA,22051,221.60000000000002,213.8,255.30000000000004,0.0,222.70000000000002,221.60000000000002
2021-01-03,LA,22051,283.90000000000003,276.59999999999997,278.0,0.0,284.3,283.90000000000003
2021-01-10,LA,22051,290.0,279.5,278.9,0.0,291.9,290.0
2021-01-17,LA,22051,272.5,263.70000000000005,283.99999999999994,0.0,273.7,272.5
2021-01-24,LA,22051,238.60000000000002,281.7,284.6,0.0,240.4,238.60000000000002
2021-01-31,LA,22051,189.79999999999998,182.20000000000002,262.70000000000005,0.0,191.29999999999998,189.79999999999998
2021-02-07,LA,22051,149.49999999999997,143.8,271.0,0.0,150.9,149.49999999999997
2021-02-14,LA,22051,124.69999999999999,120.2,262.0,0.0,125.1,124.69999999999999
2021-02-21,LA,22051,100.2,96.0,264.2,0.0,102.2,100.2
2021-02-28,LA,22051,90.39999999999999,85.79999999999998,257.4,0.0,91.49999999999999,90.39999999999999
2021-03-07,LA,22051,83.39999999999999,79.9,254.5,0.0,85.1,83.39999999999999
2021-03-14,LA,22051,64.6,59.599999999999994,236.7,0.0,65.9,64.6
2021-03-21,LA,22051,50.6,46.599999999999994,242.1,0.0,51.3,50.6
2021-03-28,LA,22051,42.4,40.9,230.8,0.0,42.800000000000004,42.4
2021-04-04,LA,22051,37.4,35.3,228.0,0.0,38.0,37.4
2021-04-11,LA,22051,26.7,24.700000000000003,235.2,0.0,27.099999999999998,26.7
2021-04-18,LA,22051,28.6,27.099999999999998,235.7,0.0,29.0,28.6
2021-04-25,LA,22051,23.0,21.0,236.8,0.0,24.1,23.0
2021-05-02,LA,22051,39.7,37.6,232.0,0.0,39.7,39.7
2021-05-09,LA,22051,28.7,27.099999999999998,208.2,0.0,29.7,28.7
2021-05-16,LA,22051,23.8,17.6,214.99999999999997,0.0,23.8,23.8
2021-05-23,LA,22051,19.3,17.7,223.90000000000003,0.0,19.4,19.3
2021-05-30,LA,22051,27.4,25.1,228.89999999999998,0.0,27.6,27.4
2021-06-06,LA,22051,30.3,28.3,238.20000000000002,0.0,30.6,30.3
2021-06-13,LA,22051,24.3,20.799999999999997,225.7,0.0,24.6,24.3
2021-06-20,LA,22051,25.5,22.4,220.60000000000002,0.0,25.5,25.5
2021-06-27,LA,22051,31.299999999999997,26.200000000000003,223.50000000000003,0.0,31.6,31.299999999999997
2021-07-04,LA,22051,38.8,34.6,226.4,0.0,40.1,38.8
2021-07-11,LA,22051,58.2,55.300000000000004,241.3,0.0,59.60000000000001,58.2
2021-07-18,LA,22051,120.5,116.2,237.50000000000003,0.0,123.9,120.5
2021-07-25,LA,22051,234.70000000000002,228.4,249.8,0.0,238.7,234.70000000000002
2021-08-01,LA,22051,362.1,352.2,255.7,0.0,364.40000000000003,362.1
2021-08-08,LA,22051,413.6000000000001,406.69999999999993,273.90000000000003,6.6,421.1000000000001,420.2000000000001
2021-08-15,LA,22051,399.9,395.59999999999997,281.4,6.3,406.2,406.2
2021-08-22,LA,22051,346.49999999999994,339.5,280.40000000000003,10.1,357.4,356.59999999999997
2021-08-29,LA,22051,308.5,301.4,280.90000000000003,5.7,315.2,314.2
2021-09-05,LA,22051,227.3,220.7,257.8,0.0,231.70000000000002,227.3
2021-09-12,LA,22051,170.1,164.20000000000002,254.9,4.7,175.2,174.79999999999998
2021-09-19,LA,22051,154.0,148.0,240.00000000000003,0.0,155.9,154.0
2021-09-26,LA,22051,109.4,104.5,236.40000000000003,0.0,110.60000000000001,109.4
2021-10-03,LA,22051,80.8,77.2,225.1,0.0,81.9,80.8
2021-10-10,LA,22051,60.0,57.199999999999996,230.3,0.0,60.199999999999996,60.0
2021-10-17,LA,22051,40.2,38.2,227.20000000000002,0.0,41.1,40.2
2021-10-24,LA,22051,25.2,23.6,228.1,0.0,25.2,25.2
2021-10-31,LA,22051,19.1,17.7,228.8,0.0,19.1,19.1
2021-11-07,LA,22051,18.9,16.4,247.1,0.0,19.4,18.9
2021-11-14,LA,22051,18.6,17.1,245.3,0.0,19.1,18.6
2021-11-21,LA,22051,17.6,16.4,237.3,0.0,17.7,17.6
2021-11-28,LA,22051,22.4,16.7,238.2,0.0,22.9,22.4
2021-12-05,LA,22051,18.3,12.7,235.0,0.0,18.4,18.3
2021-12-12,LA,22051,11.4,10.9,241.0,0.0,11.4,11.4
2021-12-19,LA,22051,42.400000000000006,35.199999999999996,232.7,0.0,48.4,42.400000000000006
2021-12-26,LA,22051,119.8,115.9,216.6,5.0,125.3,124.8
