collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22053,0,0,5.0,0,0,0.0
2020-08-09,LA,22053,10.3,9.0,5.3,0.0,10.3,10.3
2020-08-16,LA,22053,8.7,7.7,4.7,0,9.0,8.7
2020-08-23,LA,22053,4.3,0,4.3,0.0,4.3,4.3
2020-08-30,LA,22053,5.7,0,4.7,0.0,5.7,5.7
2020-09-06,LA,22053,5.6,0,4.9,0.0,5.6,5.6
2020-09-13,LA,22053,5.9,0,5.0,0.0,5.9,5.9
2020-09-20,LA,22053,4.7,0,4.6,0.0,4.7,4.7
2020-09-27,LA,22053,0,0,4.4,0.0,0,0.0
2020-10-04,LA,22053,7.9,5.1,4.6,0.0,7.9,7.9
2020-10-11,LA,22053,7.9,4.1,4.6,0.0,7.9,7.9
2020-10-18,LA,22053,6.1,4.9,4.6,0.0,6.1,6.1
2020-10-25,LA,22053,5.9,5.6,4.1,0.0,5.9,5.9
2020-11-01,LA,22053,5.7,5.6,4.4,0.0,5.7,5.7
2020-11-08,LA,22053,6.3,6.1,4.0,0.0,6.3,6.3
2020-11-15,LA,22053,11.4,11.4,4.7,0.0,11.4,11.4
2020-11-22,LA,22053,9.4,9.4,0,0.0,9.4,9.4
2020-11-29,LA,22053,16.4,16.4,5.0,0.0,16.4,16.4
2020-12-06,LA,22053,15.1,15.1,5.0,0.0,15.1,15.1
2020-12-13,LA,22053,13.9,13.9,4.9,0.0,13.9,13.9
2020-12-20,LA,22053,12.4,12.4,5.0,0,12.7,12.4
2020-12-27,LA,22053,10.6,10.6,4.9,0.0,10.6,10.6
2021-01-03,LA,22053,10.3,9.7,4.9,0.0,10.3,10.3
2021-01-10,LA,22053,14.3,14.3,4.9,0.0,14.3,14.3
2021-01-17,LA,22053,12.4,12.4,4.7,0.0,12.4,12.4
2021-01-24,LA,22053,10.6,10.4,4.9,0.0,10.6,10.6
2021-01-31,LA,22053,5.6,5.6,4.7,0.0,5.6,5.6
2021-02-07,LA,22053,6.0,6.0,5.0,0.0,6.0,6.0
2021-02-14,LA,22053,5.1,5.1,4.3,0.0,5.1,5.1
2021-02-21,LA,22053,4.3,4.1,4.9,0.0,4.3,4.3
2021-02-28,LA,22053,4.1,4.1,5.0,0,4.4,4.1
2021-03-07,LA,22053,4.6,4.6,8.6,0.0,4.6,4.6
2021-03-14,LA,22053,0,0,8.1,0.0,0,0.0
2021-03-21,LA,22053,7.6,7.7,9.9,0.0,7.6,7.6
2021-03-28,LA,22053,6.7,6.7,9.0,0.0,6.7,6.7
2021-04-04,LA,22053,4.6,4.6,9.3,0.0,4.6,4.6
2021-04-11,LA,22053,5.4,5.4,9.6,0.0,5.4,5.4
2021-04-18,LA,22053,4.1,4.1,8.7,0.0,4.1,4.1
2021-04-25,LA,22053,0,0,8.4,0,0,0.0
2021-05-02,LA,22053,0,0,4.6,0.0,0,0.0
2021-05-09,LA,22053,4.3,4.3,4.1,0.0,4.3,4.3
2021-05-16,LA,22053,0,0,4.4,0.0,0,0.0
2021-05-23,LA,22053,0,0,4.9,0.0,0,0.0
2021-05-30,LA,22053,0,0,4.6,0.0,0,0.0
2021-06-06,LA,22053,0,0,4.6,0.0,0,0.0
2021-06-13,LA,22053,0,0,4.9,0.0,0,0.0
2021-06-20,LA,22053,0,0,4.1,0.0,0,0.0
2021-06-27,LA,22053,0.0,0,0,0.0,0.0,0.0
2021-07-04,LA,22053,5.1,5.1,5.0,0.0,5.1,5.1
2021-07-11,LA,22053,0,0,0,0.0,0,0.0
2021-07-18,LA,22053,4.7,4.7,0,0,4.9,4.7
2021-07-25,LA,22053,8.0,8.0,5.0,0,8.1,8.0
2021-08-01,LA,22053,10.9,11.0,5.0,0.0,10.9,10.9
2021-08-08,LA,22053,13.9,13.9,5.0,0,14.0,13.9
2021-08-15,LA,22053,19.6,19.6,7.6,0.0,19.6,19.6
2021-08-22,LA,22053,15.7,15.7,10.7,0.0,15.7,15.7
2021-08-29,LA,22053,14.4,14.4,7.9,0.0,14.4,14.4
2021-09-05,LA,22053,7.4,7.4,4.9,0.0,7.4,7.4
2021-09-12,LA,22053,5.7,5.7,6.3,0,5.9,5.7
2021-09-19,LA,22053,4.3,4.3,0,0.0,4.3,4.3
2021-09-26,LA,22053,0,0,4.0,0,0,0.0
2021-10-03,LA,22053,0,0,0,0.0,0,0.0
2021-10-10,LA,22053,0,0,0,0,0,0.0
2021-10-17,LA,22053,0.0,0,0,0,0,0.0
2021-10-24,LA,22053,0,0,0,0.0,0,0.0
2021-10-31,LA,22053,0,0,0,0.0,0,0.0
2021-11-07,LA,22053,0,0,0,0,0,0.0
2021-11-14,LA,22053,0,0,5.0,0.0,0,0.0
2021-11-21,LA,22053,0,0,4.7,0,0,0.0
2021-11-28,LA,22053,4.0,0,4.4,0.0,4.0,4.0
2021-12-05,LA,22053,4.0,0,4.3,0.0,4.0,4.0
2021-12-12,LA,22053,0,0,0,0.0,0,0.0
2021-12-19,LA,22053,0,0.0,0,0.0,0,0.0
2021-12-26,LA,22053,4.3,0,4.6,0.0,4.3,4.3
