collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22071,0,0,72.19999999999999,0,0,0.0
2020-08-09,LA,22071,29.3,21.5,70.8,0.0,29.3,29.3
2020-08-16,LA,22071,38.6,35.9,69.5,9.6,48.2,48.2
2020-08-23,LA,22071,32.7,29.3,63.5,6.0,38.7,38.7
2020-08-30,LA,22071,37.6,33.7,67.9,4.4,42.0,42.0
2020-09-06,LA,22071,30.299999999999997,27.4,66.5,0.0,30.299999999999997,30.299999999999997
2020-09-13,LA,22071,26.4,23.0,66.9,5.0,34.1,31.4
2020-09-20,LA,22071,24.9,18.4,63.599999999999994,0.0,24.9,24.9
2020-09-27,LA,22071,17.0,11.4,59.4,0.0,17.0,17.0
2020-10-04,LA,22071,12.6,9.6,64.89999999999999,0.0,12.6,12.6
2020-10-11,LA,22071,9.0,7.3,63.6,0.0,9.0,9.0
2020-10-18,LA,22071,6.7,5.6,62.9,0.0,6.7,6.7
2020-10-25,LA,22071,8.4,6.4,53.1,0.0,8.4,8.4
2020-11-01,LA,22071,15.7,6.9,62.199999999999996,0.0,15.7,15.7
2020-11-08,LA,22071,21.0,15.9,64.9,4.3,25.299999999999997,25.3
2020-11-15,LA,22071,22.6,17.6,63.8,0.0,22.6,22.6
2020-11-22,LA,22071,24.400000000000002,21.700000000000003,68.3,0.0,24.400000000000002,24.400000000000002
2020-11-29,LA,22071,35.5,33.300000000000004,71.80000000000001,0.0,35.5,35.5
2020-12-06,LA,22071,46.9,43.8,79.1,0.0,46.9,46.9
2020-12-13,LA,22071,54.4,52.0,76.69999999999999,0.0,54.4,54.4
2020-12-20,LA,22071,68.4,65.0,74.2,0.0,68.4,68.4
2020-12-27,LA,22071,73.69999999999999,70.1,79.6,0.0,73.69999999999999,73.69999999999999
2021-01-03,LA,22071,79.5,77.5,85.1,5.4,84.9,84.9
2021-01-10,LA,22071,82.0,80.4,80.19999999999999,6.6,88.60000000000001,88.6
2021-01-17,LA,22071,69.9,67.0,80.0,0.0,69.9,69.9
2021-01-24,LA,22071,73.3,70.69999999999999,74.9,0.0,73.3,73.3
2021-01-31,LA,22071,48.4,45.9,76.9,4.7,53.099999999999994,53.1
2021-02-07,LA,22071,33.4,32.3,77.5,0.0,33.4,33.4
2021-02-14,LA,22071,31.5,30.5,69.7,0.0,31.5,31.5
2021-02-21,LA,22071,26.5,25.299999999999997,79.2,0.0,26.5,26.5
2021-02-28,LA,22071,18.7,17.4,72.8,0.0,18.7,18.7
2021-03-07,LA,22071,19.4,17.9,68.3,0.0,19.6,19.4
2021-03-14,LA,22071,10.3,9.9,67.0,0.0,11.3,10.3
2021-03-21,LA,22071,6.7,6.1,69.4,0.0,7.4,6.7
2021-03-28,LA,22071,6.1,5.6,63.9,0.0,7.0,6.1
2021-04-04,LA,22071,5.4,5.1,65.5,0.0,5.4,5.4
2021-04-11,LA,22071,7.4,6.4,60.5,0.0,7.4,7.4
2021-04-18,LA,22071,7.4,7.0,62.599999999999994,0.0,7.4,7.4
2021-04-25,LA,22071,6.7,6.1,60.8,0.0,6.7,6.7
2021-05-02,LA,22071,6.0,5.4,68.0,0.0,6.0,6.0
2021-05-09,LA,22071,5.0,4.9,62.199999999999996,0.0,5.0,5.0
2021-05-16,LA,22071,4.6,4.6,62.9,0.0,4.6,4.6
2021-05-23,LA,22071,5.4,5.7,67.7,0.0,5.4,5.4
2021-05-30,LA,22071,6.1,6.0,70.39999999999999,0.0,6.1,6.1
2021-06-06,LA,22071,7.9,7.1,64.2,0.0,7.9,7.9
2021-06-13,LA,22071,4.6,4.3,62.5,0.0,4.6,4.6
2021-06-20,LA,22071,0.0,0.0,58.6,0.0,0.0,0.0
2021-06-27,LA,22071,5.1,4.9,58.9,0.0,6.9,5.1
2021-07-04,LA,22071,10.1,9.0,65.9,0.0,10.9,10.1
2021-07-11,LA,22071,13.9,13.1,67.39999999999999,0.0,13.9,13.9
2021-07-18,LA,22071,27.0,26.0,63.7,0.0,27.0,27.0
2021-07-25,LA,22071,46.599999999999994,45.7,67.8,8.9,55.5,55.49999999999999
2021-08-01,LA,22071,67.7,66.4,80.0,9.9,77.6,77.60000000000001
2021-08-08,LA,22071,93.89999999999999,90.2,83.8,13.3,107.19999999999999,107.19999999999999
2021-08-15,LA,22071,98.79999999999998,97.10000000000001,80.6,11.7,111.29999999999998,110.49999999999999
2021-08-22,LA,22071,98.2,97.0,78.8,10.3,109.10000000000001,108.5
2021-08-29,LA,22071,89.6,65.4,84.7,5.3,94.89999999999999,94.89999999999999
2021-09-05,LA,22071,60.0,59.2,76.89999999999999,8.1,68.1,68.1
2021-09-12,LA,22071,42.0,37.2,71.3,5.7,47.699999999999996,47.7
2021-09-19,LA,22071,30.799999999999997,30.0,70.8,4.4,35.2,35.199999999999996
2021-09-26,LA,22071,27.200000000000003,24.9,71.1,6.6,33.9,33.800000000000004
2021-10-03,LA,22071,19.9,18.9,72.0,4.9,24.8,24.799999999999997
2021-10-10,LA,22071,13.6,13.0,67.3,4.9,18.5,18.5
2021-10-17,LA,22071,10.4,5.4,66.6,4.7,15.100000000000001,15.100000000000001
2021-10-24,LA,22071,14.6,13.6,66.7,0.0,14.6,14.6
2021-10-31,LA,22071,8.6,7.6,62.3,0.0,8.6,8.6
2021-11-07,LA,22071,7.3,7.0,63.7,0.0,7.3,7.3
2021-11-14,LA,22071,9.9,9.4,69.4,0.0,9.9,9.9
2021-11-21,LA,22071,6.6,6.6,63.5,4.0,10.6,10.6
2021-11-28,LA,22071,7.9,7.7,64.7,0.0,7.9,7.9
2021-12-05,LA,22071,5.3,4.9,70.9,0.0,5.3,5.3
2021-12-12,LA,22071,4.9,4.3,69.2,0.0,4.9,4.9
2021-12-19,LA,22071,17.0,15.7,55.1,0.0,17.0,17.0
2021-12-26,LA,22071,48.300000000000004,47.7,58.5,10.9,59.4,59.2
