collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22079,28.6,26.1,69.6,0.0,28.6,28.6
2020-08-09,LA,22079,69.0,59.4,60.0,0.0,69.0,69.0
2020-08-16,LA,22079,70.6,65.5,52.699999999999996,0.0,71.0,70.6
2020-08-23,LA,22079,61.4,60.0,48.1,0.0,61.4,61.4
2020-08-30,LA,22079,57.1,57.400000000000006,54.1,0.0,57.1,57.1
2020-09-06,LA,22079,54.0,55.099999999999994,66.6,0.0,54.7,54.0
2020-09-13,LA,22079,41.7,44.0,66.2,0.0,43.4,41.7
2020-09-20,LA,22079,38.0,41.0,57.900000000000006,0.0,38.8,38.0
2020-09-27,LA,22079,42.7,41.6,54.599999999999994,0.0,42.900000000000006,42.7
2020-10-04,LA,22079,38.4,35.5,50.3,0.0,38.6,38.4
2020-10-11,LA,22079,33.7,35.1,54.8,0.0,33.7,33.7
2020-10-18,LA,22079,34.4,32.5,50.0,0.0,34.4,34.4
2020-10-25,LA,22079,34.0,31.3,57.199999999999996,0.0,34.4,34.0
2020-11-01,LA,22079,36.4,32.400000000000006,51.0,0.0,36.7,36.4
2020-11-08,LA,22079,47.5,44.6,56.2,0.0,47.6,47.5
2020-11-15,LA,22079,46.6,45.0,60.7,0.0,46.9,46.6
2020-11-22,LA,22079,56.7,53.5,62.5,0.0,57.0,56.7
2020-11-29,LA,22079,68.3,67.7,65.7,0.0,68.3,68.3
2020-12-06,LA,22079,71.6,74.10000000000001,66.5,0.0,71.9,71.6
2020-12-13,LA,22079,61.4,68.6,55.9,5.7,67.3,67.1
2020-12-20,LA,22079,68.6,75.3,57.699999999999996,0.0,69.19999999999999,68.6
2020-12-27,LA,22079,77.4,85.7,61.8,0.0,78.2,77.4
2021-01-03,LA,22079,96.9,104.5,72.3,0.0,97.5,96.9
2021-01-10,LA,22079,98.6,105.39999999999999,70.5,0.0,98.69999999999999,98.6
2021-01-17,LA,22079,85.0,95.80000000000001,68.80000000000001,0.0,85.0,85.0
2021-01-24,LA,22079,85.1,87.2,65.0,0.0,85.1,85.1
2021-01-31,LA,22079,78.9,76.0,55.7,0.0,79.9,78.9
2021-02-07,LA,22079,45.2,44.0,48.7,0.0,46.3,45.2
2021-02-14,LA,22079,37.4,40.7,48.3,0.0,38.599999999999994,37.4
2021-02-21,LA,22079,29.6,27.3,51.6,0.0,30.4,29.6
2021-02-28,LA,22079,26.299999999999997,25.6,53.7,0.0,26.299999999999997,26.299999999999997
2021-03-07,LA,22079,15.1,14.0,53.4,0.0,15.1,15.1
2021-03-14,LA,22079,17.1,15.9,43.3,0.0,17.1,17.1
2021-03-21,LA,22079,20.4,18.3,50.5,0.0,20.4,20.4
2021-03-28,LA,22079,18.0,17.0,50.1,0.0,18.0,18.0
2021-04-04,LA,22079,16.0,15.0,50.7,0.0,16.0,16.0
2021-04-11,LA,22079,15.8,13.7,51.6,0.0,15.8,15.8
2021-04-18,LA,22079,20.0,17.1,57.7,0.0,20.0,20.0
2021-04-25,LA,22079,17.5,15.700000000000001,47.4,0.0,17.5,17.5
2021-05-02,LA,22079,18.7,17.4,44.7,0.0,18.799999999999997,18.7
2021-05-09,LA,22079,13.5,12.3,53.300000000000004,0.0,14.1,13.5
2021-05-16,LA,22079,20.0,17.9,50.099999999999994,0.0,20.0,20.0
2021-05-23,LA,22079,19.0,17.799999999999997,48.5,0.0,19.0,19.0
2021-05-30,LA,22079,22.400000000000002,20.3,54.0,0.0,22.6,22.400000000000002
2021-06-06,LA,22079,20.7,17.299999999999997,56.7,0.0,20.7,20.7
2021-06-13,LA,22079,17.0,15.7,50.9,0.0,17.0,17.0
2021-06-20,LA,22079,12.399999999999999,7.1,50.3,0.0,12.399999999999999,12.399999999999999
2021-06-27,LA,22079,8.7,4.6,45.400000000000006,0.0,8.7,8.7
2021-07-04,LA,22079,7.1,4.7,49.8,0.0,7.3,7.1
2021-07-11,LA,22079,16.9,14.1,54.400000000000006,0.0,17.3,16.9
2021-07-18,LA,22079,34.9,32.3,53.599999999999994,0.0,35.599999999999994,34.9
2021-07-25,LA,22079,62.699999999999996,61.4,66.0,0.0,63.300000000000004,62.699999999999996
2021-08-01,LA,22079,77.80000000000001,74.6,60.599999999999994,0.0,78.19999999999999,77.80000000000001
2021-08-08,LA,22079,106.0,110.0,64.0,0.0,107.1,106.0
2021-08-15,LA,22079,119.6,122.2,67.69999999999999,0.0,123.1,119.6
2021-08-22,LA,22079,125.0,129.1,71.3,0.0,131.0,125.0
2021-08-29,LA,22079,133.8,140.7,71.4,0.0,138.39999999999998,133.8
2021-09-05,LA,22079,115.4,118.80000000000001,72.0,0.0,117.80000000000001,115.4
2021-09-12,LA,22079,94.1,95.9,68.1,0.0,96.0,94.1
2021-09-19,LA,22079,71.69999999999999,70.7,64.19999999999999,0.0,74.6,71.69999999999999
2021-09-26,LA,22079,51.5,49.099999999999994,54.7,0.0,55.5,51.5
2021-10-03,LA,22079,41.9,40.2,63.9,0.0,44.0,41.9
2021-10-10,LA,22079,25.3,22.9,60.7,0.0,25.3,25.3
2021-10-17,LA,22079,19.1,17.5,51.900000000000006,0.0,19.5,19.1
2021-10-24,LA,22079,21.9,20.8,55.7,0.0,21.9,21.9
2021-10-31,LA,22079,20.299999999999997,19.0,51.7,0.0,20.299999999999997,20.299999999999997
2021-11-07,LA,22079,11.9,9.0,53.2,0.0,11.9,11.9
2021-11-14,LA,22079,8.0,5.7,52.5,0.0,8.0,8.0
2021-11-21,LA,22079,14.1,12.2,45.8,0.0,14.1,14.1
2021-11-28,LA,22079,18.0,15.7,52.0,0.0,18.3,18.0
2021-12-05,LA,22079,17.7,15.3,51.0,0.0,17.9,17.7
2021-12-12,LA,22079,11.3,10.7,56.7,0.0,11.5,11.3
2021-12-19,LA,22079,14.7,13.3,56.099999999999994,0.0,14.7,14.7
2021-12-26,LA,22079,27.3,24.7,48.6,0.0,27.5,27.3
