collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22097,0,0,21.3,0,0,0.0
2020-08-09,LA,22097,5.5,18.0,20.9,0.0,5.5,5.5
2020-08-16,LA,22097,16.299999999999997,15.9,22.4,0.0,16.7,16.299999999999997
2020-08-23,LA,22097,16.0,9.7,13.1,0.0,16.0,16.0
2020-08-30,LA,22097,5.6,4.0,17.3,0.0,5.6,5.6
2020-09-06,LA,22097,5.0,0.0,14.7,0.0,5.0,5.0
2020-09-13,LA,22097,5.6,4.1,13.6,0.0,5.6,5.6
2020-09-20,LA,22097,0.0,0.0,11.7,0.0,0.0,0.0
2020-09-27,LA,22097,0.0,0.0,8.1,0.0,0.0,0.0
2020-10-04,LA,22097,4.6,4.6,12.9,0.0,4.6,4.6
2020-10-11,LA,22097,4.1,4.1,13.9,0.0,4.1,4.1
2020-10-18,LA,22097,5.9,5.9,16.4,0.0,5.9,5.9
2020-10-25,LA,22097,6.7,6.7,16.4,0.0,6.7,6.7
2020-11-01,LA,22097,6.6,6.9,15.3,0.0,6.6,6.6
2020-11-08,LA,22097,16.6,16.6,18.0,0.0,16.6,16.6
2020-11-15,LA,22097,21.4,21.4,19.6,0.0,21.4,21.4
2020-11-22,LA,22097,23.200000000000003,23.200000000000003,15.4,0.0,23.200000000000003,23.200000000000003
2020-11-29,LA,22097,25.799999999999997,25.799999999999997,15.7,0.0,25.799999999999997,25.799999999999997
2020-12-06,LA,22097,23.0,23.0,19.9,0.0,23.0,23.0
2020-12-13,LA,22097,19.3,19.3,20.6,0.0,19.3,19.3
2020-12-20,LA,22097,14.9,14.9,14.1,0.0,14.9,14.9
2020-12-27,LA,22097,16.7,16.7,15.1,0.0,16.7,16.7
2021-01-03,LA,22097,25.7,25.7,19.0,0.0,25.7,25.7
2021-01-10,LA,22097,21.8,21.6,16.0,0.0,21.8,21.8
2021-01-17,LA,22097,21.2,21.2,18.9,0.0,21.2,21.2
2021-01-24,LA,22097,18.3,18.3,21.0,0.0,18.3,18.3
2021-01-31,LA,22097,13.1,13.1,21.0,0.0,13.1,13.1
2021-02-07,LA,22097,8.6,8.6,11.3,0.0,8.6,8.6
2021-02-14,LA,22097,0.0,0.0,7.6,0.0,0.0,0.0
2021-02-21,LA,22097,0.0,0.0,11.4,0.0,0.0,0.0
2021-02-28,LA,22097,0.0,0.0,11.0,0.0,0.0,0.0
2021-03-07,LA,22097,4.0,0.0,6.0,0.0,4.0,4.0
2021-03-14,LA,22097,0.0,0.0,7.1,0.0,0.0,0.0
2021-03-21,LA,22097,0.0,0.0,7.9,0.0,0.0,0.0
2021-03-28,LA,22097,6.6,6.6,10.4,0.0,6.6,6.6
2021-04-04,LA,22097,4.4,4.4,11.4,0.0,4.4,4.4
2021-04-11,LA,22097,0.0,0.0,11.0,0.0,0.0,0.0
2021-04-18,LA,22097,4.9,4.9,13.1,0.0,4.9,4.9
2021-04-25,LA,22097,5.3,5.3,8.6,0.0,5.3,5.3
2021-05-02,LA,22097,4.3,4.3,5.7,0.0,4.3,4.3
2021-05-09,LA,22097,0.0,0.0,9.9,0.0,0.0,0.0
2021-05-16,LA,22097,0.0,0.0,8.1,0.0,0.0,0.0
2021-05-23,LA,22097,0.0,0.0,9.4,0.0,0.0,0.0
2021-05-30,LA,22097,0.0,0.0,8.6,0.0,0.0,0.0
2021-06-06,LA,22097,0.0,0.0,7.9,0.0,0.0,0.0
2021-06-13,LA,22097,0.0,0.0,9.6,0.0,0.0,0.0
2021-06-20,LA,22097,0.0,0.0,8.9,0.0,0.0,0.0
2021-06-27,LA,22097,0.0,0.0,8.0,0.0,0.0,0.0
2021-07-04,LA,22097,0.0,6.7,6.0,0.0,0.0,0.0
2021-07-11,LA,22097,8.4,8.4,8.0,0.0,8.4,8.4
2021-07-18,LA,22097,11.1,11.1,13.4,0.0,11.1,11.1
2021-07-25,LA,22097,18.3,18.3,13.7,0.0,18.3,18.3
2021-08-01,LA,22097,28.799999999999997,28.799999999999997,20.6,0.0,28.799999999999997,28.799999999999997
2021-08-08,LA,22097,40.900000000000006,40.6,24.6,0.0,41.0,40.900000000000006
2021-08-15,LA,22097,46.7,46.7,30.4,0.0,46.9,46.7
