collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,LA,22105,0,0,22.1,0,0,0.0
2020-08-09,LA,22105,33.3,62.3,25.3,0.0,33.3,33.3
2020-08-16,LA,22105,36.0,63.099999999999994,26.1,0.0,36.1,36.0
2020-08-23,LA,22105,28.0,54.3,24.1,0.0,28.0,28.0
2020-08-30,LA,22105,30.0,46.3,25.4,0.0,30.0,30.0
2020-09-06,LA,22105,15.7,40.0,19.1,0.0,15.7,15.7
2020-09-13,LA,22105,24.6,45.0,17.7,0.0,24.6,24.6
2020-09-20,LA,22105,18.8,46.0,21.1,0.0,18.8,18.8
2020-09-27,LA,22105,17.6,45.1,19.9,0.0,17.6,17.6
2020-10-04,LA,22105,16.4,45.0,22.1,0.0,16.4,16.4
2020-10-11,LA,22105,11.1,40.0,22.4,0.0,11.1,11.1
2020-10-18,LA,22105,10.3,39.3,19.9,0.0,10.3,10.3
2020-10-25,LA,22105,9.0,38.4,21.9,0.0,9.0,9.0
2020-11-01,LA,22105,7.6,37.6,19.1,0.0,7.6,7.6
2020-11-08,LA,22105,14.6,44.6,21.3,0.0,14.6,14.6
2020-11-15,LA,22105,24.0,55.0,24.0,0.0,24.0,24.0
2020-11-22,LA,22105,36.4,64.5,18.7,0.0,36.4,36.4
2020-11-29,LA,22105,56.0,80.2,23.6,0.0,56.0,56.0
2020-12-06,LA,22105,57.2,92.5,28.9,0.0,57.2,57.2
2020-12-13,LA,22105,52.1,82.0,30.7,0.0,52.1,52.1
2020-12-20,LA,22105,56.5,94.4,32.6,0.0,56.5,56.5
2020-12-27,LA,22105,52.3,96.4,29.1,0.0,52.3,52.3
2021-01-03,LA,22105,53.6,93.1,25.4,0.0,53.6,53.6
2021-01-10,LA,22105,48.0,86.7,26.1,0.0,48.0,48.0
2021-01-17,LA,22105,45.599999999999994,85.6,23.6,0.0,45.599999999999994,45.599999999999994
2021-01-24,LA,22105,42.699999999999996,84.3,21.7,0.0,42.699999999999996,42.699999999999996
2021-01-31,LA,22105,29.9,76.9,21.7,0.0,29.9,29.9
2021-02-07,LA,22105,21.0,68.6,20.7,0.0,21.0,21.0
2021-02-14,LA,22105,11.3,62.0,20.0,0.0,11.3,11.3
2021-02-21,LA,22105,20.4,71.7,23.0,0.0,20.4,20.4
2021-02-28,LA,22105,11.6,70.6,18.9,0.0,11.6,11.6
2021-03-07,LA,22105,7.6,66.6,16.7,0.0,7.6,7.6
2021-03-14,LA,22105,4.4,63.4,16.6,0.0,4.4,4.4
2021-03-21,LA,22105,4.6,63.6,18.4,0.0,4.6,4.6
2021-03-28,LA,22105,0.0,59.0,16.4,0.0,0.0,0.0
2021-04-04,LA,22105,4.6,64.2,15.1,0.0,4.6,4.6
2021-04-11,LA,22105,6.9,66.9,14.3,0.0,6.9,6.9
2021-04-18,LA,22105,4.0,64.0,15.0,0.0,4.0,4.0
2021-04-25,LA,22105,0.0,60.0,17.1,0.0,0.0,0.0
