collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MA,25003,0.0,0.0,7.1,0.0,0.0,0.0
2020-08-09,MA,25003,0.0,0.0,8.4,0.0,0.0,0.0
2020-08-16,MA,25003,0.0,0.0,8.0,0.0,0.0,0.0
2020-08-23,MA,25003,0.0,0.0,8.9,0.0,0.0,0.0
2020-08-30,MA,25003,0.0,0.0,5.6,0.0,0.0,0.0
2020-09-06,MA,25003,0.0,0.0,7.1,0.0,0.0,0.0
2020-09-13,MA,25003,0.0,0.0,7.4,0.0,0.0,0.0
2020-09-20,MA,25003,0.0,0.0,7.9,0.0,0.0,0.0
2020-09-27,MA,25003,0.0,0.0,10.7,0.0,0.0,0.0
2020-10-04,MA,25003,0.0,0.0,6.1,0.0,0.0,0.0
2020-10-11,MA,25003,0.0,0.0,8.0,0.0,0.0,0.0
2020-10-18,MA,25003,0.0,0.0,8.1,0.0,0.0,0.0
2020-10-25,MA,25003,0.0,0.0,9.3,0.0,0.0,0.0
2020-11-01,MA,25003,0.0,0.0,9.3,0.0,0.0,0.0
2020-11-08,MA,25003,0.0,0.0,7.4,0.0,0.0,0.0
2020-11-15,MA,25003,9.3,9.1,9.3,0.0,9.3,9.3
2020-11-22,MA,25003,11.7,11.7,10.0,0.0,11.7,11.7
2020-11-29,MA,25003,28.0,28.0,10.0,0.0,28.0,28.0
2020-12-06,MA,25003,36.1,36.1,11.3,0.0,36.3,36.1
2020-12-13,MA,25003,32.3,32.3,10.0,0.0,32.3,32.3
2020-12-20,MA,25003,31.4,31.1,10.1,0.0,31.4,31.4
2020-12-27,MA,25003,42.3,42.3,11.1,0.0,42.3,42.3
2021-01-03,MA,25003,44.4,44.4,11.7,0.0,44.4,44.4
2021-01-10,MA,25003,38.9,38.9,11.0,0.0,38.9,38.9
2021-01-17,MA,25003,26.3,26.1,13.1,0.0,26.3,26.3
2021-01-24,MA,25003,22.6,22.0,9.7,0.0,22.6,22.6
2021-01-31,MA,25003,20.0,19.7,8.7,0.0,20.0,20.0
2021-02-07,MA,25003,15.4,15.4,9.1,0.0,15.4,15.4
2021-02-14,MA,25003,8.9,8.9,11.3,0.0,8.9,8.9
2021-02-21,MA,25003,8.9,8.6,12.4,0.0,8.9,8.9
2021-02-28,MA,25003,8.6,8.4,7.7,0.0,8.6,8.6
2021-03-07,MA,25003,0,0,9.7,0.0,0,0.0
2021-03-14,MA,25003,4.3,0.0,10.0,0.0,4.3,4.3
2021-03-21,MA,25003,11.6,11.6,11.4,0.0,11.6,11.6
2021-03-28,MA,25003,10.9,10.6,11.6,0.0,10.9,10.9
2021-04-04,MA,25003,5.0,5.0,10.7,0.0,5.0,5.0
2021-04-11,MA,25003,7.7,7.3,8.7,0.0,7.7,7.7
2021-04-18,MA,25003,0,0,6.7,0.0,0,0.0
2021-04-25,MA,25003,5.4,5.3,6.6,0.0,5.4,5.4
2021-05-02,MA,25003,4.1,4.1,7.0,0.0,4.1,4.1
2021-05-09,MA,25003,0.0,0.0,7.4,0.0,0.0,0.0
2021-05-16,MA,25003,0.0,0.0,7.4,0.0,0.0,0.0
2021-05-23,MA,25003,0.0,0.0,9.4,0.0,0.0,0.0
2021-05-30,MA,25003,0.0,0.0,8.4,0.0,0.0,0.0
2021-06-06,MA,25003,0.0,0.0,8.6,0.0,0.0,0.0
2021-06-13,MA,25003,0.0,0.0,8.0,0.0,0.0,0.0
2021-06-20,MA,25003,0.0,0.0,8.7,0.0,0.0,0.0
2021-06-27,MA,25003,0.0,0.0,8.3,0.0,0.0,0.0
2021-07-04,MA,25003,0.0,0.0,7.1,0.0,0.0,0.0
2021-07-11,MA,25003,0.0,0.0,7.3,0.0,0.0,0.0
2021-07-18,MA,25003,0,0.0,9.9,0.0,0,0.0
2021-07-25,MA,25003,0.0,0.0,7.4,0.0,0.0,0.0
2021-08-01,MA,25003,8.3,8.0,9.0,0.0,8.6,8.3
2021-08-08,MA,25003,5.0,4.9,9.9,0.0,5.0,5.0
2021-08-15,MA,25003,7.4,7.4,8.7,0.0,7.4,7.4
2021-08-22,MA,25003,7.3,6.9,10.3,0.0,7.3,7.3
2021-08-29,MA,25003,7.0,6.7,10.3,0.0,7.0,7.0
2021-09-05,MA,25003,7.0,6.6,7.9,0.0,7.0,7.0
2021-09-12,MA,25003,7.9,7.6,10.6,0.0,7.9,7.9
2021-09-19,MA,25003,10.6,10.4,10.1,0.0,10.6,10.6
2021-09-26,MA,25003,8.4,8.3,10.7,0.0,8.4,8.4
2021-10-03,MA,25003,8.3,8.3,11.3,0.0,8.3,8.3
2021-10-10,MA,25003,7.0,6.9,9.4,0.0,7.0,7.0
2021-10-17,MA,25003,6.4,6.0,10.1,0.0,6.4,6.4
2021-10-24,MA,25003,6.7,6.6,8.3,0.0,6.7,6.7
2021-10-31,MA,25003,10.3,9.6,10.4,0.0,10.3,10.3
2021-11-07,MA,25003,11.9,11.7,10.9,0.0,11.9,11.9
2021-11-14,MA,25003,11.1,10.6,11.1,0.0,11.1,11.1
2021-11-21,MA,25003,15.6,15.6,9.4,0.0,15.6,15.6
2021-11-28,MA,25003,18.9,18.6,12.0,0.0,18.9,18.9
2021-12-05,MA,25003,16.0,16.0,10.1,0.0,16.7,16.0
2021-12-12,MA,25003,14.6,14.4,7.7,0.0,14.6,14.6
2021-12-19,MA,25003,14.7,14.4,10.6,0.0,14.7,14.7
2021-12-26,MA,25003,20.3,20.1,10.1,0.0,20.4,20.3
