collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MA,25009,32.300000000000004,9.1,46.3,0.0,32.4,32.300000000000004
2020-08-09,MA,25009,24.799999999999997,9.2,41.2,0.0,24.799999999999997,24.799999999999997
2020-08-16,MA,25009,15.0,4.1,40.300000000000004,0.0,15.2,15.0
2020-08-23,MA,25009,15.2,7.4,42.1,0.0,15.2,15.2
2020-08-30,MA,25009,21.1,0,52.400000000000006,0.0,21.1,21.1
2020-09-06,MA,25009,19.3,6.4,49.400000000000006,0.0,19.3,19.3
2020-09-13,MA,25009,26.2,10.100000000000001,50.0,0.0,26.2,26.2
2020-09-20,MA,25009,28.099999999999998,7.7,49.0,0.0,28.099999999999998,28.099999999999998
2020-09-27,MA,25009,17.799999999999997,4.1,52.7,0.0,18.299999999999997,17.799999999999997
2020-10-04,MA,25009,21.4,8.7,49.7,0.0,22.0,21.4
2020-10-11,MA,25009,23.9,6.9,52.2,0.0,24.6,23.9
2020-10-18,MA,25009,8.9,0.0,49.099999999999994,0.0,9.0,8.9
2020-10-25,MA,25009,32.7,16.4,44.7,0.0,32.7,32.7
2020-11-01,MA,25009,44.7,30.6,51.7,0.0,45.4,44.7
2020-11-08,MA,25009,61.699999999999996,48.7,53.9,0.0,61.9,61.699999999999996
2020-11-15,MA,25009,95.0,83.80000000000001,56.5,0.0,95.30000000000001,95.0
2020-11-22,MA,25009,97.89999999999999,83.60000000000001,51.6,0.0,98.0,97.89999999999999
2020-11-29,MA,25009,128.9,113.50000000000001,56.9,0.0,129.2,128.9
2020-12-06,MA,25009,157.2,144.1,61.5,0.0,157.29999999999998,157.2
2020-12-13,MA,25009,167.7,152.60000000000002,60.9,0.0,168.5,167.7
2020-12-20,MA,25009,207.9,183.4,61.599999999999994,0.0,208.1,207.9
2020-12-27,MA,25009,219.4,197.60000000000002,63.199999999999996,0.0,220.0,219.4
2021-01-03,MA,25009,224.4,204.6,67.0,0.0,224.9,224.4
2021-01-10,MA,25009,192.79999999999998,174.1,67.69999999999999,0.0,192.79999999999998,192.79999999999998
2021-01-17,MA,25009,174.5,154.3,71.8,0.0,174.5,174.5
2021-01-24,MA,25009,148.1,126.9,69.30000000000001,0.0,148.1,148.1
2021-01-31,MA,25009,110.0,95.8,68.5,0.0,110.0,110.0
2021-02-07,MA,25009,101.5,79.6,66.6,0.0,101.5,101.5
2021-02-14,MA,25009,91.7,75.10000000000001,64.8,0.0,91.7,91.7
2021-02-21,MA,25009,75.7,60.5,63.099999999999994,0.0,75.9,75.7
2021-02-28,MA,25009,58.39999999999999,43.199999999999996,60.7,0.0,59.2,58.39999999999999
2021-03-07,MA,25009,43.8,32.4,57.5,0.0,43.8,43.8
2021-03-14,MA,25009,37.300000000000004,28.0,57.4,0.0,37.400000000000006,37.300000000000004
2021-03-21,MA,25009,43.4,37.50000000000001,52.6,0.0,43.5,43.4
2021-03-28,MA,25009,50.1,43.400000000000006,49.6,0.0,50.1,50.1
2021-04-04,MA,25009,54.300000000000004,48.9,49.5,0.0,54.6,54.300000000000004
2021-04-11,MA,25009,59.0,53.7,54.1,0.0,59.099999999999994,59.0
2021-04-18,MA,25009,54.3,47.4,48.099999999999994,0.0,54.4,54.3
2021-04-25,MA,25009,47.4,42.400000000000006,45.0,0.0,47.6,47.4
2021-05-02,MA,25009,40.2,34.9,44.8,0.0,40.2,40.2
2021-05-09,MA,25009,32.1,28.200000000000003,43.0,0.0,32.1,32.1
2021-05-16,MA,25009,18.0,15.0,45.7,0.0,18.0,18.0
2021-05-23,MA,25009,11.5,4.3,51.4,0.0,11.5,11.5
2021-05-30,MA,25009,5.3,0.0,41.199999999999996,0.0,5.3,5.3
2021-06-06,MA,25009,6.6,0.0,44.099999999999994,0.0,6.7,6.6
2021-06-13,MA,25009,4.6,0.0,48.2,0.0,4.7,4.6
2021-06-20,MA,25009,0.0,0.0,47.0,0.0,0.0,0.0
2021-06-27,MA,25009,4.0,0.0,38.8,0.0,4.1,4.0
