collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MA,25023,19.7,0,30.3,0.0,19.7,19.7
2020-08-09,MA,25023,23.700000000000003,0,31.5,0.0,23.700000000000003,23.700000000000003
2020-08-16,MA,25023,19.6,0,34.0,0.0,19.6,19.6
2020-08-23,MA,25023,13.7,0,33.2,0.0,13.7,13.7
2020-08-30,MA,25023,15.4,0,36.5,0.0,15.4,15.4
2020-09-06,MA,25023,23.5,7.6,36.0,0.0,23.5,23.5
2020-09-13,MA,25023,23.0,8.0,31.9,0.0,23.0,23.0
2020-09-20,MA,25023,25.5,6.1,39.5,0.0,25.5,25.5
2020-09-27,MA,25023,25.5,9.3,40.0,0.0,25.5,25.5
2020-10-04,MA,25023,38.3,18.2,38.1,0.0,38.3,38.3
2020-10-11,MA,25023,35.5,8.1,34.7,0.0,35.8,35.5
2020-10-18,MA,25023,38.3,14.6,37.4,0.0,38.7,38.3
2020-10-25,MA,25023,40.1,13.3,38.6,0.0,40.1,40.1
2020-11-01,MA,25023,31.5,13.299999999999999,37.8,0.0,31.5,31.5
2020-11-08,MA,25023,31.499999999999996,14.7,39.4,0.0,31.499999999999996,31.499999999999996
2020-11-15,MA,25023,36.4,20.6,38.5,0.0,36.4,36.4
2020-11-22,MA,25023,48.2,29.7,38.9,0.0,48.2,48.2
2020-11-29,MA,25023,54.5,37.2,39.7,0.0,54.5,54.5
2020-12-06,MA,25023,68.9,55.8,38.0,0.0,68.9,68.9
2020-12-13,MA,25023,86.4,65.69999999999999,34.9,0.0,86.4,86.4
2020-12-20,MA,25023,101.4,86.8,40.2,0.0,101.4,101.4
2020-12-27,MA,25023,117.9,101.5,40.6,0.0,117.9,117.9
2021-01-03,MA,25023,113.6,96.5,42.6,0.0,113.6,113.6
2021-01-10,MA,25023,117.99999999999999,101.4,41.0,0.0,117.99999999999999,117.99999999999999
2021-01-17,MA,25023,115.1,104.6,43.400000000000006,0.0,115.1,115.1
2021-01-24,MA,25023,101.5,86.1,43.6,0.0,101.5,101.5
2021-01-31,MA,25023,86.0,72.7,43.1,0.0,86.0,86.0
2021-02-07,MA,25023,67.8,54.599999999999994,43.8,0.0,67.8,67.8
2021-02-14,MA,25023,67.2,50.0,44.9,0.0,67.2,67.2
2021-02-21,MA,25023,55.5,40.8,41.5,0.0,55.5,55.5
2021-02-28,MA,25023,45.9,28.7,41.1,0.0,45.9,45.9
2021-03-07,MA,25023,36.7,25.2,36.400000000000006,0.0,37.0,36.7
2021-03-14,MA,25023,43.0,30.4,39.6,0.0,43.0,43.0
