collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MA,25027,16.6,8.9,127.5,0.0,17.0,16.6
2020-08-09,MA,25027,13.4,9.0,124.39999999999999,0.0,13.9,13.4
2020-08-16,MA,25027,11.6,5.3,120.7,0.0,12.3,11.6
2020-08-23,MA,25027,12.1,6.0,123.60000000000001,0.0,12.6,12.1
2020-08-30,MA,25027,12.9,8.3,127.5,0.0,13.4,12.9
2020-09-06,MA,25027,16.9,8.7,123.4,0.0,17.7,16.9
2020-09-13,MA,25027,12.4,8.9,140.29999999999998,0.0,12.9,12.4
2020-09-20,MA,25027,14.3,6.7,139.5,0.0,15.6,14.3
2020-09-27,MA,25027,21.9,14.3,137.79999999999998,0.0,22.299999999999997,21.9
2020-10-04,MA,25027,26.0,19.3,138.2,0.0,26.400000000000002,26.0
2020-10-11,MA,25027,28.799999999999997,15.200000000000001,132.5,0.0,28.799999999999997,28.799999999999997
2020-10-18,MA,25027,34.1,23.4,144.8,0.0,34.7,34.1
2020-10-25,MA,25027,39.8,33.1,139.1,0.0,40.1,39.8
2020-11-01,MA,25027,57.3,49.699999999999996,140.4,0.0,57.7,57.3
2020-11-08,MA,25027,75.80000000000001,61.89999999999999,142.1,0.0,76.3,75.80000000000001
2020-11-15,MA,25027,89.29999999999998,77.30000000000001,144.3,0.0,90.0,89.29999999999998
2020-11-22,MA,25027,111.7,96.5,137.8,0.0,112.3,111.7
2020-11-29,MA,25027,127.0,121.4,149.4,0.0,127.9,127.0
2020-12-06,MA,25027,184.7,172.1,153.9,0.0,185.59999999999997,184.7
2020-12-13,MA,25027,215.9,209.99999999999997,157.5,0.0,216.8,215.9
2020-12-20,MA,25027,223.7,219.4,155.70000000000002,0.0,224.1,223.7
2020-12-27,MA,25027,258.5,249.4,162.1,0.0,259.0,258.5
2021-01-03,MA,25027,259.09999999999997,251.0,172.29999999999998,0.0,259.59999999999997,259.09999999999997
2021-01-10,MA,25027,245.39999999999998,232.2,176.4,0.0,246.2,245.39999999999998
2021-01-17,MA,25027,245.8,229.9,180.4,0.0,246.8,245.8
2021-01-24,MA,25027,190.0,177.2,175.0,0.0,190.29999999999998,190.0
2021-01-31,MA,25027,161.7,154.49999999999997,168.5,0.0,162.6,161.7
2021-02-07,MA,25027,112.4,106.30000000000001,163.5,0.0,112.80000000000001,112.4
2021-02-14,MA,25027,73.39999999999999,69.3,165.2,0.0,75.1,73.39999999999999
2021-02-21,MA,25027,58.9,54.3,159.8,0.0,59.3,58.9
2021-02-28,MA,25027,57.6,54.5,155.7,0.0,57.8,57.6
2021-03-07,MA,25027,63.6,60.5,154.7,0.0,64.5,63.6
2021-03-14,MA,25027,49.5,47.00000000000001,158.39999999999998,0.0,49.9,49.5
2021-03-21,MA,25027,39.7,37.2,154.79999999999998,0.0,40.5,39.7
2021-03-28,MA,25027,43.7,41.300000000000004,148.5,0.0,44.4,43.7
2021-04-04,MA,25027,28.8,26.9,161.5,0.0,29.4,28.8
2021-04-11,MA,25027,66.6,64.1,166.0,0.0,67.0,66.6
2021-04-18,MA,25027,65.4,63.599999999999994,163.7,0.0,66.4,65.4
2021-04-25,MA,25027,46.2,43.8,169.5,0.0,47.7,46.2
2021-05-02,MA,25027,39.099999999999994,36.099999999999994,171.39999999999998,0.0,39.8,39.099999999999994
2021-05-09,MA,25027,23.8,20.900000000000002,159.4,0.0,24.4,23.8
2021-05-16,MA,25027,14.3,12.399999999999999,158.8,0.0,15.399999999999999,14.3
2021-05-23,MA,25027,10.1,8.6,159.4,0.0,10.6,10.1
2021-05-30,MA,25027,8.3,7.1,155.60000000000002,0.0,8.9,8.3
2021-06-06,MA,25027,0.0,0.0,155.2,0.0,4.1,0.0
2021-06-13,MA,25027,4.6,0.0,162.7,0.0,4.6,4.6
2021-06-20,MA,25027,0.0,0.0,166.6,0.0,0.0,0.0
2021-06-27,MA,25027,0.0,0.0,160.4,0.0,0.0,0.0
2021-07-04,MA,25027,0.0,0.0,153.1,0.0,0.0,0.0
2021-07-11,MA,25027,4.9,4.3,158.5,0.0,4.9,4.9
2021-07-18,MA,25027,8.4,7.4,160.6,0.0,8.7,8.4
2021-07-25,MA,25027,24.1,23.1,163.3,0.0,24.3,24.1
2021-08-01,MA,25027,16.0,15.1,158.9,0.0,16.9,16.0
2021-08-08,MA,25027,23.1,21.7,154.3,0.0,24.0,23.1
2021-08-15,MA,25027,26.4,20.0,147.0,0.0,26.4,26.4
2021-08-22,MA,25027,42.0,35.7,155.9,0.0,42.0,42.0
2021-08-29,MA,25027,48.6,42.49999999999999,158.0,0.0,49.199999999999996,48.6
2021-09-05,MA,25027,64.6,58.7,158.5,0.0,64.6,64.6
2021-09-12,MA,25027,84.7,77.5,163.10000000000002,0.0,84.7,84.7
2021-09-19,MA,25027,63.3,61.099999999999994,158.8,0.0,63.3,63.3
2021-09-26,MA,25027,74.5,71.7,160.79999999999998,0.0,74.89999999999999,74.5
2021-10-03,MA,25027,71.60000000000001,69.9,157.0,0.0,71.60000000000001,71.60000000000001
2021-10-10,MA,25027,69.2,65.5,163.8,0.0,69.2,69.2
2021-10-17,MA,25027,66.0,63.8,160.4,0.0,66.3,66.0
2021-10-24,MA,25027,52.6,50.9,159.9,0.0,53.199999999999996,52.6
2021-10-31,MA,25027,41.2,40.0,170.5,0.0,41.2,41.2
2021-11-07,MA,25027,41.7,40.4,168.89999999999998,0.0,41.7,41.7
2021-11-14,MA,25027,51.199999999999996,49.6,156.29999999999998,0.0,51.199999999999996,51.199999999999996
2021-11-21,MA,25027,67.89999999999999,65.3,155.50000000000003,0.0,68.5,67.89999999999999
2021-11-28,MA,25027,94.69999999999999,90.8,155.9,0.0,94.89999999999999,94.69999999999999
2021-12-05,MA,25027,128.60000000000002,126.1,157.60000000000002,0.0,130.5,128.60000000000002
2021-12-12,MA,25027,145.5,144.39999999999998,157.2,0.0,146.3,145.5
2021-12-19,MA,25027,151.20000000000002,143.79999999999998,157.9,0.0,152.5,151.20000000000002
2021-12-26,MA,25027,176.89999999999998,169.7,158.9,0.0,177.89999999999998,176.89999999999998
