collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24003,84.4,43.3,54.5,0.0,84.69999999999999,84.4
2020-08-09,MD,24003,71.0,32.099999999999994,49.3,0.0,76.9,71.0
2020-08-16,MD,24003,63.5,31.799999999999997,50.400000000000006,0,65.30000000000001,63.5
2020-08-23,MD,24003,58.7,25.9,45.5,0.0,59.0,58.7
2020-08-30,MD,24003,59.3,27.700000000000003,49.900000000000006,0.0,59.5,59.3
2020-09-06,MD,24003,60.0,30.799999999999997,49.9,0,61.1,60.0
2020-09-13,MD,24003,63.2,32.3,48.9,0,63.8,63.2
2020-09-20,MD,24003,57.7,30.5,44.9,0.0,57.900000000000006,57.7
2020-09-27,MD,24003,59.4,29.4,50.6,0,59.7,59.4
2020-10-04,MD,24003,69.6,40.599999999999994,52.400000000000006,0.0,70.6,69.6
2020-10-11,MD,24003,71.9,42.3,51.0,0.0,72.0,71.9
2020-10-18,MD,24003,78.3,48.4,50.6,0,78.6,78.3
2020-10-25,MD,24003,86.2,54.7,56.3,0.0,86.4,86.2
2020-11-01,MD,24003,91.0,48.5,52.400000000000006,0.0,91.5,91.0
2020-11-08,MD,24003,100.39999999999999,63.9,55.3,0.0,101.2,100.39999999999999
2020-11-15,MD,24003,102.9,68.5,55.7,0.0,103.5,102.9
2020-11-22,MD,24003,133.3,96.0,61.4,0.0,133.8,133.3
2020-11-29,MD,24003,138.60000000000002,108.1,57.7,0,139.2,138.60000000000002
2020-12-06,MD,24003,156.4,124.4,64.7,0,157.7,156.4
2020-12-13,MD,24003,174.0,136.6,64.2,0.0,174.2,174.0
2020-12-20,MD,24003,193.5,148.10000000000002,67.0,0,194.0,193.5
2020-12-27,MD,24003,191.8,144.60000000000002,72.4,0.0,192.10000000000002,191.8
2021-01-03,MD,24003,197.4,159.3,69.9,0.0,197.7,197.4
2021-01-10,MD,24003,191.4,156.4,75.7,0.0,191.7,191.4
2021-01-17,MD,24003,195.39999999999998,148.8,71.8,0.0,195.5,195.39999999999998
2021-01-24,MD,24003,161.7,128.4,68.9,0,162.7,161.7
2021-01-31,MD,24003,136.5,98.9,67.7,0.0,137.0,136.5
2021-02-07,MD,24003,136.5,94.4,67.6,0.0,137.3,136.5
2021-02-14,MD,24003,109.0,78.0,63.3,0.0,109.1,109.0
2021-02-21,MD,24003,95.5,57.1,62.5,0.0,96.1,95.5
2021-02-28,MD,24003,74.7,44.6,58.7,0.0,75.0,74.7
2021-03-07,MD,24003,80.1,44.3,55.4,0.0,80.2,80.1
2021-03-14,MD,24003,89.6,54.3,56.599999999999994,0,91.0,89.6
2021-03-21,MD,24003,103.30000000000001,61.0,59.0,0,104.2,103.30000000000001
2021-03-28,MD,24003,95.1,53.2,55.0,0,95.4,95.1
2021-04-04,MD,24003,118.6,77.69999999999999,56.7,0.0,119.0,118.6
2021-04-11,MD,24003,130.3,88.9,58.1,0.0,130.7,130.3
2021-04-18,MD,24003,109.9,75.8,56.5,0.0,111.3,109.9
2021-04-25,MD,24003,107.4,63.099999999999994,53.8,0.0,107.4,107.4
2021-05-02,MD,24003,93.19999999999999,52.4,51.900000000000006,0.0,93.3,93.19999999999999
2021-05-09,MD,24003,73.5,38.099999999999994,50.6,0.0,73.5,73.5
2021-05-16,MD,24003,73.3,35.2,52.5,0.0,73.69999999999999,73.3
2021-05-23,MD,24003,62.4,25.1,49.8,0.0,62.599999999999994,62.4
