collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24017,15.3,15.3,9.9,0.0,15.3,15.3
2020-08-09,MD,24017,9.9,9.9,7.4,0.0,9.9,9.9
2020-08-16,MD,24017,6.9,6.9,4.9,0.0,6.9,6.9
2020-08-23,MD,24017,4.1,4.1,6.3,0.0,4.1,4.1
2020-08-30,MD,24017,0,0,5.7,0.0,0,0.0
2020-09-06,MD,24017,5.6,5.6,6.9,0.0,5.6,5.6
2020-09-13,MD,24017,6.0,6.0,5.9,0.0,6.0,6.0
2020-09-20,MD,24017,0,0,4.6,0.0,0,0.0
2020-09-27,MD,24017,0,0,6.0,0.0,0,0.0
2020-10-04,MD,24017,0,0,6.0,0.0,0,0.0
2020-10-11,MD,24017,4.6,4.6,6.6,0.0,4.6,4.6
2020-10-18,MD,24017,0,0,7.0,0.0,0,0.0
2020-10-25,MD,24017,5.3,5.3,6.9,0.0,5.3,5.3
2020-11-01,MD,24017,8.9,8.9,7.6,0.0,8.9,8.9
2020-11-08,MD,24017,10.1,8.7,6.7,0.0,10.1,10.1
2020-11-15,MD,24017,13.3,13.3,6.1,0.0,13.3,13.3
2020-11-22,MD,24017,9.0,9.0,7.1,0.0,9.0,9.0
2020-11-29,MD,24017,13.3,13.3,7.0,0.0,13.3,13.3
2020-12-06,MD,24017,19.1,19.1,8.6,0.0,19.1,19.1
2020-12-13,MD,24017,9.9,9.9,7.9,0.0,9.9,9.9
2020-12-20,MD,24017,18.6,18.6,7.9,0.0,18.6,18.6
2020-12-27,MD,24017,18.1,18.1,8.3,0.0,18.1,18.1
2021-01-03,MD,24017,21.1,21.1,7.9,0.0,21.1,21.1
2021-01-10,MD,24017,20.4,20.4,8.7,0.0,20.4,20.4
2021-01-17,MD,24017,18.9,18.9,8.0,0.0,18.9,18.9
2021-01-24,MD,24017,10.9,10.9,7.7,0.0,10.9,10.9
2021-01-31,MD,24017,13.9,13.9,8.6,0.0,13.9,13.9
2021-02-07,MD,24017,17.4,17.4,7.7,0.0,17.4,17.4
2021-02-14,MD,24017,15.1,15.1,8.1,0.0,15.1,15.1
2021-02-21,MD,24017,13.6,13.6,7.9,0.0,13.6,13.6
2021-02-28,MD,24017,11.6,11.6,7.9,0.0,11.6,11.6
2021-03-07,MD,24017,9.0,9.0,7.7,0.0,9.0,9.0
2021-03-14,MD,24017,8.9,8.9,8.7,0.0,8.9,8.9
2021-03-21,MD,24017,7.1,7.1,8.9,0.0,7.1,7.1
2021-03-28,MD,24017,10.7,10.7,8.1,0.0,10.7,10.7
2021-04-04,MD,24017,9.7,9.7,8.6,0.0,9.7,9.7
2021-04-11,MD,24017,11.6,11.6,9.1,0.0,11.6,11.6
2021-04-18,MD,24017,6.3,6.3,8.6,0.0,6.3,6.3
2021-04-25,MD,24017,10.1,10.1,6.4,0.0,10.1,10.1
2021-05-02,MD,24017,7.4,7.4,8.0,0.0,7.4,7.4
2021-05-09,MD,24017,5.6,5.6,9.1,0.0,5.6,5.6
2021-05-16,MD,24017,5.7,5.7,8.9,0.0,5.7,5.7
2021-05-23,MD,24017,6.1,6.1,8.7,0.0,6.1,6.1
2021-05-30,MD,24017,6.0,6.0,7.6,0.0,6.0,6.0
2021-06-06,MD,24017,0,0,5.7,0.0,0,0.0
2021-06-13,MD,24017,0,0,5.6,0.0,0,0.0
2021-06-20,MD,24017,0,0,7.7,0,0,0.0
2021-06-27,MD,24017,0,0,5.9,0.0,0,0.0
2021-07-04,MD,24017,0,0,6.3,0.0,0,0.0
2021-07-11,MD,24017,4.0,4.0,6.9,0.0,4.0,4.0
2021-07-18,MD,24017,0,0,6.3,0.0,0,0.0
2021-07-25,MD,24017,0,0,6.9,0.0,0,0.0
2021-08-01,MD,24017,5.3,5.1,7.7,0.0,5.3,5.3
2021-08-08,MD,24017,7.3,7.3,7.1,0.0,7.3,7.3
2021-08-15,MD,24017,10.1,10.1,8.0,0.0,10.1,10.1
2021-08-22,MD,24017,13.3,13.3,7.0,0.0,13.3,13.3
2021-08-29,MD,24017,17.3,17.3,7.0,0.0,17.3,17.3
2021-09-05,MD,24017,18.1,18.1,8.9,0.0,18.1,18.1
2021-09-12,MD,24017,16.0,16.0,8.4,0.0,16.0,16.0
2021-09-19,MD,24017,14.1,14.1,9.1,0.0,14.1,14.1
2021-09-26,MD,24017,13.0,13.0,7.6,0.0,13.0,13.0
2021-10-03,MD,24017,13.0,13.0,8.0,0.0,13.0,13.0
2021-10-10,MD,24017,13.9,13.9,6.7,0.0,13.9,13.9
2021-10-17,MD,24017,11.0,11.0,6.7,0.0,11.0,11.0
2021-10-24,MD,24017,9.4,9.4,6.6,0.0,9.4,9.4
2021-10-31,MD,24017,5.0,5.0,6.9,0.0,5.0,5.0
2021-11-07,MD,24017,7.4,7.4,6.6,0.0,7.4,7.4
2021-11-14,MD,24017,5.7,5.7,6.0,0.0,5.7,5.7
2021-11-21,MD,24017,5.9,5.9,6.9,0.0,5.9,5.9
2021-11-28,MD,24017,7.4,7.3,7.3,0.0,7.4,7.4
2021-12-05,MD,24017,10.9,10.9,8.4,0.0,10.9,10.9
2021-12-12,MD,24017,14.7,14.7,8.0,0.0,14.7,14.7
