collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24021,10.6,6.1,14.0,0.0,10.6,10.6
2020-08-09,MD,24021,9.7,6.0,11.5,0.0,9.7,9.7
2020-08-16,MD,24021,9.7,5.9,7.8,0.0,9.7,9.7
2020-08-23,MD,24021,9.4,4.3,9.3,0,9.6,9.4
2020-08-30,MD,24021,4.9,0,9.3,0.0,4.9,4.9
2020-09-06,MD,24021,5.4,0,13.3,0.0,5.4,5.4
2020-09-13,MD,24021,4.3,0,12.9,0.0,4.3,4.3
2020-09-20,MD,24021,5.7,0,10.6,0,6.0,5.7
2020-09-27,MD,24021,6.0,4.9,12.6,0.0,6.0,6.0
2020-10-04,MD,24021,5.9,5.1,11.3,0.0,5.9,5.9
2020-10-11,MD,24021,6.9,6.6,10.3,0.0,6.9,6.9
2020-10-18,MD,24021,13.9,13.6,14.3,0.0,13.9,13.9
2020-10-25,MD,24021,15.9,15.9,9.9,0.0,15.9,15.9
2020-11-01,MD,24021,13.4,13.4,11.1,0.0,13.4,13.4
2020-11-08,MD,24021,18.7,18.7,12.7,0.0,18.7,18.7
2020-11-15,MD,24021,23.6,23.6,8.7,0.0,23.6,23.6
2020-11-22,MD,24021,31.4,31.4,12.3,0.0,31.4,31.4
2020-11-29,MD,24021,39.1,39.1,13.3,0.0,39.1,39.1
2020-12-06,MD,24021,49.6,49.6,15.1,0.0,49.6,49.6
2020-12-13,MD,24021,48.1,48.1,16.4,0.0,48.1,48.1
2020-12-20,MD,24021,54.6,54.6,14.4,0.0,54.6,54.6
2020-12-27,MD,24021,50.1,50.1,16.3,0.0,50.1,50.1
2021-01-03,MD,24021,51.3,51.3,16.6,0.0,51.3,51.3
2021-01-10,MD,24021,64.9,64.9,14.7,0.0,64.9,64.9
2021-01-17,MD,24021,66.9,66.9,15.0,0.0,66.9,66.9
2021-01-24,MD,24021,49.3,49.3,15.4,0.0,49.3,49.3
2021-01-31,MD,24021,32.6,32.6,14.3,0.0,32.6,32.6
2021-02-07,MD,24021,41.9,41.9,15.4,0.0,41.9,41.9
2021-02-14,MD,24021,38.3,38.3,16.1,0.0,38.3,38.3
2021-02-21,MD,24021,32.0,32.0,13.0,0.0,32.0,32.0
2021-02-28,MD,24021,34.7,34.7,13.3,0.0,34.7,34.7
2021-03-07,MD,24021,28.6,28.6,14.0,0.0,28.6,28.6
2021-03-14,MD,24021,23.4,23.4,14.1,0.0,23.4,23.4
2021-03-21,MD,24021,24.6,24.6,13.3,0.0,24.6,24.6
