collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24025,27.6,4.7,24.2,0.0,27.6,27.6
2020-08-09,MD,24025,31.700000000000003,6.0,25.5,0.0,31.700000000000003,31.700000000000003
2020-08-16,MD,24025,31.7,7.3,24.6,0.0,32.0,31.7
2020-08-23,MD,24025,30.799999999999997,6.7,25.6,0.0,30.799999999999997,30.799999999999997
2020-08-30,MD,24025,26.0,10.1,21.0,0.0,31.7,26.0
2020-09-06,MD,24025,27.7,6.6,25.9,0,28.200000000000003,27.7
2020-09-13,MD,24025,25.200000000000003,9.399999999999999,25.299999999999997,0.0,25.5,25.200000000000003
2020-09-20,MD,24025,22.4,0,26.799999999999997,0.0,23.1,22.4
2020-09-27,MD,24025,25.200000000000003,7.0,25.200000000000003,0.0,25.6,25.200000000000003
2020-10-04,MD,24025,29.6,10.7,24.0,0.0,29.9,29.6
2020-10-11,MD,24025,36.6,13.9,26.0,0.0,37.0,36.6
2020-10-18,MD,24025,37.3,14.3,23.6,0.0,39.8,37.3
2020-10-25,MD,24025,20.6,9.9,23.200000000000003,0.0,21.2,20.6
2020-11-01,MD,24025,23.299999999999997,11.4,25.200000000000003,0.0,23.299999999999997,23.299999999999997
2020-11-08,MD,24025,34.8,16.1,26.700000000000003,0.0,35.8,34.8
2020-11-15,MD,24025,46.1,29.0,20.9,0.0,46.6,46.1
2020-11-22,MD,24025,67.3,47.0,25.0,0.0,68.0,67.3
2020-11-29,MD,24025,68.3,48.6,25.3,0.0,68.4,68.3
2020-12-06,MD,24025,66.7,47.5,23.4,6.1,72.89999999999999,72.8
2020-12-13,MD,24025,70.5,51.3,24.5,7.0,77.5,77.5
2020-12-20,MD,24025,64.4,53.9,28.9,0.0,64.8,64.4
2020-12-27,MD,24025,67.4,51.099999999999994,29.0,0.0,67.6,67.4
2021-01-03,MD,24025,60.5,43.7,26.9,0.0,61.0,60.5
2021-01-10,MD,24025,68.0,52.099999999999994,26.4,0,68.4,68.0
2021-01-17,MD,24025,80.8,63.0,26.5,0.0,81.19999999999999,80.8
2021-01-24,MD,24025,70.3,55.5,22.6,0,71.9,70.3
2021-01-31,MD,24025,58.4,47.9,25.6,0.0,59.7,58.4
2021-02-07,MD,24025,57.2,41.8,26.1,0,58.1,57.2
2021-02-14,MD,24025,51.0,38.2,26.700000000000003,0.0,51.1,51.0
2021-02-21,MD,24025,37.099999999999994,18.9,27.1,0.0,37.8,37.099999999999994
2021-02-28,MD,24025,38.6,20.1,26.3,0.0,38.7,38.6
2021-03-07,MD,24025,39.7,21.9,26.200000000000003,0.0,40.1,39.7
2021-03-14,MD,24025,42.3,30.200000000000003,27.0,0.0,42.3,42.3
2021-03-21,MD,24025,46.300000000000004,32.4,27.0,0.0,47.1,46.300000000000004
2021-03-28,MD,24025,71.0,56.5,26.3,0.0,71.9,71.0
2021-04-04,MD,24025,66.5,51.800000000000004,27.0,0.0,68.0,66.5
2021-04-11,MD,24025,62.1,48.099999999999994,26.099999999999998,0.0,62.6,62.1
2021-04-18,MD,24025,59.599999999999994,47.8,25.400000000000002,0.0,61.0,59.599999999999994
2021-04-25,MD,24025,52.599999999999994,40.900000000000006,25.2,0.0,53.599999999999994,52.599999999999994
2021-05-02,MD,24025,40.3,29.0,25.8,0.0,41.7,40.3
2021-05-09,MD,24025,34.6,23.5,23.900000000000002,0.0,35.7,34.6
2021-05-16,MD,24025,19.5,13.799999999999999,20.7,0,21.6,19.5
2021-05-23,MD,24025,9.9,6.1,21.0,0.0,12.0,9.9
2021-05-30,MD,24025,10.4,7.3,20.7,0.0,10.4,10.4
2021-06-06,MD,24025,7.6,0,19.7,0.0,8.3,7.6
2021-06-13,MD,24025,0,0.0,21.0,0.0,4.3,0.0
2021-06-20,MD,24025,4.0,0,24.099999999999998,0.0,5.0,4.0
2021-06-27,MD,24025,0,0,18.0,0.0,4.6,0.0
2021-07-04,MD,24025,4.0,0,17.6,0.0,5.6,4.0
2021-07-11,MD,24025,11.2,0,25.200000000000003,0.0,11.2,11.2
2021-07-18,MD,24025,6.9,4.0,26.7,0.0,7.7,6.9
2021-07-25,MD,24025,8.4,6.1,24.799999999999997,0.0,10.1,8.4
2021-08-01,MD,24025,17.8,7.1,25.799999999999997,4.3,22.099999999999998,22.1
2021-08-08,MD,24025,27.599999999999998,18.700000000000003,25.4,0.0,29.3,27.599999999999998
2021-08-15,MD,24025,32.8,28.700000000000003,26.299999999999997,0.0,36.3,32.8
2021-08-22,MD,24025,37.0,30.5,26.4,0.0,38.7,37.0
2021-08-29,MD,24025,40.0,35.2,27.099999999999998,0.0,43.0,40.0
2021-09-05,MD,24025,44.1,36.6,26.5,0.0,46.0,44.1
2021-09-12,MD,24025,36.6,30.5,25.0,0.0,39.6,36.6
2021-09-19,MD,24025,32.7,25.700000000000003,25.6,0,34.9,32.7
2021-09-26,MD,24025,29.3,24.0,25.599999999999998,0.0,32.0,29.3
2021-10-03,MD,24025,35.9,29.900000000000002,26.099999999999998,0.0,36.4,35.9
2021-10-10,MD,24025,39.3,32.5,26.7,0.0,40.0,39.3
2021-10-17,MD,24025,36.5,31.6,25.3,0.0,38.0,36.5
2021-10-24,MD,24025,28.6,22.0,26.2,0.0,29.400000000000002,28.6
2021-10-31,MD,24025,22.7,16.5,23.1,0.0,24.5,22.7
2021-11-07,MD,24025,22.0,15.1,24.200000000000003,0,24.1,22.0
2021-11-14,MD,24025,21.700000000000003,17.0,22.9,0.0,22.4,21.700000000000003
2021-11-21,MD,24025,27.5,21.2,25.1,0.0,28.6,27.5
2021-11-28,MD,24025,41.0,32.8,28.0,0.0,41.5,41.0
2021-12-05,MD,24025,45.8,37.5,26.5,0.0,47.3,45.8
2021-12-12,MD,24025,60.4,52.9,27.4,0.0,60.8,60.4
2021-12-19,MD,24025,71.9,64.1,26.5,0.0,72.5,71.9
2021-12-26,MD,24025,78.2,72.3,27.200000000000003,0.0,79.1,78.2
