collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24041,12.7,7.3,0,0.0,12.7,12.7
2020-08-09,MD,24041,24.3,11.6,6.0,0.0,24.3,24.3
2020-08-16,MD,24041,16.6,8.0,5.1,0.0,16.6,16.6
2020-08-23,MD,24041,14.4,6.1,6.3,0,14.7,14.4
2020-08-30,MD,24041,8.0,0,7.3,0,8.3,8.0
2020-09-06,MD,24041,9.3,0,4.6,0,9.7,9.3
2020-09-13,MD,24041,8.1,0,4.6,0,8.9,8.1
2020-09-20,MD,24041,11.0,0,5.4,0.0,11.0,11.0
2020-09-27,MD,24041,15.2,4.2,7.0,0.0,15.2,15.2
2020-10-04,MD,24041,13.3,5.0,5.3,0.0,13.3,13.3
2020-10-11,MD,24041,0,0,0,0,5.4,0.0
2020-10-18,MD,24041,7.4,0,0,0,9.7,7.4
2020-10-25,MD,24041,12.4,5.7,5.0,0.0,12.4,12.4
2020-11-01,MD,24041,13.9,6.1,5.3,0.0,13.9,13.9
2020-11-08,MD,24041,15.0,7.4,6.0,0,15.4,15.0
2020-11-15,MD,24041,15.7,7.0,6.9,0,16.4,15.7
2020-11-22,MD,24041,8.3,4.3,5.3,0,8.7,8.3
2020-11-29,MD,24041,16.3,9.0,4.3,0,16.4,16.3
2020-12-06,MD,24041,19.1,10.6,4.6,0.0,19.1,19.1
2020-12-13,MD,24041,17.1,9.7,5.3,0.0,17.1,17.1
2020-12-20,MD,24041,17.9,10.4,5.1,0,18.0,17.9
2020-12-27,MD,24041,21.0,12.1,5.6,0,21.3,21.0
2021-01-03,MD,24041,19.7,12.4,7.3,0.0,19.7,19.7
2021-01-10,MD,24041,22.7,14.4,7.9,0.0,22.7,22.7
2021-01-17,MD,24041,25.3,14.6,8.1,0.0,25.3,25.3
2021-01-24,MD,24041,25.0,15.7,8.4,0,25.6,25.0
2021-01-31,MD,24041,20.7,15.1,7.6,0.0,20.7,20.7
2021-02-07,MD,24041,21.0,12.3,9.4,0.0,21.0,21.0
2021-02-14,MD,24041,15.0,7.4,7.1,0,15.1,15.0
2021-02-21,MD,24041,15.6,8.6,6.4,0.0,15.6,15.6
2021-02-28,MD,24041,10.9,5.4,7.0,0.0,10.9,10.9
2021-03-07,MD,24041,10.1,4.9,6.3,0,10.4,10.1
2021-03-14,MD,24041,9.0,4.7,5.3,0.0,9.0,9.0
2021-03-21,MD,24041,8.4,0,6.1,0.0,8.4,8.4
2021-03-28,MD,24041,8.6,0,6.1,0.0,8.6,8.6
2021-04-04,MD,24041,10.7,5.1,6.9,0.0,10.7,10.7
2021-04-11,MD,24041,7.1,0,5.9,0,7.3,7.1
2021-04-18,MD,24041,7.1,0,4.0,0.0,7.1,7.1
2021-04-25,MD,24041,8.1,5.3,4.9,0.0,8.1,8.1
2021-05-02,MD,24041,4.3,0,4.6,0.0,4.3,4.3
2021-05-09,MD,24041,7.9,5.1,6.0,0.0,7.9,7.9
2021-05-16,MD,24041,4.0,0,4.9,0,4.1,4.0
2021-05-23,MD,24041,0,0,5.9,0.0,0,0.0
2021-05-30,MD,24041,4.9,0,5.7,0.0,4.9,4.9
2021-06-06,MD,24041,4.0,0,4.7,0.0,4.0,4.0
2021-06-13,MD,24041,4.0,0,6.0,0.0,4.0,4.0
2021-06-20,MD,24041,0,0.0,4.9,0.0,0,0.0
2021-06-27,MD,24041,4.4,0.0,0,0.0,4.4,4.4
2021-07-04,MD,24041,0,0.0,0,0.0,0,0.0
2021-07-11,MD,24041,0,0.0,4.4,0.0,0,0.0
2021-07-18,MD,24041,0,0,4.1,0.0,0,0.0
2021-07-25,MD,24041,0,0,4.3,0.0,0,0.0
2021-08-01,MD,24041,7.4,0,5.6,0.0,7.4,7.4
2021-08-08,MD,24041,10.1,0,5.9,0,10.4,10.1
2021-08-15,MD,24041,11.3,4.9,7.7,0,11.4,11.3
2021-08-22,MD,24041,7.9,4.4,8.0,0,8.0,7.9
2021-08-29,MD,24041,12.3,4.6,6.9,0.0,12.3,12.3
2021-09-05,MD,24041,19.1,7.1,6.6,0.0,19.1,19.1
2021-09-12,MD,24041,12.6,7.6,7.3,0.0,12.6,12.6
2021-09-19,MD,24041,10.4,5.4,6.7,0.0,10.4,10.4
2021-09-26,MD,24041,6.9,0,7.1,0.0,6.9,6.9
2021-10-03,MD,24041,6.4,0,6.0,0,7.1,6.4
2021-10-10,MD,24041,7.7,4.0,5.4,0,8.4,7.7
2021-10-17,MD,24041,6.4,0,7.6,0.0,6.4,6.4
2021-10-24,MD,24041,5.6,0,7.3,0,5.9,5.6
2021-10-31,MD,24041,5.3,0,7.6,0.0,5.3,5.3
2021-11-07,MD,24041,7.4,4.9,6.6,0,8.1,7.4
2021-11-14,MD,24041,7.9,4.0,6.4,0,8.4,7.9
2021-11-21,MD,24041,5.9,0,5.9,0,6.6,5.9
2021-11-28,MD,24041,6.3,0,7.1,0.0,6.3,6.3
2021-12-05,MD,24041,6.9,4.1,7.0,0,7.0,6.9
2021-12-12,MD,24041,8.9,4.4,7.9,0,9.4,8.9
2021-12-19,MD,24041,14.7,11.0,8.7,0.0,14.7,14.7
2021-12-26,MD,24041,17.6,12.3,8.9,0.0,17.6,17.6
