collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MD,24045,17.1,12.3,31.0,0.0,18.0,17.1
2020-08-09,MD,24045,16.0,13.6,29.0,0.0,16.1,16.0
2020-08-16,MD,24045,18.1,15.0,32.0,0.0,18.4,18.1
2020-08-23,MD,24045,10.3,9.7,32.0,0.0,10.3,10.3
2020-08-30,MD,24045,9.7,8.4,28.7,0.0,9.9,9.7
2020-09-06,MD,24045,15.9,14.0,32.7,0.0,16.1,15.9
2020-09-13,MD,24045,16.3,15.0,31.7,0.0,16.6,16.3
2020-09-20,MD,24045,16.0,14.6,33.1,0.0,16.0,16.0
2020-09-27,MD,24045,16.0,14.7,35.1,0.0,16.0,16.0
2020-10-04,MD,24045,21.7,20.0,34.4,0.0,22.1,21.7
2020-10-11,MD,24045,22.1,19.4,36.0,0.0,22.3,22.1
2020-10-18,MD,24045,22.3,21.9,35.4,0.0,22.6,22.3
2020-10-25,MD,24045,20.9,20.1,34.1,0.0,20.9,20.9
2020-11-01,MD,24045,27.0,23.9,35.1,0.0,27.9,27.0
2020-11-08,MD,24045,33.7,26.4,35.7,0.0,34.0,33.7
2020-11-15,MD,24045,39.7,26.9,36.4,0.0,40.0,39.7
2020-11-22,MD,24045,42.0,30.7,37.6,0.0,42.6,42.0
2020-11-29,MD,24045,59.0,41.9,32.9,0.0,59.3,59.0
2020-12-06,MD,24045,65.1,48.0,32.0,0.0,65.3,65.1
2020-12-13,MD,24045,60.0,43.0,31.6,0.0,60.3,60.0
2020-12-20,MD,24045,65.0,47.6,30.6,0.0,65.0,65.0
2020-12-27,MD,24045,73.6,52.3,36.4,0.0,73.9,73.6
2021-01-03,MD,24045,75.0,55.0,31.6,0.0,75.7,75.0
2021-01-10,MD,24045,73.4,55.6,31.0,0.0,73.6,73.4
