collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ME,23001,6.0,0.0,24.4,0.0,6.0,6.0
2020-08-09,ME,23001,0,0,26.6,0.0,0,0.0
2020-08-16,ME,23001,0,0,26.9,0.0,0,0.0
2020-08-23,ME,23001,5.3,0,24.1,0.0,5.3,5.3
2020-08-30,ME,23001,5.8,0,25.9,0.0,5.8,5.8
2020-09-06,ME,23001,0,0.0,27.4,0.0,0,0.0
2020-09-13,ME,23001,4.3,0.0,25.5,0.0,4.3,4.3
2020-09-20,ME,23001,0,0.0,27.9,0.0,0,0.0
2020-09-27,ME,23001,5.3,4.0,34.2,0.0,5.3,5.3
2020-10-04,ME,23001,5.2,0,24.7,0.0,5.2,5.2
2020-10-11,ME,23001,4.4,0,29.5,0.0,4.4,4.4
2020-10-18,ME,23001,0,0,29.3,0.0,0,0.0
2020-10-25,ME,23001,0,0.0,25.299999999999997,0.0,0,0.0
2020-11-01,ME,23001,0,0,29.6,0.0,0,0.0
2020-11-08,ME,23001,9.1,0,32.9,0.0,9.1,9.1
2020-11-15,ME,23001,15.3,11.399999999999999,30.3,0.0,15.399999999999999,15.3
2020-11-22,ME,23001,15.7,14.4,31.299999999999997,0.0,15.7,15.7
2020-11-29,ME,23001,20.1,18.0,34.9,0.0,20.1,20.1
2020-12-06,ME,23001,21.0,16.3,32.8,0.0,21.1,21.0
2020-12-13,ME,23001,19.1,15.0,30.200000000000003,0.0,19.4,19.1
2020-12-20,ME,23001,16.5,13.5,29.299999999999997,0.0,16.5,16.5
2020-12-27,ME,23001,16.5,7.1,32.699999999999996,0.0,16.5,16.5
2021-01-03,ME,23001,20.2,14.7,37.3,0,21.3,20.2
2021-01-10,ME,23001,23.299999999999997,16.2,40.1,0,23.900000000000002,23.299999999999997
2021-01-17,ME,23001,29.200000000000003,24.299999999999997,39.9,0.0,29.200000000000003,29.200000000000003
2021-01-24,ME,23001,32.5,26.3,39.1,0.0,32.6,32.5
2021-01-31,ME,23001,24.1,20.0,38.4,0.0,24.3,24.1
2021-02-07,ME,23001,19.5,13.8,35.8,0.0,19.5,19.5
2021-02-14,ME,23001,7.7,5.0,33.5,0.0,7.9,7.7
2021-02-21,ME,23001,9.4,4.6,36.9,0.0,9.6,9.4
2021-02-28,ME,23001,10.9,5.1,33.7,0.0,11.0,10.9
2021-03-07,ME,23001,8.9,4.1,38.6,0.0,8.9,8.9
2021-03-14,ME,23001,8.7,5.9,36.0,0.0,8.7,8.7
2021-03-21,ME,23001,15.0,10.9,40.0,0.0,15.0,15.0
2021-03-28,ME,23001,13.9,8.7,38.7,0.0,14.1,13.9
2021-04-04,ME,23001,15.7,10.4,38.2,0.0,15.9,15.7
2021-04-11,ME,23001,30.5,24.6,39.0,0.0,30.5,30.5
2021-04-18,ME,23001,30.3,21.0,39.7,0.0,30.6,30.3
2021-04-25,ME,23001,29.799999999999997,22.1,37.8,0.0,30.1,29.799999999999997
2021-05-02,ME,23001,34.8,27.700000000000003,40.3,0.0,35.0,34.8
2021-05-09,ME,23001,25.1,16.3,38.2,0.0,25.1,25.1
2021-05-16,ME,23001,14.0,10.0,36.8,0.0,14.3,14.0
