collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,ME,23005,8.1,4.7,66.9,0.0,8.3,8.1
2020-08-09,ME,23005,6.3,4.7,74.0,0.0,6.6,6.3
2020-08-16,ME,23005,4.3,0.0,75.2,0.0,4.9,4.3
2020-08-23,ME,23005,4.0,0.0,73.60000000000001,0.0,4.6,4.0
2020-08-30,ME,23005,6.1,0.0,72.9,0.0,6.4,6.1
2020-09-06,ME,23005,6.7,4.3,66.5,0.0,7.1,6.7
2020-09-13,ME,23005,7.1,5.3,67.0,0.0,7.3,7.1
2020-09-20,ME,23005,6.0,4.0,63.0,0.0,6.4,6.0
2020-09-27,ME,23005,0,0,57.9,0.0,0,0.0
2020-10-04,ME,23005,0,0.0,64.8,0.0,0,0.0
2020-10-11,ME,23005,0,0.0,63.800000000000004,0.0,0,0.0
2020-10-18,ME,23005,0,0.0,69.8,0.0,0,0.0
2020-10-25,ME,23005,0,0,73.5,0.0,0,0.0
2020-11-01,ME,23005,11.3,4.6,76.8,0.0,11.5,11.3
2020-11-08,ME,23005,21.1,8.9,75.39999999999999,0.0,22.3,21.1
2020-11-15,ME,23005,22.9,10.0,68.2,0.0,24.1,22.9
2020-11-22,ME,23005,33.7,21.1,70.0,0.0,34.0,33.7
2020-11-29,ME,23005,53.0,40.8,72.0,0.0,53.39999999999999,53.0
2020-12-06,ME,23005,67.2,58.3,74.2,0.0,67.3,67.2
2020-12-13,ME,23005,66.1,56.9,67.39999999999999,0.0,67.3,66.1
2020-12-20,ME,23005,71.4,56.8,61.7,0.0,73.6,71.4
2020-12-27,ME,23005,68.5,54.5,64.6,0.0,70.5,68.5
2021-01-03,ME,23005,73.7,60.9,68.2,0.0,75.1,73.7
2021-01-10,ME,23005,78.10000000000001,65.7,76.30000000000001,0.0,78.5,78.10000000000001
2021-01-17,ME,23005,78.8,69.1,76.5,0.0,80.5,78.8
