collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26055,0,0,70.9,0.0,0,0.0
2020-08-09,MI,26055,0,0,75.4,0.0,0,0.0
2020-08-16,MI,26055,0,0,72.9,0.0,0,0.0
2020-08-23,MI,26055,0,0,73.7,0.0,0,0.0
2020-08-30,MI,26055,0,0,75.9,0.0,0,0.0
2020-09-06,MI,26055,4.3,4.0,78.9,0.0,4.3,4.3
2020-09-13,MI,26055,5.4,5.4,78.9,0.0,5.4,5.4
2020-09-20,MI,26055,4.0,0,76.9,0.0,4.0,4.0
2020-09-27,MI,26055,0,0,73.9,0.0,0,0.0
2020-10-04,MI,26055,0,0,75.6,0,0,0.0
2020-10-11,MI,26055,6.4,6.3,77.6,0.0,6.4,6.4
2020-10-18,MI,26055,8.1,7.9,71.1,0.0,8.1,8.1
2020-10-25,MI,26055,10.0,9.9,70.3,0.0,10.0,10.0
2020-11-01,MI,26055,21.7,20.6,78.4,0.0,21.7,21.7
2020-11-08,MI,26055,38.0,37.9,71.4,0.0,38.0,38.0
2020-11-15,MI,26055,48.3,47.9,71.3,0,48.4,48.3
2020-11-22,MI,26055,44.3,43.3,67.4,0,44.4,44.3
2020-11-29,MI,26055,43.0,42.0,66.7,0,43.3,43.0
2020-12-06,MI,26055,44.6,44.3,72.0,0.0,44.6,44.6
2020-12-13,MI,26055,48.3,47.9,73.0,0.0,48.3,48.3
2020-12-20,MI,26055,40.7,40.6,67.3,0.0,40.7,40.7
2020-12-27,MI,26055,34.1,34.1,64.7,0,34.3,34.1
2021-01-03,MI,26055,27.1,27.1,72.7,0.0,27.1,27.1
2021-01-10,MI,26055,27.4,27.1,72.6,0.0,27.4,27.4
2021-01-17,MI,26055,28.7,28.7,76.4,0.0,28.7,28.7
2021-01-24,MI,26055,27.7,27.7,76.6,0.0,27.7,27.7
2021-01-31,MI,26055,18.4,18.4,66.3,0.0,18.4,18.4
2021-02-07,MI,26055,12.3,12.3,63.9,0.0,12.3,12.3
2021-02-14,MI,26055,7.6,7.6,67.0,0.0,7.6,7.6
2021-02-21,MI,26055,10.0,10.0,72.3,0.0,10.0,10.0
2021-02-28,MI,26055,16.0,15.1,72.6,0.0,16.0,16.0
2021-03-07,MI,26055,15.1,14.3,71.4,0.0,15.1,15.1
2021-03-14,MI,26055,15.3,15.3,75.6,0,15.6,15.3
2021-03-21,MI,26055,26.3,26.1,72.7,0.0,26.3,26.3
2021-03-28,MI,26055,34.0,34.0,76.0,0.0,34.0,34.0
2021-04-04,MI,26055,52.4,52.4,77.6,0.0,52.4,52.4
2021-04-11,MI,26055,53.6,53.3,77.0,0.0,53.6,53.6
2021-04-18,MI,26055,59.0,59.0,80.3,0.0,59.0,59.0
2021-04-25,MI,26055,45.9,45.9,74.4,0,46.4,45.9
2021-05-02,MI,26055,28.6,28.6,71.9,0.0,28.6,28.6
2021-05-09,MI,26055,28.1,28.1,73.7,0.0,28.1,28.1
2021-05-16,MI,26055,26.3,26.3,77.6,0.0,26.3,26.3
2021-05-23,MI,26055,15.4,15.3,74.3,0.0,15.4,15.4
2021-05-30,MI,26055,5.7,5.7,76.1,0.0,5.7,5.7
2021-06-06,MI,26055,5.3,5.3,77.4,0.0,5.3,5.3
2021-06-13,MI,26055,8.6,8.6,72.3,0.0,8.6,8.6
2021-06-20,MI,26055,5.0,5.0,74.6,0.0,5.0,5.0
2021-06-27,MI,26055,0,0,71.4,0.0,0,0.0
2021-07-04,MI,26055,0,0,73.4,0,0,0.0
2021-07-11,MI,26055,4.3,4.3,74.7,0.0,4.3,4.3
2021-07-18,MI,26055,4.1,4.1,74.1,0.0,4.1,4.1
2021-07-25,MI,26055,5.9,5.6,73.7,0,6.0,5.9
2021-08-01,MI,26055,13.4,13.0,77.0,0.0,13.4,13.4
2021-08-08,MI,26055,17.6,17.6,76.4,0.0,17.6,17.6
2021-08-15,MI,26055,11.0,10.7,70.4,0,12.0,11.0
2021-08-22,MI,26055,23.4,23.4,68.7,0,24.0,23.4
2021-08-29,MI,26055,20.6,20.4,74.9,0,20.7,20.6
2021-09-05,MI,26055,24.7,24.0,70.1,0.0,24.7,24.7
2021-09-12,MI,26055,24.6,24.0,74.1,0.0,24.6,24.6
