collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26065,13.0,7.1,39.1,0.0,24.4,13.0
2020-08-09,MI,26065,13.4,8.8,37.4,0.0,23.6,13.4
2020-08-16,MI,26065,18.1,12.1,37.1,0.0,22.6,18.1
2020-08-23,MI,26065,18.1,13.1,41.0,0.0,20.4,18.1
2020-08-30,MI,26065,21.700000000000003,16.4,36.7,0.0,26.2,21.700000000000003
2020-09-06,MI,26065,21.2,14.2,37.6,0.0,24.1,21.2
2020-09-13,MI,26065,20.799999999999997,14.5,36.6,0.0,25.6,20.799999999999997
2020-09-20,MI,26065,23.200000000000003,14.3,54.9,0.0,25.9,23.200000000000003
2020-09-27,MI,26065,26.599999999999998,13.3,48.4,0.0,28.4,26.599999999999998
2020-10-04,MI,26065,35.3,22.7,46.7,0.0,36.1,35.3
2020-10-11,MI,26065,42.1,29.7,50.1,0.0,43.8,42.1
2020-10-18,MI,26065,52.2,41.0,55.400000000000006,0.0,52.7,52.2
2020-10-25,MI,26065,70.5,61.400000000000006,54.0,0.0,71.4,70.5
2020-11-01,MI,26065,89.8,77.2,55.599999999999994,0.0,89.8,89.8
2020-11-08,MI,26065,123.0,111.4,50.7,0.0,123.4,123.0
2020-11-15,MI,26065,157.3,142.8,48.7,0.0,159.9,157.3
2020-11-22,MI,26065,154.8,147.10000000000002,53.3,0.0,157.10000000000002,154.8
2020-11-29,MI,26065,159.7,151.3,51.900000000000006,0.0,161.5,159.7
2020-12-06,MI,26065,161.7,155.4,59.099999999999994,0.0,163.60000000000002,161.7
2020-12-13,MI,26065,151.60000000000002,146.7,57.5,0.0,152.8,151.60000000000002
2020-12-20,MI,26065,156.1,152.60000000000002,56.4,0.0,156.7,156.1
2020-12-27,MI,26065,150.4,144.7,51.3,0.0,151.7,150.4
2021-01-03,MI,26065,138.7,132.3,57.599999999999994,0.0,139.3,138.7
2021-01-10,MI,26065,115.0,111.0,56.1,0.0,115.3,115.0
2021-01-17,MI,26065,98.5,93.9,54.599999999999994,0.0,100.4,98.5
2021-01-24,MI,26065,87.0,84.3,49.5,0.0,88.4,87.0
2021-01-31,MI,26065,69.4,65.4,45.599999999999994,0.0,70.69999999999999,69.4
2021-02-07,MI,26065,68.7,64.5,53.3,0.0,69.9,68.7
2021-02-14,MI,26065,60.3,57.5,49.4,0.0,61.599999999999994,60.3
2021-02-21,MI,26065,56.5,54.0,52.0,0.0,59.2,56.5
2021-02-28,MI,26065,48.5,45.0,46.699999999999996,0.0,50.699999999999996,48.5
2021-03-07,MI,26065,48.6,44.5,47.0,0.0,48.7,48.6
2021-03-14,MI,26065,56.199999999999996,52.4,49.300000000000004,0.0,56.6,56.199999999999996
2021-03-21,MI,26065,83.80000000000001,80.3,53.9,0.0,84.80000000000001,83.80000000000001
2021-03-28,MI,26065,117.7,115.19999999999999,53.8,0.0,118.5,117.7
2021-04-04,MI,26065,162.1,158.7,55.7,0.0,162.7,162.1
2021-04-11,MI,26065,201.39999999999998,197.7,69.4,0.0,203.10000000000002,201.39999999999998
2021-04-18,MI,26065,182.3,179.0,62.5,4.3,186.6,186.60000000000002
2021-04-25,MI,26065,148.4,146.6,58.400000000000006,0.0,151.4,148.4
2021-05-02,MI,26065,118.5,116.3,58.2,0.0,121.0,118.5
2021-05-09,MI,26065,91.6,88.69999999999999,56.9,0.0,94.69999999999999,91.6
2021-05-16,MI,26065,67.80000000000001,66.2,54.1,4.7,72.5,72.50000000000001
2021-05-23,MI,26065,52.0,50.4,53.0,4.9,56.800000000000004,56.9
2021-05-30,MI,26065,46.0,44.3,50.5,0.0,49.8,46.0
