collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26077,15.1,13.4,34.3,0.0,15.700000000000001,15.1
2020-08-09,MI,26077,13.0,12.3,34.2,0.0,13.0,13.0
2020-08-16,MI,26077,14.7,14.0,31.6,0.0,14.9,14.7
2020-08-23,MI,26077,12.4,11.7,36.7,0.0,12.7,12.4
2020-08-30,MI,26077,14.7,13.4,35.7,0.0,15.1,14.7
2020-09-06,MI,26077,18.6,17.6,35.9,0.0,19.0,18.6
2020-09-13,MI,26077,13.5,12.2,36.7,0.0,13.5,13.5
2020-09-20,MI,26077,14.4,12.600000000000001,38.7,0.0,14.4,14.4
2020-09-27,MI,26077,16.4,14.2,33.6,0.0,16.6,16.4
2020-10-04,MI,26077,28.1,26.200000000000003,46.5,0.0,28.6,28.1
2020-10-11,MI,26077,29.0,27.200000000000003,58.9,0.0,29.0,29.0
2020-10-18,MI,26077,44.3,42.2,62.9,0.0,44.6,44.3
2020-10-25,MI,26077,54.3,52.099999999999994,63.1,0.0,54.5,54.3
2020-11-01,MI,26077,90.7,87.2,59.1,0.0,91.1,90.7
2020-11-08,MI,26077,95.1,94.4,62.9,0.0,95.4,95.1
2020-11-15,MI,26077,97.19999999999999,96.0,61.4,0.0,97.3,97.19999999999999
2020-11-22,MI,26077,92.0,90.80000000000001,63.7,0.0,92.30000000000001,92.0
2020-11-29,MI,26077,88.3,87.1,65.9,0.0,88.3,88.3
2020-12-06,MI,26077,82.1,80.7,62.0,0.0,82.5,82.1
2020-12-13,MI,26077,78.3,76.7,55.8,0.0,79.0,78.3
2020-12-20,MI,26077,77.1,75.30000000000001,60.3,0.0,78.30000000000001,77.1
2020-12-27,MI,26077,67.0,65.19999999999999,57.9,0.0,67.30000000000001,67.0
2021-01-03,MI,26077,69.7,69.6,62.199999999999996,0.0,69.80000000000001,69.7
2021-01-10,MI,26077,64.0,62.800000000000004,49.3,0.0,64.6,64.0
2021-01-17,MI,26077,45.1,44.2,42.4,0.0,46.1,45.1
2021-01-24,MI,26077,36.6,36.0,54.5,0.0,37.1,36.6
2021-01-31,MI,26077,36.099999999999994,36.099999999999994,56.0,0.0,36.5,36.099999999999994
2021-02-07,MI,26077,36.1,35.0,60.6,0.0,36.7,36.1
2021-02-14,MI,26077,31.799999999999997,30.6,54.0,0.0,33.1,31.799999999999997
2021-02-21,MI,26077,29.4,28.8,55.0,0.0,29.8,29.4
2021-02-28,MI,26077,26.1,25.1,60.5,0.0,27.0,26.1
2021-03-07,MI,26077,27.9,27.3,52.2,0.0,28.1,27.9
2021-03-14,MI,26077,38.3,36.0,47.3,0,38.7,38.3
2021-03-21,MI,26077,51.3,49.3,54.9,0.0,51.6,51.3
2021-03-28,MI,26077,71.0,67.5,60.7,0.0,71.4,71.0
2021-04-04,MI,26077,87.9,84.30000000000001,67.4,0.0,88.30000000000001,87.9
2021-04-11,MI,26077,97.9,94.19999999999999,76.1,4.4,102.30000000000001,102.30000000000001
2021-04-18,MI,26077,110.19999999999999,105.5,74.8,5.0,115.19999999999999,115.19999999999999
2021-04-25,MI,26077,102.7,96.1,69.8,0.0,105.6,102.7
2021-05-02,MI,26077,95.5,86.0,57.7,0.0,98.0,95.5
2021-05-09,MI,26077,73.6,66.7,58.400000000000006,0.0,74.7,73.6
2021-05-16,MI,26077,62.2,58.300000000000004,63.2,0.0,63.7,62.2
2021-05-23,MI,26077,54.6,50.0,63.3,0.0,55.6,54.6
2021-05-30,MI,26077,40.4,36.3,61.599999999999994,0.0,42.099999999999994,40.4
