collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26081,25.400000000000002,20.1,109.4,0.0,26.3,25.400000000000002
2020-08-09,MI,26081,17.9,12.6,116.3,0.0,19.0,17.9
2020-08-16,MI,26081,24.5,19.1,121.69999999999999,0.0,28.299999999999997,24.5
2020-08-23,MI,26081,25.0,20.1,118.0,0.0,26.5,25.0
2020-08-30,MI,26081,25.200000000000003,19.5,120.39999999999999,0.0,25.9,25.200000000000003
2020-09-06,MI,26081,19.0,14.1,119.4,0.0,19.7,19.0
2020-09-13,MI,26081,22.0,16.0,116.5,0.0,23.0,22.0
2020-09-20,MI,26081,22.4,16.3,112.60000000000001,0.0,23.7,22.4
2020-09-27,MI,26081,41.4,32.3,117.60000000000001,0.0,42.5,41.4
2020-10-04,MI,26081,56.0,46.400000000000006,124.60000000000001,0.0,59.0,56.0
2020-10-11,MI,26081,69.3,64.3,125.39999999999999,0.0,71.3,69.3
2020-10-18,MI,26081,95.5,92.0,123.20000000000002,0.0,97.1,95.5
2020-10-25,MI,26081,155.9,152.0,124.79999999999998,0.0,156.6,155.9
2020-11-01,MI,26081,193.60000000000002,190.8,116.6,0.0,197.09999999999997,193.60000000000002
2020-11-08,MI,26081,251.10000000000002,246.2,130.3,0.0,254.3,251.10000000000002
2020-11-15,MI,26081,304.29999999999995,301.4,173.4,4.0,308.29999999999995,308.29999999999995
2020-11-22,MI,26081,337.20000000000005,334.0,189.3,4.3,341.5,341.50000000000006
2020-11-29,MI,26081,282.0,278.5,192.2,0.0,285.0,282.0
2020-12-06,MI,26081,244.39999999999998,241.0,185.79999999999998,5.9,250.3,250.29999999999998
2020-12-13,MI,26081,199.6,197.3,190.29999999999998,6.0,206.20000000000002,205.6
2020-12-20,MI,26081,194.3,189.3,178.8,4.0,198.4,198.3
2020-12-27,MI,26081,189.1,184.1,171.3,5.7,194.79999999999998,194.79999999999998
2021-01-03,MI,26081,182.70000000000002,177.4,182.6,5.7,188.7,188.4
2021-01-10,MI,26081,161.2,155.0,184.6,4.6,165.8,165.79999999999998
2021-01-17,MI,26081,137.9,132.9,170.50000000000003,5.0,142.9,142.9
2021-01-24,MI,26081,115.19999999999999,109.69999999999999,184.6,6.9,122.29999999999998,122.1
2021-01-31,MI,26081,81.4,78.2,160.29999999999998,5.3,86.7,86.7
2021-02-07,MI,26081,67.1,64.2,185.1,0.0,70.2,67.1
2021-02-14,MI,26081,65.3,59.400000000000006,189.8,0.0,68.1,65.3
2021-02-21,MI,26081,60.6,54.1,174.79999999999998,5.1,65.7,65.7
2021-02-28,MI,26081,53.7,48.3,172.0,4.3,58.0,58.0
2021-03-07,MI,26081,52.3,48.3,108.30000000000001,5.9,58.7,58.199999999999996
2021-03-14,MI,26081,47.7,44.599999999999994,104.1,0.0,51.0,47.7
2021-03-21,MI,26081,71.5,67.7,112.9,0.0,74.3,71.5
