collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26093,0,0,0,0.0,0,0.0
2020-08-09,MI,26093,0,0,0,0.0,0,0.0
2020-08-16,MI,26093,0,0,0,0.0,0,0.0
2020-08-23,MI,26093,0,0,0,0.0,0,0.0
2020-08-30,MI,26093,0,0.0,0,0.0,0,0.0
2020-09-06,MI,26093,0,0.0,0,0,0,0.0
2020-09-13,MI,26093,0,0,0,0.0,0,0.0
2020-09-20,MI,26093,0,0,0,0.0,0,0.0
2020-09-27,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,MI,26093,4.6,0.0,0.0,0.0,4.6,4.6
2020-10-11,MI,26093,8.9,7.4,0.0,0.0,8.9,8.9
2020-10-18,MI,26093,9.9,9.4,0.0,0.0,9.9,9.9
2020-10-25,MI,26093,5.6,4.9,0.0,0.0,5.6,5.6
2020-11-01,MI,26093,6.0,0.0,0.0,0.0,6.1,6.0
2020-11-08,MI,26093,9.7,6.9,0.0,0.0,10.6,9.7
2020-11-15,MI,26093,11.9,9.9,0.0,0.0,11.9,11.9
2020-11-22,MI,26093,14.7,12.4,0.0,0.0,14.7,14.7
2020-11-29,MI,26093,12.7,11.0,4.3,0.0,12.7,12.7
2020-12-06,MI,26093,9.6,8.0,0.0,0.0,9.6,9.6
2020-12-13,MI,26093,8.1,5.9,0.0,0.0,8.1,8.1
2020-12-20,MI,26093,6.0,5.9,0.0,0.0,6.0,6.0
2020-12-27,MI,26093,6.1,4.6,0.0,0.0,6.1,6.1
2021-01-03,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,MI,26093,5.4,4.9,0.0,0.0,5.4,5.4
2021-01-17,MI,26093,4.9,4.0,0.0,0.0,4.9,4.9
2021-01-24,MI,26093,6.7,6.3,0.0,0.0,6.7,6.7
2021-01-31,MI,26093,8.7,8.1,0.0,0.0,8.7,8.7
2021-02-07,MI,26093,5.3,4.6,0.0,0.0,5.3,5.3
2021-02-14,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,MI,26093,6.9,6.4,0.0,0.0,6.9,6.9
2021-03-21,MI,26093,9.1,8.4,0.0,0.0,9.1,9.1
2021-03-28,MI,26093,14.1,13.4,0.0,0.0,14.1,14.1
2021-04-04,MI,26093,18.4,18.3,0.0,0.0,18.4,18.4
2021-04-11,MI,26093,14.9,14.9,4.7,0.0,14.9,14.9
2021-04-18,MI,26093,18.0,17.9,0.0,0.0,18.0,18.0
2021-04-25,MI,26093,9.4,9.4,0.0,0.0,9.4,9.4
2021-05-02,MI,26093,5.9,5.9,0.0,0.0,5.9,5.9
2021-05-09,MI,26093,9.6,9.6,0,0.0,9.6,9.6
2021-05-16,MI,26093,0.0,0.0,4.9,0.0,0.0,0.0
2021-05-23,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-25,MI,26093,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,MI,26093,9.0,9.0,4.3,0.0,9.0,9.0
2021-08-08,MI,26093,7.9,7.9,0.0,0.0,7.9,7.9
2021-08-15,MI,26093,5.3,5.3,0,0.0,5.3,5.3
2021-08-22,MI,26093,5.6,5.6,0.0,0.0,5.6,5.6
2021-08-29,MI,26093,5.9,5.7,0.0,0.0,5.9,5.9
2021-09-05,MI,26093,6.0,5.9,0.0,0.0,6.0,6.0
2021-09-12,MI,26093,8.9,8.9,0.0,0.0,8.9,8.9
2021-09-19,MI,26093,11.1,11.1,0.0,0.0,11.1,11.1
2021-09-26,MI,26093,7.6,7.3,0.0,0.0,7.6,7.6
2021-10-03,MI,26093,12.3,12.0,0.0,0.0,12.3,12.3
2021-10-10,MI,26093,13.1,13.1,4.6,0.0,13.1,13.1
2021-10-17,MI,26093,11.6,11.4,5.7,0.0,11.6,11.6
2021-10-24,MI,26093,11.1,11.1,4.4,0.0,11.1,11.1
2021-10-31,MI,26093,13.1,12.9,0.0,0.0,13.1,13.1
2021-11-07,MI,26093,20.6,20.6,4.6,0.0,20.6,20.6
2021-11-14,MI,26093,20.4,20.0,0.0,0.0,20.4,20.4
2021-11-21,MI,26093,26.0,25.9,0.0,0.0,26.0,26.0
2021-11-28,MI,26093,29.3,29.3,7.1,0.0,29.3,29.3
2021-12-05,MI,26093,31.6,31.4,5.3,0.0,31.6,31.6
2021-12-12,MI,26093,27.1,27.0,5.0,0.0,27.1,27.1
2021-12-19,MI,26093,32.7,32.2,5.7,0.0,32.7,32.7
2021-12-26,MI,26093,20.6,20.3,5.9,0.0,20.6,20.6
