collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26099,61.1,23.6,44.9,0.0,61.4,61.1
2020-08-09,MI,26099,53.900000000000006,23.2,46.1,0.0,54.099999999999994,53.900000000000006
2020-08-16,MI,26099,61.400000000000006,34.0,52.3,0.0,61.6,61.400000000000006
2020-08-23,MI,26099,64.5,40.400000000000006,58.6,0.0,64.60000000000001,64.5
2020-08-30,MI,26099,64.3,34.3,56.9,0.0,64.3,64.3
2020-09-06,MI,26099,63.4,37.4,51.4,0.0,63.699999999999996,63.4
2020-09-13,MI,26099,50.7,28.799999999999997,62.3,0.0,50.7,50.7
2020-09-20,MI,26099,56.900000000000006,24.7,64.8,0.0,57.0,56.900000000000006
2020-09-27,MI,26099,67.7,41.2,63.7,0.0,67.7,67.7
2020-10-04,MI,26099,102.8,67.7,108.0,0.0,102.8,102.8
2020-10-11,MI,26099,96.7,68.3,108.8,0.0,97.0,96.7
2020-10-18,MI,26099,107.2,79.9,109.2,0.0,107.49999999999999,107.2
2020-10-25,MI,26099,144.1,112.7,110.0,0.0,144.5,144.1
2020-11-01,MI,26099,189.1,145.7,117.1,0.0,189.1,189.1
2020-11-08,MI,26099,262.59999999999997,206.3,112.69999999999999,0.0,262.59999999999997,262.59999999999997
2020-11-15,MI,26099,316.4,251.6,121.7,0.0,316.4,316.4
2020-11-22,MI,26099,352.0,287.3,118.30000000000001,0.0,352.29999999999995,352.0
2020-11-29,MI,26099,371.9,313.9,121.3,0.0,372.5,371.9
2020-12-06,MI,26099,350.40000000000003,300.1,120.5,0.0,351.8,350.40000000000003
2020-12-13,MI,26099,276.2,234.7,117.9,0.0,276.2,276.2
2020-12-20,MI,26099,222.5,178.5,113.6,0.0,222.7,222.5
2020-12-27,MI,26099,214.3,175.5,115.6,0.0,214.39999999999998,214.3
2021-01-03,MI,26099,216.39999999999998,181.2,115.1,0.0,216.39999999999998,216.39999999999998
2021-01-10,MI,26099,184.9,155.1,106.8,0.0,184.9,184.9
2021-01-17,MI,26099,160.5,136.6,99.7,0.0,160.5,160.5
2021-01-24,MI,26099,131.20000000000002,108.8,106.5,0.0,131.20000000000002,131.20000000000002
2021-01-31,MI,26099,99.0,81.4,106.4,0.0,99.1,99.0
2021-02-07,MI,26099,77.5,66.8,110.5,0.0,77.80000000000001,77.5
2021-02-14,MI,26099,64.3,54.199999999999996,102.8,0.0,64.3,64.3
2021-02-21,MI,26099,53.699999999999996,43.6,102.5,0.0,53.8,53.699999999999996
2021-02-28,MI,26099,59.900000000000006,49.199999999999996,104.89999999999999,0.0,59.900000000000006,59.900000000000006
2021-03-07,MI,26099,68.5,58.699999999999996,112.9,0.0,68.5,68.5
2021-03-14,MI,26099,108.9,99.5,116.19999999999999,0.0,109.0,108.9
2021-03-21,MI,26099,158.4,145.3,116.4,0.0,159.4,158.4
2021-03-28,MI,26099,245.10000000000002,221.0,115.5,0.0,245.5,245.10000000000002
2021-04-04,MI,26099,332.3,310.5,129.2,0.0,333.2,332.3
2021-04-11,MI,26099,391.0,364.79999999999995,133.5,0.0,392.0,391.0
2021-04-18,MI,26099,365.80000000000007,343.0,144.0,0.0,366.9,365.80000000000007
2021-04-25,MI,26099,291.7,273.5,143.79999999999998,0.0,291.9,291.7
2021-05-02,MI,26099,220.70000000000002,203.3,140.0,0.0,220.70000000000002,220.70000000000002
2021-05-09,MI,26099,144.1,134.5,132.29999999999998,0.0,144.5,144.1
2021-05-16,MI,26099,108.5,101.80000000000001,132.0,0.0,109.2,108.5
2021-05-23,MI,26099,74.1,71.19999999999999,120.8,0.0,75.1,74.1
2021-05-30,MI,26099,39.7,36.8,116.2,0.0,40.0,39.7
2021-06-06,MI,26099,29.0,27.599999999999998,107.9,0.0,29.200000000000003,29.0
2021-06-13,MI,26099,19.4,17.0,104.19999999999999,0.0,19.5,19.4
2021-06-20,MI,26099,15.0,13.0,97.3,0.0,15.3,15.0
2021-06-27,MI,26099,10.6,5.1,105.19999999999999,0.0,11.0,10.6
2021-07-04,MI,26099,0.0,0.0,98.3,0.0,0.0,0.0
2021-07-11,MI,26099,6.0,4.4,102.89999999999999,0.0,6.1,6.0
2021-07-18,MI,26099,10.3,6.9,111.7,0.0,10.4,10.3
2021-07-25,MI,26099,16.0,0.0,114.9,0.0,16.0,16.0
2021-08-01,MI,26099,32.7,19.2,109.19999999999999,0.0,32.8,32.7
2021-08-08,MI,26099,47.1,37.7,119.9,0.0,47.4,47.1
2021-08-15,MI,26099,49.1,40.6,117.19999999999999,0.0,49.1,49.1
2021-08-22,MI,26099,58.9,48.5,128.0,0.0,58.9,58.9
2021-08-29,MI,26099,63.7,55.599999999999994,126.7,0.0,63.7,63.7
2021-09-05,MI,26099,84.4,71.7,134.0,0.0,84.70000000000002,84.4
2021-09-12,MI,26099,92.1,84.5,124.8,0.0,92.1,92.1
2021-09-19,MI,26099,92.4,79.4,114.3,0.0,93.30000000000001,92.4
2021-09-26,MI,26099,91.2,82.9,124.8,0.0,91.6,91.2
2021-10-03,MI,26099,109.4,97.7,121.5,0.0,109.4,109.4
2021-10-10,MI,26099,134.7,123.3,126.9,0.0,134.79999999999998,134.7
2021-10-17,MI,26099,123.6,111.79999999999998,128.1,0.0,124.0,123.6
2021-10-24,MI,26099,147.70000000000002,126.1,132.3,0.0,148.0,147.70000000000002
2021-10-31,MI,26099,163.29999999999998,143.8,134.1,0.0,163.70000000000002,163.29999999999998
2021-11-07,MI,26099,201.2,184.39999999999998,142.2,0.0,201.39999999999998,201.2
2021-11-14,MI,26099,229.8,209.70000000000002,134.8,0.0,230.5,229.8
2021-11-21,MI,26099,283.9,249.79999999999998,141.6,0.0,284.29999999999995,283.9
2021-11-28,MI,26099,325.29999999999995,296.09999999999997,144.2,0.0,325.29999999999995,325.29999999999995
2021-12-05,MI,26099,356.6,318.6,136.9,0.0,356.6,356.6
2021-12-12,MI,26099,350.1,322.4,143.5,0.0,350.1,350.1
2021-12-19,MI,26099,285.4,270.0,139.3,0.0,286.6,285.4
2021-12-26,MI,26099,314.4,297.5,131.9,0.0,315.9,314.4
