collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26107,0,0.0,0,0.0,0,0.0
2020-08-09,MI,26107,0,0,0,0.0,0,0.0
2020-08-16,MI,26107,0,0,0,0.0,0,0.0
2020-08-23,MI,26107,0,0,0,0.0,0,0.0
2020-08-30,MI,26107,0,0.0,0,0.0,0,0.0
2020-09-06,MI,26107,0,0,0,0.0,0,0.0
2020-09-13,MI,26107,0,0,0,0.0,0,0.0
2020-09-20,MI,26107,0,0,0,0.0,0,0.0
2020-09-27,MI,26107,0,0,0,0.0,0,0.0
2020-10-04,MI,26107,0,0,0,0.0,0,0.0
2020-10-11,MI,26107,0,0,0,0.0,0,0.0
2020-10-18,MI,26107,5.1,4.9,0,0.0,5.1,5.1
2020-10-25,MI,26107,7.1,6.9,0,0.0,7.1,7.1
2020-11-01,MI,26107,13.3,12.9,0,0.0,13.3,13.3
2020-11-08,MI,26107,15.9,15.4,0,0.0,15.9,15.9
2020-11-15,MI,26107,15.0,15.0,4.0,0.0,15.0,15.0
2020-11-22,MI,26107,15.3,15.1,4.0,0.0,15.3,15.3
2020-11-29,MI,26107,9.7,9.7,0,0.0,9.7,9.7
2020-12-06,MI,26107,16.1,15.6,0,0.0,16.1,16.1
2020-12-13,MI,26107,12.0,11.6,0,0.0,12.0,12.0
2020-12-20,MI,26107,9.4,9.0,0,0.0,9.4,9.4
2020-12-27,MI,26107,6.6,6.1,0,0.0,6.6,6.6
2021-01-03,MI,26107,6.0,6.0,0,0.0,6.0,6.0
2021-01-10,MI,26107,0,0,0,0.0,0,0.0
2021-01-17,MI,26107,0,0,0,0.0,0,0.0
2021-01-24,MI,26107,0,0,0,0.0,0,0.0
2021-01-31,MI,26107,0,0,0,0.0,0,0.0
2021-02-07,MI,26107,0,0,0,0.0,0,0.0
2021-02-14,MI,26107,0,0,0,0.0,0,0.0
2021-02-21,MI,26107,0,0,0,0.0,0,0.0
2021-02-28,MI,26107,0.0,0.0,0,0.0,0.0,0.0
2021-03-07,MI,26107,0,0,0,0.0,0,0.0
2021-03-14,MI,26107,0,0,0,0.0,0,0.0
2021-03-21,MI,26107,5.0,4.7,0,0.0,5.0,5.0
2021-03-28,MI,26107,9.4,9.4,0,0.0,9.4,9.4
2021-04-04,MI,26107,10.4,10.1,0,0.0,10.4,10.4
2021-04-11,MI,26107,17.4,16.0,4.0,0.0,17.4,17.4
2021-04-18,MI,26107,13.6,12.7,4.0,0.0,13.6,13.6
2021-04-25,MI,26107,14.0,14.0,0,0.0,14.0,14.0
2021-05-02,MI,26107,11.7,10.4,4.3,0.0,11.7,11.7
2021-05-09,MI,26107,7.3,6.7,4.0,0.0,7.3,7.3
2021-05-16,MI,26107,8.0,7.9,0,0.0,8.0,8.0
2021-05-23,MI,26107,5.1,5.0,0,0.0,5.1,5.1
2021-05-30,MI,26107,0,0,0,0.0,0,0.0
2021-06-06,MI,26107,0,0,0,0.0,0,0.0
2021-06-13,MI,26107,0,0,0,0.0,0,0.0
2021-06-20,MI,26107,0,0.0,0,0.0,0,0.0
2021-06-27,MI,26107,0,0,0,0.0,0,0.0
2021-07-04,MI,26107,0,0.0,0,0.0,0,0.0
2021-07-11,MI,26107,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,MI,26107,0,0,0,0.0,0,0.0
2021-07-25,MI,26107,0,0.0,0,0.0,0,0.0
2021-08-01,MI,26107,0,0,0,0.0,0,0.0
2021-08-08,MI,26107,0,0,0,0.0,0,0.0
2021-08-15,MI,26107,5.1,5.0,0,0.0,5.1,5.1
2021-08-22,MI,26107,4.0,0,0,0.0,4.0,4.0
2021-08-29,MI,26107,6.7,6.4,0,0.0,6.7,6.7
2021-09-05,MI,26107,8.3,8.0,4.4,0.0,8.3,8.3
2021-09-12,MI,26107,8.3,7.7,4.6,0.0,8.3,8.3
2021-09-19,MI,26107,9.4,9.0,0,0.0,9.4,9.4
2021-09-26,MI,26107,11.1,10.7,4.0,0.0,11.1,11.1
2021-10-03,MI,26107,10.6,10.0,4.4,0.0,10.6,10.6
2021-10-10,MI,26107,15.6,15.6,4.1,0.0,15.6,15.6
2021-10-17,MI,26107,19.3,18.7,4.0,0.0,19.3,19.3
2021-10-24,MI,26107,18.4,16.6,4.0,0.0,18.4,18.4
2021-10-31,MI,26107,14.6,13.7,4.3,0.0,14.6,14.6
2021-11-07,MI,26107,18.4,17.4,4.7,0.0,18.4,18.4
2021-11-14,MI,26107,18.6,17.6,4.1,0.0,18.6,18.6
2021-11-21,MI,26107,17.3,16.4,4.6,0.0,17.3,17.3
2021-11-28,MI,26107,19.9,18.4,4.0,0.0,19.9,19.9
2021-12-05,MI,26107,22.6,21.4,4.3,0.0,22.6,22.6
2021-12-12,MI,26107,23.4,22.7,4.3,0.0,23.4,23.4
2021-12-19,MI,26107,12.4,11.9,4.0,0.0,12.4,12.4
2021-12-26,MI,26107,9.6,9.0,0,0.0,9.6,9.6
