collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26117,0.0,0.0,5.3,0.0,0.0,0.0
2020-08-09,MI,26117,0.0,0.0,6.3,0.0,0.0,0.0
2020-08-16,MI,26117,0.0,0.0,7.0,0.0,0.0,0.0
2020-08-23,MI,26117,0.0,0.0,5.3,0.0,0.0,0.0
2020-08-30,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,MI,26117,0,0.0,0.0,0.0,0,0.0
2020-09-13,MI,26117,0.0,0.0,6.1,0.0,0.0,0.0
2020-09-20,MI,26117,0,0.0,5.3,0.0,0,0.0
2020-09-27,MI,26117,0,0.0,5.7,0.0,0,0.0
2020-10-04,MI,26117,6.9,5.1,5.4,0.0,6.9,6.9
2020-10-11,MI,26117,4.7,4.1,0.0,0.0,4.7,4.7
2020-10-18,MI,26117,6.0,5.4,4.1,0.0,6.0,6.0
2020-10-25,MI,26117,7.1,6.6,6.1,0.0,7.1,7.1
2020-11-01,MI,26117,8.0,7.7,4.6,0.0,8.0,8.0
2020-11-08,MI,26117,14.0,13.6,6.4,0.0,14.0,14.0
2020-11-15,MI,26117,16.1,16.1,6.3,0.0,16.1,16.1
2020-11-22,MI,26117,14.0,13.9,5.3,0.0,14.0,14.0
2020-11-29,MI,26117,17.3,17.1,6.3,0.0,17.3,17.3
2020-12-06,MI,26117,19.3,18.7,6.4,0.0,19.3,19.3
2020-12-13,MI,26117,14.3,14.3,6.1,0.0,14.3,14.3
2020-12-20,MI,26117,10.4,10.3,4.9,0.0,10.4,10.4
2020-12-27,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,MI,26117,8.1,7.7,4.3,0.0,8.1,8.1
2021-01-10,MI,26117,6.3,5.7,0.0,0.0,6.3,6.3
2021-01-17,MI,26117,6.0,6.0,4.3,0.0,6.0,6.0
2021-01-24,MI,26117,6.4,5.7,4.6,0.0,6.4,6.4
2021-01-31,MI,26117,0.0,0.0,5.0,0.0,0.0,0.0
2021-02-07,MI,26117,0.0,0.0,6.3,0.0,0.0,0.0
2021-02-14,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,MI,26117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,MI,26117,8.7,8.6,4.0,0.0,8.7,8.7
2021-04-04,MI,26117,14.1,9.7,0.0,0.0,14.3,14.1
2021-04-11,MI,26117,14.4,13.9,5.0,0.0,14.4,14.4
2021-04-18,MI,26117,19.3,18.7,7.0,0.0,19.3,19.3
2021-04-25,MI,26117,19.6,19.3,6.7,0.0,19.6,19.6
2021-05-02,MI,26117,22.0,20.8,6.6,0.0,22.0,22.0
2021-05-09,MI,26117,10.4,9.6,6.4,0.0,10.4,10.4
2021-05-16,MI,26117,10.0,9.4,6.7,0.0,10.0,10.0
2021-05-23,MI,26117,10.0,9.4,5.7,0.0,10.0,10.0
2021-05-30,MI,26117,7.0,6.6,5.0,0.0,7.0,7.0
2021-06-06,MI,26117,7.3,7.0,6.0,0.0,7.3,7.3
2021-06-13,MI,26117,0.0,0.0,6.1,0.0,0.0,0.0
2021-06-20,MI,26117,0.0,0.0,6.1,0.0,0.0,0.0
2021-06-27,MI,26117,0.0,0.0,4.3,0.0,0.0,0.0
2021-07-04,MI,26117,0.0,0.0,4.4,0.0,0.0,0.0
2021-07-11,MI,26117,0.0,0.0,5.1,0.0,0.0,0.0
2021-07-18,MI,26117,0.0,0.0,5.6,0.0,0.0,0.0
2021-07-25,MI,26117,0.0,0.0,5.7,0.0,0.0,0.0
2021-08-01,MI,26117,0.0,0.0,6.1,0.0,0.0,0.0
2021-08-08,MI,26117,0.0,0.0,6.0,0.0,0.0,0.0
2021-08-15,MI,26117,4.1,0.0,5.0,0.0,4.1,4.1
2021-08-22,MI,26117,6.7,6.6,5.0,0.0,6.7,6.7
2021-08-29,MI,26117,7.3,6.6,5.4,0.0,7.3,7.3
2021-09-05,MI,26117,8.7,8.6,6.9,0.0,8.7,8.7
2021-09-12,MI,26117,9.3,8.4,6.4,0.0,9.3,9.3
2021-09-19,MI,26117,11.7,11.0,7.0,0.0,11.7,11.7
2021-09-26,MI,26117,12.7,12.4,6.9,0.0,12.7,12.7
2021-10-03,MI,26117,12.6,11.7,6.9,0.0,12.6,12.6
2021-10-10,MI,26117,16.3,15.6,7.0,0.0,16.3,16.3
2021-10-17,MI,26117,22.0,21.200000000000003,7.0,0.0,22.0,22.0
2021-10-24,MI,26117,14.6,13.6,7.0,0.0,14.6,14.6
2021-10-31,MI,26117,19.7,19.2,6.6,0.0,19.7,19.7
2021-11-07,MI,26117,24.5,23.6,6.9,0.0,24.5,24.5
2021-11-14,MI,26117,22.3,21.900000000000002,6.7,0.0,22.3,22.3
2021-11-21,MI,26117,24.9,24.7,6.9,0.0,24.9,24.9
2021-11-28,MI,26117,33.7,33.5,7.0,0.0,33.7,33.7
2021-12-05,MI,26117,35.7,35.3,7.0,0.0,35.7,35.7
2021-12-12,MI,26117,40.9,39.7,7.4,0.0,40.9,40.9
2021-12-19,MI,26117,26.5,26.1,6.6,0.0,26.5,26.5
2021-12-26,MI,26117,13.7,13.3,7.0,0.0,13.7,13.7
