collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26147,14.2,0,13.7,0.0,14.2,14.2
2020-08-09,MI,26147,15.1,0.0,19.1,0.0,15.4,15.1
2020-08-16,MI,26147,11.9,0.0,14.4,0.0,11.9,11.9
2020-08-23,MI,26147,10.1,0.0,10.0,0.0,10.1,10.1
2020-08-30,MI,26147,10.4,0,15.3,0.0,10.4,10.4
2020-09-06,MI,26147,10.0,0.0,14.2,0.0,10.0,10.0
2020-09-13,MI,26147,11.0,0.0,15.3,0.0,11.3,11.0
2020-09-20,MI,26147,9.9,0.0,15.9,0.0,9.9,9.9
2020-09-27,MI,26147,15.7,0.0,21.3,0.0,15.7,15.7
2020-10-04,MI,26147,21.6,0,18.7,0.0,22.1,21.6
2020-10-11,MI,26147,20.0,5.2,13.8,0.0,20.0,20.0
2020-10-18,MI,26147,18.6,5.6,20.8,0.0,18.6,18.6
2020-10-25,MI,26147,29.9,14.8,13.7,0.0,29.9,29.9
2020-11-01,MI,26147,40.5,15.6,16.6,0.0,40.5,40.5
2020-11-08,MI,26147,62.8,25.700000000000003,21.700000000000003,0.0,63.099999999999994,62.8
2020-11-15,MI,26147,80.2,56.3,27.599999999999998,0.0,80.39999999999999,80.2
2020-11-22,MI,26147,91.3,64.60000000000001,23.6,0.0,91.3,91.3
2020-11-29,MI,26147,100.1,72.0,23.4,0.0,100.5,100.1
2020-12-06,MI,26147,103.69999999999999,87.4,25.5,0.0,103.69999999999999,103.69999999999999
2020-12-13,MI,26147,83.6,70.3,26.4,0.0,83.6,83.6
2020-12-20,MI,26147,69.9,53.599999999999994,19.799999999999997,0.0,69.9,69.9
2020-12-27,MI,26147,56.400000000000006,39.1,12.7,0.0,56.400000000000006,56.400000000000006
2021-01-03,MI,26147,56.2,40.900000000000006,19.5,0.0,56.400000000000006,56.2
2021-01-10,MI,26147,51.1,38.7,24.6,0.0,51.1,51.1
2021-01-17,MI,26147,37.6,26.200000000000003,18.8,0.0,37.6,37.6
2021-01-24,MI,26147,31.4,22.7,15.899999999999999,0.0,31.4,31.4
2021-01-31,MI,26147,36.3,27.299999999999997,17.299999999999997,0.0,36.3,36.3
2021-02-07,MI,26147,28.1,18.0,17.7,0.0,28.1,28.1
2021-02-14,MI,26147,22.0,9.1,12.9,0.0,22.0,22.0
2021-02-21,MI,26147,18.8,7.1,13.1,0.0,18.8,18.8
2021-02-28,MI,26147,22.0,10.9,15.1,0.0,22.0,22.0
2021-03-07,MI,26147,32.4,25.900000000000002,18.4,0.0,32.4,32.4
2021-03-14,MI,26147,43.6,36.6,21.0,0.0,43.9,43.6
2021-03-21,MI,26147,76.7,65.9,26.5,0.0,77.2,76.7
2021-03-28,MI,26147,98.7,90.9,27.1,0.0,98.7,98.7
2021-04-04,MI,26147,124.00000000000001,116.0,31.799999999999997,0.0,124.4,124.00000000000001
2021-04-11,MI,26147,127.80000000000001,117.49999999999999,40.4,0.0,127.80000000000001,127.80000000000001
2021-04-18,MI,26147,114.80000000000001,102.1,30.0,0.0,114.80000000000001,114.80000000000001
2021-04-25,MI,26147,70.0,60.7,23.9,0.0,70.2,70.0
2021-05-02,MI,26147,46.5,42.0,20.6,0.0,46.5,46.5
2021-05-09,MI,26147,33.8,30.0,27.5,0.0,33.8,33.8
2021-05-16,MI,26147,25.3,19.0,22.799999999999997,0.0,25.3,25.3
2021-05-23,MI,26147,17.1,10.2,18.700000000000003,0.0,17.1,17.1
2021-05-30,MI,26147,16.5,9.3,18.6,0.0,16.5,16.5
2021-06-06,MI,26147,4.3,0,12.6,0.0,4.3,4.3
2021-06-13,MI,26147,0,0,8.9,0.0,0,0.0
2021-06-20,MI,26147,0,0,10.1,0.0,0,0.0
2021-06-27,MI,26147,0,0,13.6,0.0,0,0.0
2021-07-04,MI,26147,0,0.0,15.399999999999999,0.0,0,0.0
2021-07-11,MI,26147,0,0,12.4,0.0,0,0.0
2021-07-18,MI,26147,0.0,0.0,13.0,0.0,0.0,0.0
2021-07-25,MI,26147,0.0,0.0,14.1,0.0,0.0,0.0
2021-08-01,MI,26147,4.3,0,11.6,0.0,4.3,4.3
2021-08-08,MI,26147,7.6,5.4,10.1,0.0,7.7,7.6
2021-08-15,MI,26147,6.6,0,12.3,0.0,6.6,6.6
2021-08-22,MI,26147,5.6,4.0,17.3,0.0,5.6,5.6
2021-08-29,MI,26147,8.3,6.9,13.0,0.0,8.3,8.3
2021-09-05,MI,26147,21.200000000000003,19.4,16.7,0.0,21.200000000000003,21.200000000000003
2021-09-12,MI,26147,23.700000000000003,20.5,20.4,0.0,24.0,23.700000000000003
2021-09-19,MI,26147,24.200000000000003,21.0,21.9,0.0,24.4,24.200000000000003
2021-09-26,MI,26147,30.799999999999997,24.900000000000002,14.3,0.0,31.200000000000003,30.799999999999997
2021-10-03,MI,26147,27.6,23.4,13.7,0.0,27.900000000000002,27.6
2021-10-10,MI,26147,31.599999999999998,26.7,18.1,0.0,31.599999999999998,31.599999999999998
2021-10-17,MI,26147,28.4,27.6,19.6,0.0,28.4,28.4
2021-10-24,MI,26147,29.799999999999997,27.0,15.3,0.0,29.9,29.799999999999997
2021-10-31,MI,26147,35.6,30.2,20.4,0.0,35.9,35.6
2021-11-07,MI,26147,43.3,38.8,21.799999999999997,0.0,43.7,43.3
2021-11-14,MI,26147,50.8,47.0,15.0,0.0,51.599999999999994,50.8
2021-11-21,MI,26147,61.9,56.8,22.9,0.0,65.5,61.9
2021-11-28,MI,26147,82.3,75.7,26.700000000000003,0.0,83.0,82.3
2021-12-05,MI,26147,87.30000000000001,80.3,24.7,0.0,87.69999999999999,87.30000000000001
2021-12-12,MI,26147,79.69999999999999,75.19999999999999,28.7,0.0,79.8,79.69999999999999
2021-12-19,MI,26147,78.4,73.6,25.200000000000003,0.0,78.4,78.4
2021-12-26,MI,26147,58.3,53.5,22.599999999999998,0.0,58.3,58.3
