collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MI,26161,38.0,28.9,120.30000000000001,0.0,47.3,38.0
2020-08-09,MI,26161,32.0,25.6,119.89999999999999,0.0,44.7,32.0
2020-08-16,MI,26161,25.3,18.6,125.69999999999999,0.0,36.400000000000006,25.3
2020-08-23,MI,26161,19.2,15.3,128.5,0.0,30.9,19.2
2020-08-30,MI,26161,20.7,15.0,122.89999999999999,0.0,32.2,20.7
2020-09-06,MI,26161,25.299999999999997,17.1,119.2,0.0,39.7,25.299999999999997
2020-09-13,MI,26161,19.6,11.7,123.30000000000001,0.0,35.300000000000004,19.6
2020-09-20,MI,26161,17.7,9.7,123.6,0.0,29.6,17.7
2020-09-27,MI,26161,22.5,12.1,121.9,0.0,36.4,22.5
2020-10-04,MI,26161,30.299999999999997,21.2,123.80000000000001,0.0,46.8,30.299999999999997
2020-10-11,MI,26161,35.4,31.200000000000003,123.0,0.0,55.1,35.4
2020-10-18,MI,26161,34.9,30.299999999999997,126.6,0.0,39.599999999999994,34.9
2020-10-25,MI,26161,50.5,41.4,126.7,4.4,54.9,54.9
2020-11-01,MI,26161,69.4,61.9,135.8,0.0,71.6,69.4
2020-11-08,MI,26161,112.6,101.4,152.2,0.0,114.3,112.6
2020-11-15,MI,26161,148.0,131.5,152.79999999999998,0.0,151.29999999999998,148.0
2020-11-22,MI,26161,195.9,175.4,144.39999999999998,4.7,200.9,200.6
2020-11-29,MI,26161,217.2,195.39999999999998,150.7,4.4,222.89999999999998,221.6
2020-12-06,MI,26161,210.7,185.60000000000002,155.3,12.7,224.7,223.39999999999998
2020-12-13,MI,26161,182.1,163.8,154.8,0.0,183.5,182.1
2020-12-20,MI,26161,173.8,160.10000000000002,148.8,0.0,177.0,173.8
2020-12-27,MI,26161,179.99999999999997,163.29999999999998,142.4,0.0,181.6,179.99999999999997
2021-01-03,MI,26161,166.0,150.40000000000003,151.2,0.0,167.7,166.0
2021-01-10,MI,26161,143.6,128.70000000000002,145.3,4.0,147.9,147.6
2021-01-17,MI,26161,121.7,109.2,142.4,0.0,124.19999999999999,121.7
2021-01-24,MI,26161,90.7,79.2,138.7,0.0,93.0,90.7
2021-01-31,MI,26161,91.2,82.3,141.9,0.0,92.7,91.2
2021-02-07,MI,26161,87.4,71.0,135.6,0.0,89.4,87.4
2021-02-14,MI,26161,61.9,48.599999999999994,129.5,0.0,63.7,61.9
2021-02-21,MI,26161,57.7,47.3,137.7,0.0,59.4,57.7
2021-02-28,MI,26161,51.8,42.0,134.7,0.0,53.099999999999994,51.8
2021-03-07,MI,26161,64.6,55.3,136.3,0.0,66.6,64.6
2021-03-14,MI,26161,76.4,69.4,143.2,0.0,79.4,76.4
2021-03-21,MI,26161,87.4,78.1,136.7,0.0,89.8,87.4
2021-03-28,MI,26161,131.5,121.10000000000001,129.4,6.0,138.5,137.5
2021-04-04,MI,26161,189.4,171.5,134.0,5.7,195.2,195.1
2021-04-11,MI,26161,197.5,195.1,147.8,10.7,208.70000000000002,208.2
2021-04-18,MI,26161,194.4,192.8,148.8,6.3,200.7,200.70000000000002
2021-04-25,MI,26161,169.4,167.9,151.2,4.1,173.5,173.5
2021-05-02,MI,26161,152.7,151.2,154.2,0.0,155.7,152.7
2021-05-09,MI,26161,116.6,115.9,155.3,5.3,121.9,121.89999999999999
2021-05-16,MI,26161,86.7,84.69999999999999,148.1,7.0,93.7,93.7
2021-05-23,MI,26161,70.0,68.9,153.9,4.9,74.9,74.9
2021-05-30,MI,26161,62.0,60.0,140.9,6.6,68.5,68.6
2021-06-06,MI,26161,51.199999999999996,50.8,146.3,0.0,54.8,51.199999999999996
2021-06-13,MI,26161,41.4,40.7,143.7,0.0,43.6,41.4
2021-06-20,MI,26161,42.0,41.699999999999996,134.9,0.0,43.3,42.0
2021-06-27,MI,26161,36.4,35.4,139.5,0.0,37.4,36.4
2021-07-04,MI,26161,34.0,32.7,126.7,0.0,36.9,34.0
2021-07-11,MI,26161,33.4,33.0,130.9,0.0,35.3,33.4
