collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27003,27.0,25.6,25.1,0.0,27.0,27.0
2020-08-09,MN,27003,29.3,28.6,29.9,0.0,29.3,29.3
2020-08-16,MN,27003,26.1,24.9,27.0,0.0,26.1,26.1
2020-08-23,MN,27003,21.0,19.9,21.7,0.0,21.0,21.0
2020-08-30,MN,27003,22.1,19.1,20.4,0.0,22.1,22.1
2020-09-06,MN,27003,30.1,26.1,24.4,0.0,30.1,30.1
2020-09-13,MN,27003,27.4,25.6,22.4,0.0,27.4,27.4
2020-09-20,MN,27003,28.0,25.4,19.9,0.0,28.0,28.0
2020-09-27,MN,27003,27.1,25.6,19.3,0.0,27.1,27.1
2020-10-04,MN,27003,31.3,26.9,23.1,0.0,31.3,31.3
2020-10-11,MN,27003,44.0,38.6,22.1,0,44.4,44.0
2020-10-18,MN,27003,42.6,38.9,25.6,0.0,42.6,42.6
2020-10-25,MN,27003,49.4,45.7,27.4,0.0,52.9,49.4
2020-11-01,MN,27003,70.6,64.4,26.9,0,72.6,70.6
2020-11-08,MN,27003,107.0,96.3,29.0,0,107.3,107.0
2020-11-15,MN,27003,109.9,98.6,28.4,0.0,109.9,109.9
2020-11-22,MN,27003,121.0,112.9,26.0,0,121.3,121.0
2020-11-29,MN,27003,125.6,112.9,25.3,0,125.9,125.6
2020-12-06,MN,27003,122.3,106.0,28.9,0.0,122.3,122.3
2020-12-13,MN,27003,88.6,75.7,27.0,0.0,88.6,88.6
2020-12-20,MN,27003,81.4,67.6,22.3,0.0,81.4,81.4
2020-12-27,MN,27003,62.6,51.0,28.0,0.0,62.6,62.6
2021-01-03,MN,27003,53.6,42.7,21.0,0.0,53.6,53.6
2021-01-10,MN,27003,47.1,37.3,22.3,0.0,47.1,47.1
2021-01-17,MN,27003,47.3,38.3,23.4,0.0,47.3,47.3
2021-01-24,MN,27003,38.9,30.0,21.6,0,39.0,38.9
2021-01-31,MN,27003,29.7,23.1,20.9,0.0,29.7,29.7
2021-02-07,MN,27003,31.0,24.3,20.6,0.0,31.0,31.0
2021-02-14,MN,27003,26.3,18.9,17.9,0.0,26.3,26.3
2021-02-21,MN,27003,22.1,14.6,19.0,0.0,22.1,22.1
2021-02-28,MN,27003,15.6,9.6,21.3,0.0,15.6,15.6
2021-03-07,MN,27003,14.6,9.3,19.6,0.0,14.6,14.6
2021-03-14,MN,27003,22.1,15.0,20.4,0.0,22.1,22.1
2021-03-21,MN,27003,33.6,22.6,20.3,0.0,33.6,33.6
2021-03-28,MN,27003,43.7,30.9,23.1,0.0,43.7,43.7
2021-04-04,MN,27003,51.4,39.1,25.1,0.0,51.4,51.4
2021-04-11,MN,27003,55.7,42.9,28.1,0,56.1,55.7
2021-04-18,MN,27003,61.3,46.9,30.0,0,61.7,61.3
2021-04-25,MN,27003,58.7,45.7,29.0,0,59.7,58.7
2021-05-02,MN,27003,50.0,38.7,26.0,0,50.3,50.0
2021-05-09,MN,27003,41.1,33.3,26.1,0,41.7,41.1
2021-05-16,MN,27003,33.4,25.3,24.9,0.0,33.4,33.4
2021-05-23,MN,27003,27.3,18.9,23.6,0,27.4,27.3
2021-05-30,MN,27003,15.3,9.9,20.7,0.0,15.3,15.3
2021-06-06,MN,27003,14.4,10.4,23.1,0,14.9,14.4
2021-06-13,MN,27003,11.0,7.9,21.4,0,11.1,11.0
2021-06-20,MN,27003,9.7,4.4,21.0,0.0,9.7,9.7
2021-06-27,MN,27003,11.7,7.3,20.0,0.0,11.7,11.7
2021-07-04,MN,27003,11.1,7.0,24.6,0.0,11.1,11.1
2021-07-11,MN,27003,6.0,4.7,22.0,0,6.1,6.0
2021-07-18,MN,27003,12.7,9.7,22.9,0.0,12.7,12.7
2021-07-25,MN,27003,18.9,13.6,19.0,0.0,18.9,18.9
2021-08-01,MN,27003,23.7,16.6,24.7,0.0,23.7,23.7
2021-08-08,MN,27003,26.0,19.4,23.9,0.0,26.0,26.0
2021-08-15,MN,27003,34.6,24.4,20.0,0.0,34.6,34.6
2021-08-22,MN,27003,39.3,24.6,24.9,0.0,39.3,39.3
2021-08-29,MN,27003,36.9,24.7,23.4,0,37.0,36.9
2021-09-05,MN,27003,46.1,35.3,26.3,0.0,46.1,46.1
2021-09-12,MN,27003,63.4,51.1,21.6,0.0,63.4,63.4
2021-09-19,MN,27003,73.0,56.6,24.7,0,73.3,73.0
2021-09-26,MN,27003,69.4,53.9,24.0,0,69.7,69.4
2021-10-03,MN,27003,75.7,57.6,28.0,0,76.0,75.7
2021-10-10,MN,27003,80.3,65.9,28.3,0,80.4,80.3
2021-10-17,MN,27003,66.7,56.3,27.4,0,66.9,66.7
2021-10-24,MN,27003,75.1,57.7,25.0,0,75.4,75.1
2021-10-31,MN,27003,88.9,63.3,25.7,0.0,88.9,88.9
2021-11-07,MN,27003,100.4,77.0,27.4,0.0,100.4,100.4
2021-11-14,MN,27003,115.3,93.3,30.6,0,115.9,115.3
2021-11-21,MN,27003,126.4,105.6,30.6,0,126.6,126.4
2021-11-28,MN,27003,143.4,123.4,30.0,0.0,143.4,143.4
2021-12-05,MN,27003,148.7,129.3,28.6,0,148.9,148.7
2021-12-12,MN,27003,149.6,139.1,29.1,0,150.0,149.6
2021-12-19,MN,27003,128.7,115.7,30.9,0,129.7,128.7
2021-12-26,MN,27003,119.7,106.1,28.9,0,120.4,119.7
