collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27013,11.3,8.4,6.7,0.0,11.3,11.3
2020-08-09,MN,27013,8.4,0,8.4,0.0,8.4,8.4
2020-08-16,MN,27013,15.0,9.7,8.1,0.0,15.0,15.0
2020-08-23,MN,27013,12.9,9.0,6.7,0.0,12.9,12.9
2020-08-30,MN,27013,11.7,7.1,9.0,0.0,11.7,11.7
2020-09-06,MN,27013,11.1,6.7,7.7,0.0,11.1,11.1
2020-09-13,MN,27013,10.1,5.0,9.1,0,10.3,10.1
2020-09-20,MN,27013,6.3,0,8.9,0,6.4,6.3
2020-09-27,MN,27013,11.7,8.1,7.6,0,11.9,11.7
2020-10-04,MN,27013,12.3,8.7,7.0,0.0,12.3,12.3
2020-10-11,MN,27013,13.0,7.0,8.3,0,13.1,13.0
2020-10-18,MN,27013,9.7,4.4,8.0,0,10.1,9.7
2020-10-25,MN,27013,12.1,8.9,7.6,0,15.4,12.1
2020-11-01,MN,27013,16.9,12.6,8.9,0,17.3,16.9
2020-11-08,MN,27013,25.6,20.1,9.1,0.0,25.6,25.6
2020-11-15,MN,27013,37.7,29.4,9.7,0,38.1,37.7
2020-11-22,MN,27013,40.0,32.9,11.7,0,40.1,40.0
2020-11-29,MN,27013,38.4,32.3,12.1,0,38.7,38.4
2020-12-06,MN,27013,31.4,26.4,11.7,0,31.6,31.4
2020-12-13,MN,27013,32.7,26.3,9.9,0,33.0,32.7
2020-12-20,MN,27013,23.7,16.3,10.6,0.0,23.7,23.7
2020-12-27,MN,27013,26.9,19.3,9.9,0,27.1,26.9
2021-01-03,MN,27013,20.9,15.9,9.3,0.0,20.9,20.9
2021-01-10,MN,27013,13.1,9.9,7.6,0.0,13.1,13.1
2021-01-17,MN,27013,8.4,6.6,8.9,0,8.6,8.4
2021-01-24,MN,27013,10.7,6.9,8.3,0.0,10.7,10.7
2021-01-31,MN,27013,8.6,6.1,8.6,0,8.7,8.6
2021-02-07,MN,27013,8.7,5.6,8.4,0,8.9,8.7
2021-02-14,MN,27013,12.7,10.0,6.6,0.0,12.7,12.7
2021-02-21,MN,27013,17.1,12.6,9.3,0,17.3,17.1
2021-02-28,MN,27013,15.9,11.9,8.4,0,16.0,15.9
2021-03-07,MN,27013,12.9,11.0,7.0,0.0,12.9,12.9
2021-03-14,MN,27013,11.1,9.9,8.0,0,11.3,11.1
2021-03-21,MN,27013,14.1,11.3,7.4,0.0,14.1,14.1
2021-03-28,MN,27013,9.3,5.1,8.6,0,9.4,9.3
2021-04-04,MN,27013,9.6,5.1,8.9,0,9.9,9.6
2021-04-11,MN,27013,14.6,12.1,9.6,0,15.0,14.6
2021-04-18,MN,27013,16.3,14.0,8.0,0,16.4,16.3
2021-04-25,MN,27013,13.0,10.4,8.1,0,13.3,13.0
2021-05-02,MN,27013,13.3,9.1,8.4,0.0,13.3,13.3
2021-05-09,MN,27013,11.4,8.6,8.6,0,11.6,11.4
2021-05-16,MN,27013,13.6,12.3,8.1,0.0,13.6,13.6
2021-05-23,MN,27013,11.4,10.3,8.4,0.0,11.4,11.4
2021-05-30,MN,27013,8.7,5.6,8.6,0,9.1,8.7
2021-06-06,MN,27013,4.9,0,8.4,0,5.1,4.9
2021-06-13,MN,27013,0,0,7.3,0.0,0,0.0
2021-06-20,MN,27013,5.9,0,8.9,0.0,5.9,5.9
2021-06-27,MN,27013,5.3,0,9.0,0,5.7,5.3
2021-07-04,MN,27013,5.9,0,9.0,0.0,5.9,5.9
2021-07-11,MN,27013,0,0,8.6,0,0,0.0
2021-07-18,MN,27013,0,0,8.3,0,0,0.0
2021-07-25,MN,27013,10.3,9.6,8.9,0,10.4,10.3
2021-08-01,MN,27013,11.3,9.4,8.9,0,11.9,11.3
2021-08-08,MN,27013,11.4,8.9,8.3,0.0,11.4,11.4
2021-08-15,MN,27013,10.4,6.9,7.4,0,10.9,10.4
2021-08-22,MN,27013,16.4,12.6,8.6,0,17.6,16.4
2021-08-29,MN,27013,17.3,15.1,7.6,0,17.9,17.3
2021-09-05,MN,27013,23.4,21.6,8.9,0.0,23.4,23.4
2021-09-12,MN,27013,33.7,29.7,10.6,0,33.9,33.7
2021-09-19,MN,27013,27.6,25.3,10.7,0,27.9,27.6
2021-09-26,MN,27013,20.7,17.3,9.0,0,20.9,20.7
2021-10-03,MN,27013,24.0,21.9,10.4,0,24.6,24.0
2021-10-10,MN,27013,22.7,20.7,9.9,0,22.9,22.7
2021-10-17,MN,27013,21.3,18.0,9.0,0.0,21.3,21.3
2021-10-24,MN,27013,21.0,17.6,8.9,0,21.1,21.0
2021-10-31,MN,27013,17.9,16.9,9.1,0.0,17.9,17.9
2021-11-07,MN,27013,15.4,13.4,9.3,0,15.9,15.4
2021-11-14,MN,27013,21.1,18.1,9.6,0,21.3,21.1
2021-11-21,MN,27013,24.4,21.1,9.1,0,24.6,24.4
2021-11-28,MN,27013,27.7,25.3,9.6,0.0,27.7,27.7
2021-12-05,MN,27013,26.1,23.7,9.1,0,26.9,26.1
2021-12-12,MN,27013,23.6,22.9,8.7,0,24.1,23.6
2021-12-19,MN,27013,28.9,26.1,9.6,0,29.1,28.9
2021-12-26,MN,27013,22.1,20.4,9.9,0.0,22.1,22.1
