collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27025,0,0,0,0.0,0,0.0
2020-08-09,MN,27025,0,0,4.3,0.0,0,0.0
2020-08-16,MN,27025,0,0,5.4,0,0,0.0
2020-08-23,MN,27025,0,0.0,0,0.0,0,0.0
2020-08-30,MN,27025,0,0,0,0.0,0,0.0
2020-09-06,MN,27025,0,0.0,4.3,0.0,0,0.0
2020-09-13,MN,27025,0,0.0,5.9,0.0,0,0.0
2020-09-20,MN,27025,0,0,4.1,0.0,0,0.0
2020-09-27,MN,27025,0,0,0,0.0,0,0.0
2020-10-04,MN,27025,5.0,0,4.1,0,5.1,5.0
2020-10-11,MN,27025,4.7,0,5.6,0,4.9,4.7
2020-10-18,MN,27025,5.6,0,5.6,0,5.7,5.6
2020-10-25,MN,27025,6.9,4.9,7.0,0.0,8.4,6.9
2020-11-01,MN,27025,9.6,6.0,9.3,0,10.1,9.6
2020-11-08,MN,27025,14.0,9.7,9.4,0,14.3,14.0
2020-11-15,MN,27025,12.9,7.3,6.9,0.0,12.9,12.9
2020-11-22,MN,27025,17.0,13.7,7.1,0.0,17.0,17.0
2020-11-29,MN,27025,14.9,10.7,7.9,0,15.1,14.9
2020-12-06,MN,27025,13.3,10.3,8.9,0.0,13.3,13.3
2020-12-13,MN,27025,10.1,7.1,8.7,0.0,10.1,10.1
2020-12-20,MN,27025,6.6,5.4,5.4,0.0,6.6,6.6
2020-12-27,MN,27025,6.1,5.7,9.6,0.0,6.1,6.1
2021-01-03,MN,27025,7.1,6.7,9.0,0.0,7.1,7.1
2021-01-10,MN,27025,0,0,5.9,0.0,0,0.0
2021-01-17,MN,27025,0,0,0,0.0,0,0.0
2021-01-24,MN,27025,0,0,0,0.0,0,0.0
2021-01-31,MN,27025,0,0,5.6,0,0,0.0
2021-02-07,MN,27025,0,0,4.4,0.0,0,0.0
2021-02-14,MN,27025,0,0,4.1,0.0,0,0.0
2021-02-21,MN,27025,0,0,4.7,0.0,0,0.0
2021-02-28,MN,27025,0,0,5.3,0.0,0,0.0
2021-03-07,MN,27025,0,0,5.1,0.0,0,0.0
2021-03-14,MN,27025,0,0,0,0.0,0,0.0
2021-03-21,MN,27025,0,0,0,0.0,0,0.0
2021-03-28,MN,27025,0,0,5.6,0.0,0,0.0
2021-04-04,MN,27025,4.3,0,6.0,0.0,4.3,4.3
2021-04-11,MN,27025,6.4,5.9,6.7,0.0,6.4,6.4
2021-04-18,MN,27025,5.9,5.1,7.6,0.0,5.9,5.9
2021-04-25,MN,27025,5.7,5.3,6.1,0.0,5.7,5.7
2021-05-02,MN,27025,0,0,4.9,0.0,0,0.0
2021-05-09,MN,27025,0,0,4.7,0.0,0,0.0
2021-05-16,MN,27025,0,0,5.3,0.0,0,0.0
2021-05-23,MN,27025,0,0,5.6,0.0,0,0.0
2021-05-30,MN,27025,0,0,4.0,0.0,0,0.0
2021-06-06,MN,27025,0,0,5.1,0.0,0,0.0
2021-06-13,MN,27025,0.0,0.0,5.3,0.0,0.0,0.0
2021-06-20,MN,27025,0,0,6.4,0.0,0,0.0
2021-06-27,MN,27025,0,0,0,0.0,0,0.0
2021-07-04,MN,27025,0,0,0,0.0,0,0.0
2021-07-11,MN,27025,0.0,0.0,4.4,0.0,0.0,0.0
2021-07-18,MN,27025,0,0,5.9,0.0,0,0.0
2021-07-25,MN,27025,0,0,5.7,0.0,0,0.0
2021-08-01,MN,27025,0,0,5.6,0.0,0,0.0
2021-08-08,MN,27025,4.0,0,7.4,0.0,4.0,4.0
2021-08-15,MN,27025,4.9,4.4,5.9,0.0,4.9,4.9
2021-08-22,MN,27025,7.3,6.9,7.0,0.0,7.3,7.3
2021-08-29,MN,27025,8.4,8.4,6.6,0.0,8.4,8.4
2021-09-05,MN,27025,9.9,9.3,6.0,0.0,9.9,9.9
2021-09-12,MN,27025,9.0,8.3,6.6,0.0,9.0,9.0
2021-09-19,MN,27025,11.3,10.7,5.9,0.0,11.3,11.3
2021-09-26,MN,27025,12.7,10.9,7.0,0.0,12.7,12.7
2021-10-03,MN,27025,12.3,11.4,7.4,0.0,12.3,12.3
2021-10-10,MN,27025,13.1,12.6,7.0,0.0,13.1,13.1
2021-10-17,MN,27025,13.9,13.6,6.4,0.0,13.9,13.9
2021-10-24,MN,27025,10.1,9.9,5.9,0.0,10.1,10.1
2021-10-31,MN,27025,9.3,9.3,6.6,0.0,9.3,9.3
2021-11-07,MN,27025,16.6,16.4,8.0,0.0,16.6,16.6
2021-11-14,MN,27025,20.1,19.3,9.3,0.0,20.1,20.1
2021-11-21,MN,27025,22.3,21.9,9.4,0.0,22.3,22.3
2021-11-28,MN,27025,17.0,16.7,9.4,0.0,17.0,17.0
2021-12-05,MN,27025,19.4,19.3,8.6,0.0,19.4,19.4
2021-12-12,MN,27025,19.1,18.9,8.7,0.0,19.1,19.1
2021-12-19,MN,27025,15.9,15.3,7.6,0.0,15.9,15.9
2021-12-26,MN,27025,8.9,7.9,7.4,0.0,8.9,8.9
