collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27137,17.1,10.0,60.300000000000004,0.0,17.4,17.1
2020-08-09,MN,27137,12.6,7.4,56.599999999999994,0.0,12.7,12.6
2020-08-16,MN,27137,12.7,7.6,57.1,0.0,12.9,12.7
2020-08-23,MN,27137,20.5,14.7,61.2,0.0,21.2,20.5
2020-08-30,MN,27137,15.9,11.7,57.199999999999996,0.0,16.4,15.9
2020-09-06,MN,27137,11.0,9.6,59.60000000000001,0.0,11.0,11.0
2020-09-13,MN,27137,17.6,16.7,59.4,0.0,18.0,17.6
2020-09-20,MN,27137,20.6,20.6,63.0,0.0,20.7,20.6
2020-09-27,MN,27137,23.2,23.1,65.9,0.0,23.4,23.2
2020-10-04,MN,27137,29.700000000000003,29.5,67.8,0.0,29.799999999999997,29.700000000000003
2020-10-11,MN,27137,32.5,32.4,65.3,0.0,33.5,32.5
2020-10-18,MN,27137,41.1,36.2,70.3,0.0,42.1,41.1
2020-10-25,MN,27137,106.1,38.9,68.1,0.0,107.1,106.1
2020-11-01,MN,27137,68.3,62.9,64.3,0.0,67.9,68.3
2020-11-08,MN,27137,91.4,86.6,63.5,0.0,91.7,91.4
2020-11-15,MN,27137,131.4,127.19999999999999,76.1,0.0,132.5,131.4
2020-11-22,MN,27137,149.3,146.70000000000002,74.6,0.0,149.7,149.3
2020-11-29,MN,27137,127.4,125.30000000000001,65.2,0.0,127.9,127.4
2020-12-06,MN,27137,105.69999999999999,104.19999999999999,68.7,0.0,106.69999999999999,105.69999999999999
2020-12-13,MN,27137,97.0,91.30000000000001,62.2,0.0,97.0,97.0
2020-12-20,MN,27137,94.69999999999999,93.80000000000001,59.3,0.0,94.9,94.69999999999999
2020-12-27,MN,27137,89.1,87.9,60.400000000000006,0.0,89.69999999999999,89.1
2021-01-03,MN,27137,70.3,69.8,56.300000000000004,0.0,70.4,70.3
2021-01-10,MN,27137,50.3,50.3,57.3,0.0,50.3,50.3
2021-01-17,MN,27137,34.3,34.2,53.3,0.0,34.8,34.3
2021-01-24,MN,27137,19.5,19.4,52.800000000000004,0.0,21.0,19.5
2021-01-31,MN,27137,18.1,17.799999999999997,59.9,0.0,18.1,18.1
2021-02-07,MN,27137,11.6,11.3,59.0,0.0,11.6,11.6
2021-02-14,MN,27137,5.7,5.3,58.0,0.0,5.7,5.7
2021-02-21,MN,27137,4.7,4.3,56.800000000000004,0.0,5.1,4.7
2021-02-28,MN,27137,9.7,9.6,51.1,0.0,10.0,9.7
2021-03-07,MN,27137,10.3,10.1,52.7,0.0,10.6,10.3
2021-03-14,MN,27137,10.3,9.9,55.3,0.0,10.7,10.3
2021-03-21,MN,27137,12.0,11.9,54.7,0.0,12.1,12.0
2021-03-28,MN,27137,17.0,16.9,50.9,0.0,17.4,17.0
2021-04-04,MN,27137,24.700000000000003,24.5,55.4,0.0,24.700000000000003,24.700000000000003
2021-04-11,MN,27137,33.8,33.8,54.3,0.0,33.8,33.8
2021-04-18,MN,27137,41.699999999999996,41.4,57.3,0.0,41.699999999999996,41.699999999999996
2021-04-25,MN,27137,31.4,31.200000000000003,60.7,0.0,31.4,31.4
2021-05-02,MN,27137,29.400000000000002,29.1,62.7,0.0,30.6,29.400000000000002
2021-05-09,MN,27137,32.0,31.9,59.4,0.0,33.0,32.0
2021-05-16,MN,27137,27.7,27.3,60.3,0.0,29.1,27.7
2021-05-23,MN,27137,23.3,23.3,62.4,0.0,23.4,23.3
2021-05-30,MN,27137,25.6,25.1,61.699999999999996,0.0,26.0,25.6
2021-06-06,MN,27137,20.9,20.6,62.0,0.0,21.9,20.9
2021-06-13,MN,27137,15.4,15.3,58.3,0.0,15.7,15.4
2021-06-20,MN,27137,11.9,11.9,56.1,0.0,11.9,11.9
2021-06-27,MN,27137,7.3,7.3,58.2,0.0,7.3,7.3
2021-07-04,MN,27137,0.0,0.0,56.400000000000006,0.0,0.0,0.0
2021-07-11,MN,27137,0.0,0.0,55.9,0.0,0.0,0.0
2021-07-18,MN,27137,0.0,0.0,59.699999999999996,0.0,0.0,0.0
2021-07-25,MN,27137,0.0,0.0,57.0,0.0,0.0,0.0
2021-08-01,MN,27137,0.0,0.0,56.6,0.0,0.0,0.0
2021-08-08,MN,27137,11.3,11.3,54.1,0.0,11.7,11.3
2021-08-15,MN,27137,18.8,14.4,58.9,0.0,18.8,18.8
2021-08-22,MN,27137,17.0,17.0,58.6,0.0,17.0,17.0
2021-08-29,MN,27137,28.0,28.0,58.0,0.0,28.199999999999996,28.0
2021-09-05,MN,27137,25.0,24.7,60.7,0.0,25.0,25.0
2021-09-12,MN,27137,30.700000000000003,30.700000000000003,57.9,0.0,30.799999999999997,30.700000000000003
2021-09-19,MN,27137,38.7,34.4,57.9,0.0,39.0,38.7
2021-09-26,MN,27137,57.900000000000006,53.800000000000004,54.7,0.0,58.599999999999994,57.900000000000006
