collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27145,11.9,9.6,34.3,0.0,12.0,11.9
2020-08-09,MN,27145,9.3,8.6,34.3,0.0,9.3,9.3
2020-08-16,MN,27145,8.7,7.3,32.1,0.0,8.7,8.7
2020-08-23,MN,27145,12.1,9.7,39.3,0.0,12.1,12.1
2020-08-30,MN,27145,16.6,14.6,44.1,0.0,17.0,16.6
2020-09-06,MN,27145,17.3,15.4,41.3,0.0,18.3,17.3
2020-09-13,MN,27145,19.3,17.3,37.1,0.0,19.6,19.3
2020-09-20,MN,27145,30.6,28.9,45.9,0.0,31.6,30.6
2020-09-27,MN,27145,42.1,39.1,47.0,0.0,42.6,42.1
2020-10-04,MN,27145,44.0,41.6,48.9,0.0,44.1,44.0
2020-10-11,MN,27145,48.0,45.1,44.4,0.0,48.0,48.0
2020-10-18,MN,27145,55.3,53.6,49.3,0.0,55.6,55.3
2020-10-25,MN,27145,69.3,67.4,52.4,0.0,70.7,69.3
2020-11-01,MN,27145,83.9,82.0,48.4,0.0,84.7,83.9
2020-11-08,MN,27145,107.6,104.4,46.7,0.0,108.4,107.6
2020-11-15,MN,27145,135.79999999999998,131.8,48.9,0.0,137.39999999999998,135.79999999999998
2020-11-22,MN,27145,130.5,127.7,50.7,0.0,131.5,130.5
2020-11-29,MN,27145,123.5,121.4,47.0,0.0,123.80000000000001,123.5
2020-12-06,MN,27145,115.7,111.10000000000001,43.0,0.0,116.10000000000001,115.7
2020-12-13,MN,27145,82.2,79.0,42.7,0.0,82.3,82.2
2020-12-20,MN,27145,56.0,53.0,37.4,0.0,56.3,56.0
2020-12-27,MN,27145,53.0,50.3,29.6,0.0,53.1,53.0
2021-01-03,MN,27145,48.4,45.3,30.1,0.0,48.6,48.4
2021-01-10,MN,27145,44.0,42.4,34.1,0.0,44.1,44.0
2021-01-17,MN,27145,37.1,34.1,33.4,0.0,37.1,37.1
2021-01-24,MN,27145,28.9,26.9,32.7,0.0,28.9,28.9
2021-01-31,MN,27145,17.9,16.1,29.6,0.0,17.9,17.9
2021-02-07,MN,27145,14.4,11.9,24.4,0.0,14.4,14.4
2021-02-14,MN,27145,13.4,11.6,26.7,0.0,13.6,13.4
2021-02-21,MN,27145,14.4,11.7,26.0,0.0,14.4,14.4
2021-02-28,MN,27145,9.3,7.7,27.3,0.0,9.3,9.3
2021-03-07,MN,27145,11.4,10.7,23.4,0.0,11.6,11.4
2021-03-14,MN,27145,23.4,22.9,27.3,0.0,23.9,23.4
2021-03-21,MN,27145,28.0,27.7,29.7,0.0,28.0,28.0
2021-03-28,MN,27145,33.7,33.1,31.6,0.0,33.7,33.7
