collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MN,27163,0,0,6.9,0.0,0,0.0
2020-08-09,MN,27163,0,0,6.7,0.0,0,0.0
2020-08-16,MN,27163,4.0,0,18.6,0.0,4.0,4.0
2020-08-23,MN,27163,4.1,0,14.8,0.0,4.1,4.1
2020-08-30,MN,27163,4.1,0,13.600000000000001,0.0,4.1,4.1
2020-09-06,MN,27163,0,0,16.200000000000003,0.0,0,0.0
2020-09-13,MN,27163,0,0,15.6,0.0,0,0.0
2020-09-20,MN,27163,0,0,16.5,0.0,0,0.0
2020-09-27,MN,27163,0,0,16.8,0.0,0,0.0
2020-10-04,MN,27163,11.1,4.1,15.6,0.0,11.1,11.1
2020-10-11,MN,27163,6.6,0,19.0,0.0,6.6,6.6
2020-10-18,MN,27163,14.399999999999999,11.2,17.700000000000003,0.0,14.600000000000001,14.399999999999999
2020-10-25,MN,27163,15.6,13.6,18.3,0.0,17.299999999999997,15.6
2020-11-01,MN,27163,23.3,18.6,18.6,0.0,23.0,23.3
2020-11-08,MN,27163,35.900000000000006,30.799999999999997,17.9,0.0,35.900000000000006,35.900000000000006
2020-11-15,MN,27163,39.6,34.6,17.9,0.0,39.6,39.6
2020-11-22,MN,27163,38.0,30.4,18.0,0.0,38.0,38.0
2020-11-29,MN,27163,39.4,33.2,20.0,0.0,39.4,39.4
2020-12-06,MN,27163,37.2,34.0,19.1,0.0,37.2,37.2
2020-12-13,MN,27163,32.0,27.700000000000003,16.3,0.0,32.0,32.0
2020-12-20,MN,27163,16.9,14.9,14.2,0.0,16.9,16.9
2020-12-27,MN,27163,23.0,22.799999999999997,17.2,0.0,23.2,23.0
2021-01-03,MN,27163,17.3,16.6,14.6,0.0,17.5,17.3
2021-01-10,MN,27163,8.6,8.6,17.4,0.0,8.6,8.6
2021-01-17,MN,27163,10.8,10.1,16.0,0.0,10.8,10.8
2021-01-24,MN,27163,0,0,15.3,0.0,0,0.0
2021-01-31,MN,27163,0,0,16.0,0.0,0,0.0
2021-02-07,MN,27163,0,0,15.6,0.0,0,0.0
2021-02-14,MN,27163,0,0,14.1,0.0,0,0.0
2021-02-21,MN,27163,0,0,17.0,0.0,0,0.0
2021-02-28,MN,27163,0,0,17.1,0.0,0,0.0
2021-03-07,MN,27163,0,0,15.7,0.0,0,0.0
2021-03-14,MN,27163,0,0.0,16.5,0.0,0,0.0
2021-03-21,MN,27163,0,0,16.0,0.0,0,0.0
2021-03-28,MN,27163,4.0,0,15.5,0.0,4.0,4.0
2021-04-04,MN,27163,11.6,7.0,16.3,0.0,11.6,11.6
2021-04-11,MN,27163,15.9,15.4,17.2,0.0,16.0,15.9
2021-04-18,MN,27163,19.700000000000003,19.3,18.799999999999997,0.0,19.700000000000003,19.700000000000003
2021-04-25,MN,27163,10.7,10.0,16.6,0.0,10.8,10.7
2021-05-02,MN,27163,13.0,12.5,15.9,0.0,13.0,13.0
2021-05-09,MN,27163,6.6,6.3,17.9,0.0,6.6,6.6
2021-05-16,MN,27163,0,0,17.3,0.0,0,0.0
2021-05-23,MN,27163,4.3,4.3,16.1,0.0,4.3,4.3
2021-05-30,MN,27163,0,0,14.9,0.0,0,0.0
2021-06-06,MN,27163,0,0,16.3,0.0,0,0.0
2021-06-13,MN,27163,0,0,15.6,0.0,0,0.0
2021-06-20,MN,27163,0,0,16.5,0.0,0,0.0
2021-06-27,MN,27163,0,0,17.4,0.0,0,0.0
2021-07-04,MN,27163,0,0,12.9,0.0,0,0.0
2021-07-11,MN,27163,0,0,16.299999999999997,0.0,0,0.0
2021-07-18,MN,27163,0,0,17.6,0.0,0,0.0
2021-07-25,MN,27163,0,0,17.7,0.0,0,0.0
2021-08-01,MN,27163,4.0,4.0,17.6,0.0,4.0,4.0
2021-08-08,MN,27163,7.4,6.6,17.299999999999997,0.0,7.4,7.4
2021-08-15,MN,27163,11.8,10.8,17.5,0.0,12.0,11.8
2021-08-22,MN,27163,18.1,17.700000000000003,19.7,0.0,18.1,18.1
2021-08-29,MN,27163,15.3,15.0,19.9,0.0,15.3,15.3
2021-09-05,MN,27163,21.0,18.7,19.1,0.0,21.0,21.0
2021-09-12,MN,27163,23.299999999999997,22.2,16.9,0.0,23.6,23.299999999999997
2021-09-19,MN,27163,26.099999999999998,25.099999999999998,17.8,0.0,26.099999999999998,26.099999999999998
2021-09-26,MN,27163,23.700000000000003,23.1,17.1,0.0,23.700000000000003,23.700000000000003
2021-10-03,MN,27163,21.200000000000003,20.6,17.6,0.0,21.200000000000003,21.200000000000003
2021-10-10,MN,27163,26.0,25.2,18.0,0.0,26.0,26.0
2021-10-17,MN,27163,14.700000000000001,14.3,17.3,0.0,14.700000000000001,14.700000000000001
2021-10-24,MN,27163,14.3,14.3,17.0,0.0,14.3,14.3
2021-10-31,MN,27163,18.5,18.2,17.9,0.0,18.5,18.5
2021-11-07,MN,27163,29.7,29.6,17.7,0.0,29.7,29.7
2021-11-14,MN,27163,34.0,33.3,17.8,0.0,34.0,34.0
2021-11-21,MN,27163,38.0,37.0,19.4,0.0,38.2,38.0
2021-11-28,MN,27163,45.3,44.1,16.4,0.0,45.4,45.3
2021-12-05,MN,27163,51.900000000000006,51.3,15.1,0.0,52.0,51.900000000000006
2021-12-12,MN,27163,52.9,52.1,17.4,0.0,53.0,52.9
2021-12-19,MN,27163,42.0,37.900000000000006,18.0,0.0,42.0,42.0
2021-12-26,MN,27163,36.8,36.0,16.3,0.0,36.8,36.8
