collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MO,29021,12.3,11.6,18.3,0.0,12.3,12.3
2020-08-09,MO,29021,11.3,11.1,16.4,0.0,11.3,11.3
2020-08-16,MO,29021,17.6,16.7,14.7,0.0,17.6,17.6
2020-08-23,MO,29021,18.7,18.0,15.0,0.0,18.9,18.7
2020-08-30,MO,29021,21.9,21.1,17.1,0.0,21.9,21.9
2020-09-06,MO,29021,20.3,20.0,16.7,0.0,20.3,20.3
2020-09-13,MO,29021,28.4,28.0,17.4,0.0,28.4,28.4
2020-09-20,MO,29021,33.4,33.0,17.1,0.0,33.7,33.4
2020-09-27,MO,29021,51.1,50.6,17.0,0.0,51.1,51.1
2020-10-04,MO,29021,59.0,57.4,15.7,0.0,59.0,59.0
2020-10-11,MO,29021,61.1,59.9,18.6,0.0,61.6,61.1
2020-10-18,MO,29021,58.0,57.3,17.9,0.0,58.0,58.0
2020-10-25,MO,29021,58.1,57.4,16.9,0.0,58.3,58.1
2020-11-01,MO,29021,61.4,59.4,16.4,0.0,61.4,61.4
2020-11-08,MO,29021,75.6,74.4,17.9,0.0,75.6,75.6
2020-11-15,MO,29021,79.7,77.9,17.7,0.0,79.7,79.7
2020-11-22,MO,29021,87.7,86.6,16.6,0.0,87.7,87.7
2020-11-29,MO,29021,71.3,70.0,17.0,0.0,71.3,71.3
2020-12-06,MO,29021,73.8,72.8,18.3,0.0,74.1,73.8
2020-12-13,MO,29021,70.60000000000001,69.60000000000001,17.4,0.0,71.2,70.60000000000001
2020-12-20,MO,29021,66.7,66.4,15.3,0.0,66.7,66.7
2020-12-27,MO,29021,73.3,73.1,17.3,0.0,73.6,73.3
2021-01-03,MO,29021,86.39999999999999,85.39999999999999,18.3,0.0,87.0,86.39999999999999
2021-01-10,MO,29021,67.7,67.0,17.4,0.0,67.7,67.7
2021-01-17,MO,29021,58.6,58.5,15.7,0.0,58.9,58.6
2021-01-24,MO,29021,39.9,39.7,14.6,0.0,40.0,39.9
2021-01-31,MO,29021,42.300000000000004,42.2,16.6,0.0,42.7,42.300000000000004
2021-02-07,MO,29021,32.6,32.3,17.1,0.0,32.6,32.6
2021-02-14,MO,29021,20.6,20.0,17.9,0.0,20.6,20.6
2021-02-21,MO,29021,16.0,15.899999999999999,14.3,0.0,16.0,16.0
2021-02-28,MO,29021,13.1,13.1,15.6,0.0,13.3,13.1
2021-03-07,MO,29021,7.4,7.3,14.1,0.0,7.4,7.4
2021-03-14,MO,29021,9.0,7.9,14.4,0.0,9.0,9.0
2021-03-21,MO,29021,4.9,4.6,13.1,0.0,4.9,4.9
2021-03-28,MO,29021,4.0,0,18.7,0.0,4.0,4.0
2021-04-04,MO,29021,5.0,5.0,12.7,0.0,5.0,5.0
2021-04-11,MO,29021,0,0,14.6,0.0,0,0.0
2021-04-18,MO,29021,4.0,4.0,17.1,0.0,4.0,4.0
2021-04-25,MO,29021,8.6,8.4,17.4,0.0,8.6,8.6
2021-05-02,MO,29021,8.7,8.4,17.9,0.0,8.7,8.7
2021-05-09,MO,29021,8.4,8.3,14.1,0.0,8.4,8.4
2021-05-16,MO,29021,0,0,16.6,0.0,0,0.0
2021-05-23,MO,29021,4.9,4.9,11.6,0.0,4.9,4.9
2021-05-30,MO,29021,5.1,5.1,14.3,0.0,5.1,5.1
2021-06-06,MO,29021,7.7,7.7,17.4,0.0,7.7,7.7
2021-06-13,MO,29021,10.9,10.6,12.4,0.0,11.0,10.9
2021-06-20,MO,29021,16.0,15.9,15.6,0.0,16.0,16.0
2021-06-27,MO,29021,25.7,25.3,17.7,0.0,25.7,25.7
2021-07-04,MO,29021,34.1,34.1,18.7,0.0,34.1,34.1
2021-07-11,MO,29021,52.6,52.3,17.3,0.0,52.6,52.6
2021-07-18,MO,29021,55.4,55.1,17.3,0.0,55.4,55.4
2021-07-25,MO,29021,52.1,52.0,18.0,0.0,53.1,52.1
2021-08-01,MO,29021,51.3,51.0,18.1,0.0,51.6,51.3
2021-08-08,MO,29021,54.9,54.6,16.4,0.0,54.9,54.9
2021-08-15,MO,29021,49.1,48.9,15.9,0.0,49.1,49.1
2021-08-22,MO,29021,44.9,44.7,18.3,0.0,44.9,44.9
2021-08-29,MO,29021,33.9,33.6,17.0,0.0,34.1,33.9
2021-09-05,MO,29021,35.9,35.4,16.6,0.0,36.4,35.9
2021-09-12,MO,29021,36.7,36.7,15.0,0.0,36.7,36.7
2021-09-19,MO,29021,30.0,29.6,9.1,0.0,30.0,30.0
2021-09-26,MO,29021,28.3,27.9,0.0,0.0,28.3,28.3
2021-10-03,MO,29021,22.1,22.0,0.0,0.0,22.4,22.1
2021-10-10,MO,29021,18.7,18.0,0.0,0.0,18.9,18.7
2021-10-17,MO,29021,15.1,14.9,0.0,0.0,15.3,15.1
2021-10-24,MO,29021,20.3,19.7,0.0,0.0,20.3,20.3
2021-10-31,MO,29021,22.4,22.3,0.0,0.0,22.6,22.4
2021-11-07,MO,29021,29.7,28.9,0.0,0.0,29.7,29.7
2021-11-14,MO,29021,37.0,36.4,0.0,0.0,37.0,37.0
2021-11-21,MO,29021,41.0,40.9,0.0,0.0,41.1,41.0
2021-11-28,MO,29021,44.9,44.7,15.7,0.0,44.9,44.9
2021-12-05,MO,29021,52.6,52.3,20.4,0.0,52.6,52.6
2021-12-12,MO,29021,70.1,69.3,21.4,0.0,70.1,70.1
2021-12-19,MO,29021,70.7,70.1,20.1,0.0,70.7,70.7
2021-12-26,MO,29021,73.3,72.9,21.3,0.0,73.6,73.3
