collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MO,29051,9.4,0,8.0,0.0,10.3,9.4
2020-08-09,MO,29051,10.4,0,7.7,0.0,10.4,10.4
2020-08-16,MO,29051,14.8,12.3,6.3,0.0,14.8,14.8
2020-08-23,MO,29051,13.9,11.5,14.7,0.0,14.4,13.9
2020-08-30,MO,29051,16.7,12.9,16.0,0.0,16.7,16.7
2020-09-06,MO,29051,24.3,19.6,18.4,0.0,24.5,24.3
2020-09-13,MO,29051,24.4,21.4,15.0,0.0,24.5,24.4
2020-09-20,MO,29051,24.3,20.200000000000003,16.5,0.0,24.9,24.3
2020-09-27,MO,29051,23.0,17.8,17.799999999999997,0.0,23.1,23.0
2020-10-04,MO,29051,32.8,27.8,16.0,0.0,32.8,32.8
2020-10-11,MO,29051,38.8,31.799999999999997,17.8,0.0,39.2,38.8
2020-10-18,MO,29051,32.6,28.5,17.200000000000003,0.0,32.7,32.6
2020-10-25,MO,29051,34.3,29.3,16.9,0,34.8,34.3
2020-11-01,MO,29051,49.2,43.400000000000006,17.4,0.0,49.3,49.2
2020-11-08,MO,29051,64.7,58.400000000000006,17.3,0.0,65.1,64.7
2020-11-15,MO,29051,68.2,59.4,19.6,0.0,68.2,68.2
2020-11-22,MO,29051,58.4,50.2,19.0,0.0,58.8,58.4
2020-11-29,MO,29051,47.5,43.5,18.6,0.0,47.5,47.5
2020-12-06,MO,29051,36.7,32.4,17.5,0.0,36.900000000000006,36.7
2020-12-13,MO,29051,30.7,25.6,19.299999999999997,0.0,30.7,30.7
2020-12-20,MO,29051,38.4,34.7,18.4,0.0,38.7,38.4
2020-12-27,MO,29051,33.7,29.6,18.9,0.0,33.7,33.7
2021-01-03,MO,29051,37.599999999999994,32.099999999999994,14.799999999999999,0.0,37.8,37.599999999999994
2021-01-10,MO,29051,35.099999999999994,32.8,17.4,0.0,35.3,35.099999999999994
2021-01-17,MO,29051,21.1,17.9,11.9,0.0,21.1,21.1
2021-01-24,MO,29051,17.200000000000003,14.3,11.7,0.0,17.200000000000003,17.200000000000003
