collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MO,29071,4.6,0,29.0,0.0,4.6,4.6
2020-08-09,MO,29071,6.1,5.9,28.1,0.0,6.1,6.1
2020-08-16,MO,29071,7.4,6.9,29.1,0.0,7.4,7.4
2020-08-23,MO,29071,11.1,10.0,30.4,0.0,11.1,11.1
2020-08-30,MO,29071,12.1,10.9,30.3,0,12.6,12.1
2020-09-06,MO,29071,11.4,11.0,35.1,0,11.6,11.4
2020-09-13,MO,29071,13.7,12.7,35.6,0,13.9,13.7
2020-09-20,MO,29071,16.4,16.3,33.3,0,16.7,16.4
2020-09-27,MO,29071,17.0,14.3,28.7,0,17.1,17.0
2020-10-04,MO,29071,19.4,15.1,31.9,0,19.9,19.4
2020-10-11,MO,29071,21.7,17.6,34.1,0,23.0,21.7
2020-10-18,MO,29071,18.6,14.3,33.4,0,19.1,18.6
2020-10-25,MO,29071,15.7,10.0,31.0,0,16.0,15.7
2020-11-01,MO,29071,19.9,15.3,24.6,0,20.6,19.9
2020-11-08,MO,29071,29.3,25.9,17.1,0,30.1,29.3
2020-11-15,MO,29071,33.7,30.6,19.3,0,35.7,33.7
2020-11-22,MO,29071,28.0,25.1,15.4,0,29.1,28.0
2020-11-29,MO,29071,23.9,19.0,14.3,0,25.1,23.9
2020-12-06,MO,29071,21.9,16.7,15.9,0,23.9,21.9
2020-12-13,MO,29071,29.1,24.4,16.1,0,30.9,29.1
2020-12-20,MO,29071,33.7,28.6,16.9,0,35.3,33.7
2020-12-27,MO,29071,28.9,24.1,18.3,0,29.6,28.9
2021-01-03,MO,29071,34.3,29.9,19.3,0,35.7,34.3
2021-01-10,MO,29071,27.6,23.6,16.9,0,28.9,27.6
2021-01-17,MO,29071,26.4,20.7,13.9,0,27.9,26.4
2021-01-24,MO,29071,20.6,16.1,13.3,0,21.1,20.6
2021-01-31,MO,29071,17.3,12.0,15.3,0,17.9,17.3
2021-02-07,MO,29071,17.7,11.1,13.7,0,18.7,17.7
2021-02-14,MO,29071,15.0,10.0,14.7,0,15.9,15.0
2021-02-21,MO,29071,13.6,7.1,13.1,0,14.7,13.6
2021-02-28,MO,29071,11.3,6.4,12.3,0,12.0,11.3
2021-03-07,MO,29071,11.1,4.7,13.3,0,11.7,11.1
2021-03-14,MO,29071,12.0,7.7,11.6,0,13.7,12.0
2021-03-21,MO,29071,11.3,4.7,11.1,0,12.1,11.3
2021-03-28,MO,29071,12.6,4.4,12.0,0,14.7,12.6
2021-04-04,MO,29071,20.0,7.9,15.0,0,21.9,20.0
2021-04-11,MO,29071,14.0,8.1,14.1,0,14.4,14.0
2021-04-18,MO,29071,14.4,8.6,10.6,0,15.4,14.4
2021-04-25,MO,29071,12.0,6.3,12.6,0,13.3,12.0
2021-05-02,MO,29071,9.6,0,12.9,0,11.4,9.6
2021-05-09,MO,29071,9.1,4.1,13.0,0,10.0,9.1
2021-05-16,MO,29071,9.6,4.4,11.6,0,9.7,9.6
2021-05-23,MO,29071,7.4,4.1,14.9,0,8.3,7.4
2021-05-30,MO,29071,8.0,0,15.3,0,8.4,8.0
2021-06-06,MO,29071,9.6,5.1,16.4,0,10.4,9.6
2021-06-13,MO,29071,10.6,4.7,15.9,0,10.9,10.6
2021-06-20,MO,29071,6.9,0,12.0,0,7.7,6.9
2021-06-27,MO,29071,8.4,0,12.1,0,9.3,8.4
2021-07-04,MO,29071,10.4,4.9,14.1,0,11.3,10.4
2021-07-11,MO,29071,9.9,4.1,14.7,0,10.4,9.9
2021-07-18,MO,29071,13.3,7.9,15.9,0,14.6,13.3
2021-07-25,MO,29071,17.7,11.0,17.7,0,18.9,17.7
2021-08-01,MO,29071,21.9,15.7,18.3,0,23.7,21.9
2021-08-08,MO,29071,30.0,24.3,18.4,0,31.6,30.0
2021-08-15,MO,29071,29.1,23.4,18.6,0,30.4,29.1
2021-08-22,MO,29071,29.3,23.4,17.3,0,30.3,29.3
2021-08-29,MO,29071,29.3,24.1,16.1,0,30.1,29.3
2021-09-05,MO,29071,23.7,19.4,16.6,0,24.3,23.7
2021-09-12,MO,29071,20.6,14.9,13.4,0,22.3,20.6
2021-09-19,MO,29071,22.7,19.0,17.1,0,23.7,22.7
2021-09-26,MO,29071,24.9,21.0,18.0,0,25.6,24.9
2021-10-03,MO,29071,23.1,18.9,17.0,0,24.6,23.1
2021-10-10,MO,29071,23.3,17.4,16.6,0,24.3,23.3
2021-10-17,MO,29071,19.4,14.3,17.3,0,20.3,19.4
2021-10-24,MO,29071,13.9,9.1,14.0,0,14.6,13.9
2021-10-31,MO,29071,12.6,7.7,13.0,0,13.0,12.6
2021-11-07,MO,29071,15.6,10.0,15.0,0,16.3,15.6
2021-11-14,MO,29071,17.3,13.1,15.9,0,18.4,17.3
2021-11-21,MO,29071,19.9,12.9,15.6,0,20.9,19.9
2021-11-28,MO,29071,19.0,12.1,15.3,0,20.1,19.0
2021-12-05,MO,29071,23.3,17.6,16.7,0,25.0,23.3
2021-12-12,MO,29071,26.9,21.7,18.4,0,28.3,26.9
2021-12-19,MO,29071,26.7,21.6,17.6,0,28.4,26.7
2021-12-26,MO,29071,22.3,17.3,16.7,0,23.9,22.3
