collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MO,29097,35.099999999999994,28.6,20.6,0.0,36.6,35.099999999999994
2020-08-09,MO,29097,39.5,33.6,21.1,0.0,40.2,39.5
2020-08-16,MO,29097,45.3,40.0,22.6,0.0,45.3,45.3
2020-08-23,MO,29097,48.0,45.3,24.3,0.0,48.800000000000004,48.0
2020-08-30,MO,29097,48.4,44.099999999999994,23.0,0.0,48.8,48.4
2020-09-06,MO,29097,54.7,50.300000000000004,21.6,0.0,55.2,54.7
2020-09-13,MO,29097,61.5,58.400000000000006,59.3,0.0,62.800000000000004,61.5
2020-09-20,MO,29097,56.9,54.4,59.1,0.0,58.3,56.9
2020-09-27,MO,29097,68.19999999999999,60.8,63.2,0.0,70.4,68.19999999999999
2020-10-04,MO,29097,70.69999999999999,64.0,62.900000000000006,0.0,73.3,70.69999999999999
2020-10-11,MO,29097,88.9,78.9,63.6,0.0,90.7,88.9
2020-10-18,MO,29097,95.3,86.19999999999999,66.4,7.0,103.3,102.3
2020-10-25,MO,29097,92.3,85.80000000000001,62.699999999999996,0.0,94.3,92.3
2020-11-01,MO,29097,102.3,92.4,67.9,0.0,103.3,102.3
2020-11-08,MO,29097,111.60000000000001,103.4,69.3,0.0,112.30000000000001,111.60000000000001
2020-11-15,MO,29097,121.60000000000001,114.4,69.6,0.0,122.30000000000001,121.60000000000001
2020-11-22,MO,29097,102.69999999999999,92.4,60.8,0.0,103.1,102.69999999999999
2020-11-29,MO,29097,114.0,105.1,64.1,0.0,114.30000000000001,114.0
2020-12-06,MO,29097,113.99999999999999,100.4,66.7,0.0,114.39999999999999,113.99999999999999
2020-12-13,MO,29097,113.19999999999999,102.5,64.0,0.0,113.6,113.19999999999999
2020-12-20,MO,29097,118.2,104.80000000000001,65.1,0.0,118.80000000000001,118.2
2020-12-27,MO,29097,121.6,107.80000000000001,65.5,0.0,122.89999999999999,121.6
2021-01-03,MO,29097,130.9,120.0,68.30000000000001,0.0,132.9,130.9
2021-01-10,MO,29097,131.10000000000002,120.19999999999999,68.1,0.0,132.10000000000002,131.10000000000002
2021-01-17,MO,29097,101.1,88.80000000000001,65.3,0.0,102.2,101.1
2021-01-24,MO,29097,93.3,80.8,59.0,0.0,94.8,93.3
2021-01-31,MO,29097,71.3,60.6,61.6,0.0,72.0,71.3
2021-02-07,MO,29097,61.1,50.6,60.4,0.0,61.4,61.1
2021-02-14,MO,29097,59.7,49.0,61.9,0.0,60.5,59.7
2021-02-21,MO,29097,51.8,40.699999999999996,59.4,0.0,52.6,51.8
2021-02-28,MO,29097,41.9,30.6,66.4,0.0,42.7,41.9
2021-03-07,MO,29097,34.900000000000006,28.3,66.7,0.0,35.3,34.900000000000006
2021-03-14,MO,29097,23.0,14.399999999999999,63.7,0.0,24.0,23.0
2021-03-21,MO,29097,28.5,21.0,58.9,0.0,29.200000000000003,28.5
2021-03-28,MO,29097,28.200000000000003,17.0,60.6,0.0,29.0,28.200000000000003
2021-04-04,MO,29097,30.299999999999997,22.0,57.9,0.0,31.0,30.299999999999997
2021-04-11,MO,29097,28.9,18.9,63.9,0.0,29.6,28.9
2021-04-18,MO,29097,24.0,13.4,65.1,0.0,24.4,24.0
2021-04-25,MO,29097,20.6,7.7,62.4,0.0,21.8,20.6
2021-05-02,MO,29097,20.299999999999997,12.0,63.7,0.0,21.5,20.299999999999997
2021-05-09,MO,29097,29.3,21.0,62.3,0.0,30.6,29.3
2021-05-16,MO,29097,30.599999999999998,23.1,63.7,0.0,32.3,30.599999999999998
2021-05-23,MO,29097,35.2,23.6,64.4,0.0,37.3,35.2
2021-05-30,MO,29097,42.7,33.7,66.9,0.0,44.0,42.7
2021-06-06,MO,29097,48.6,40.8,66.9,0.0,51.0,48.6
2021-06-13,MO,29097,66.7,57.1,66.1,0.0,69.0,66.7
2021-06-20,MO,29097,85.8,76.1,66.0,0.0,88.1,85.8
2021-06-27,MO,29097,90.0,77.8,65.3,0.0,92.6,90.0
2021-07-04,MO,29097,111.5,101.69999999999999,70.9,0.0,115.1,111.5
2021-07-11,MO,29097,123.4,111.4,67.9,0.0,127.0,123.4
2021-07-18,MO,29097,127.0,113.1,69.6,4.6,132.2,131.6
2021-07-25,MO,29097,142.0,128.1,72.6,0.0,145.0,142.0
2021-08-01,MO,29097,136.1,122.4,71.0,4.6,140.6,140.7
2021-08-08,MO,29097,125.6,112.1,66.6,0.0,129.7,125.6
2021-08-15,MO,29097,114.7,98.0,66.0,0.0,116.4,114.7
2021-08-22,MO,29097,125.0,103.7,68.1,0.0,126.9,125.0
2021-08-29,MO,29097,111.30000000000001,98.4,68.9,0.0,113.7,111.30000000000001
2021-09-05,MO,29097,97.6,86.4,67.0,0.0,99.2,97.6
2021-09-12,MO,29097,94.8,76.4,65.1,0.0,97.4,94.8
2021-09-19,MO,29097,69.9,59.2,45.1,0.0,72.4,69.9
2021-09-26,MO,29097,66.80000000000001,56.7,61.4,0.0,69.0,66.80000000000001
2021-10-03,MO,29097,58.0,47.900000000000006,58.0,0.0,59.900000000000006,58.0
2021-10-10,MO,29097,47.4,34.6,61.0,0.0,50.3,47.4
2021-10-17,MO,29097,46.3,35.9,66.9,0.0,49.5,46.3
2021-10-24,MO,29097,53.599999999999994,40.599999999999994,66.6,6.0,59.599999999999994,59.599999999999994
2021-10-31,MO,29097,41.3,31.700000000000003,57.6,6.7,48.4,48.0
2021-11-07,MO,29097,30.299999999999997,20.4,61.7,6.3,36.6,36.599999999999994
2021-11-14,MO,29097,46.0,33.2,61.1,6.0,52.0,52.0
2021-11-21,MO,29097,44.0,33.2,64.6,4.7,48.7,48.7
2021-11-28,MO,29097,51.5,36.8,63.3,8.9,60.4,60.4
2021-12-05,MO,29097,54.8,39.9,63.9,8.4,63.199999999999996,63.199999999999996
2021-12-12,MO,29097,64.0,49.5,68.4,9.7,73.7,73.7
2021-12-19,MO,29097,70.5,51.099999999999994,68.2,5.9,76.4,76.4
2021-12-26,MO,29097,76.19999999999999,55.9,64.1,5.6,81.69999999999999,81.79999999999998
