collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28027,6.6,5.0,0,0,7.6,6.6
2020-08-09,MS,28027,6.1,5.0,4.4,0.0,6.1,6.1
2020-08-16,MS,28027,9.6,9.6,5.0,0.0,9.6,9.6
2020-08-23,MS,28027,0,0,4.9,0.0,0,0.0
2020-08-30,MS,28027,6.1,6.1,5.1,0,6.3,6.1
2020-09-06,MS,28027,5.6,5.6,5.0,0.0,5.6,5.6
2020-09-13,MS,28027,4.6,4.6,5.3,0.0,4.6,4.6
2020-09-20,MS,28027,4.6,4.1,5.1,0.0,4.6,4.6
2020-09-27,MS,28027,4.1,4.0,4.9,0.0,4.1,4.1
2020-10-04,MS,28027,0,0,4.9,0.0,0,0.0
2020-10-11,MS,28027,5.7,0,0,0.0,5.7,5.7
2020-10-18,MS,28027,0,0,0,0.0,0,0.0
2020-10-25,MS,28027,0,0,4.7,0.0,0,0.0
2020-11-01,MS,28027,0,0.0,5.6,0.0,0,0.0
2020-11-08,MS,28027,0,0.0,4.6,0,0,0.0
2020-11-15,MS,28027,0,0.0,4.0,0,0,0.0
2020-11-22,MS,28027,0,0.0,0,0.0,0,0.0
2020-11-29,MS,28027,0,0.0,4.3,0.0,0,0.0
2020-12-06,MS,28027,13.0,0.0,5.0,0.0,13.0,13.0
2020-12-13,MS,28027,13.1,0.0,5.4,0.0,13.1,13.1
2020-12-20,MS,28027,6.9,0.0,5.0,0.0,6.9,6.9
2020-12-27,MS,28027,6.0,0.0,5.0,0.0,6.0,6.0
2021-01-03,MS,28027,6.1,0.0,6.3,0.0,6.1,6.1
2021-01-10,MS,28027,8.4,0.0,5.1,0.0,8.4,8.4
2021-01-17,MS,28027,6.6,0.0,4.3,0.0,6.6,6.6
2021-01-24,MS,28027,6.9,0.0,4.4,0.0,6.9,6.9
2021-01-31,MS,28027,6.5,0.0,5.0,0.0,6.5,6.5
2021-07-25,MS,28027,5.0,5.0,5.7,0.0,5.0,5.0
2021-08-01,MS,28027,6.1,5.6,4.0,0.0,6.1,6.1
2021-08-08,MS,28027,10.1,9.1,4.7,0,10.3,10.1
2021-08-15,MS,28027,13.1,12.9,5.4,0.0,13.1,13.1
2021-08-22,MS,28027,10.6,9.7,4.1,0.0,10.6,10.6
2021-08-29,MS,28027,8.9,8.3,5.0,0.0,8.9,8.9
2021-09-05,MS,28027,11.9,11.4,5.9,0.0,11.9,11.9
2021-09-12,MS,28027,9.9,8.7,4.9,0.0,9.9,9.9
2021-09-19,MS,28027,9.6,9.0,6.3,0.0,9.6,9.6
2021-09-26,MS,28027,0,0,4.4,0.0,0,0.0
2021-10-03,MS,28027,0,0,0,0.0,0,0.0
2021-10-10,MS,28027,0,0,0,0.0,0,0.0
2021-10-17,MS,28027,0,0,0,0.0,0,0.0
2021-10-24,MS,28027,0,0,5.3,0.0,0,0.0
2021-10-31,MS,28027,0,0,4.6,0.0,0,0.0
2021-11-07,MS,28027,0,0,4.3,0.0,0,0.0
2021-11-14,MS,28027,0,0,0,0.0,0,0.0
2021-11-21,MS,28027,0,0,4.4,0.0,0,0.0
2021-11-28,MS,28027,0,0,0,0.0,0,0.0
2021-12-05,MS,28027,0,0,4.1,0.0,0,0.0
2021-12-12,MS,28027,0,0,4.3,0.0,0,0.0
2021-12-19,MS,28027,0,0,4.0,0.0,0,0.0
2021-12-26,MS,28027,4.9,4.6,4.6,0.0,4.9,4.9
