collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28035,100.0,83.4,65.4,0.0,100.39999999999999,100.0
2020-08-09,MS,28035,100.60000000000001,88.6,67.5,0.0,100.7,100.60000000000001
2020-08-16,MS,28035,85.6,76.4,66.0,0.0,85.6,85.6
2020-08-23,MS,28035,82.5,74.30000000000001,68.0,0.0,83.0,82.5
2020-08-30,MS,28035,69.4,57.0,62.1,0.0,69.4,69.4
2020-09-06,MS,28035,66.69999999999999,59.3,65.4,0.0,67.0,66.69999999999999
2020-09-13,MS,28035,63.8,55.199999999999996,67.4,0.0,63.8,63.8
2020-09-20,MS,28035,46.3,40.0,49.1,0.0,46.3,46.3
2020-09-27,MS,28035,42.3,37.3,52.4,0.0,42.3,42.3
2020-10-04,MS,28035,57.0,46.3,63.4,0.0,57.1,57.0
2020-10-11,MS,28035,44.3,37.0,63.5,0.0,44.3,44.3
2020-10-18,MS,28035,57.099999999999994,50.0,61.9,0.0,57.3,57.099999999999994
2020-10-25,MS,28035,51.4,44.5,66.9,0.0,51.6,51.4
2020-11-01,MS,28035,57.2,36.4,66.7,0.0,57.3,57.2
2020-11-08,MS,28035,57.7,37.7,66.30000000000001,0.0,57.7,57.7
2020-11-15,MS,28035,64.7,50.6,64.0,0.0,64.7,64.7
2020-11-22,MS,28035,74.8,57.4,56.8,0.0,75.2,74.8
2020-11-29,MS,28035,95.5,67.0,62.7,0.0,95.5,95.5
2020-12-06,MS,28035,102.6,68.6,64.6,0.0,102.7,102.6
2020-12-13,MS,28035,109.8,72.9,66.0,0.0,109.8,109.8
2020-12-20,MS,28035,107.80000000000001,68.9,63.900000000000006,0.0,107.80000000000001,107.80000000000001
2020-12-27,MS,28035,104.0,66.6,66.3,0.0,105.39999999999999,104.0
2021-01-03,MS,28035,110.9,73.6,68.3,0.0,111.3,110.9
2021-01-10,MS,28035,108.39999999999999,71.3,67.5,0.0,108.7,108.39999999999999
2021-01-17,MS,28035,97.5,64.3,69.4,0.0,97.5,97.5
2021-01-24,MS,28035,84.19999999999999,57.3,73.9,0.0,84.19999999999999,84.19999999999999
2021-01-31,MS,28035,79.3,54.1,72.4,0.0,79.3,79.3
2021-02-07,MS,28035,72.9,44.7,70.8,0.0,72.9,72.9
