collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28059,38.3,38.3,0.0,0.0,38.3,38.3
2020-08-09,MS,28059,37.9,37.7,0.0,0.0,37.9,37.9
2020-08-16,MS,28059,31.0,30.0,0.0,0.0,31.0,31.0
2020-08-23,MS,28059,23.4,23.1,0.0,0.0,23.4,23.4
2020-08-30,MS,28059,20.0,19.9,0.0,0.0,20.0,20.0
2020-09-06,MS,28059,20.4,20.1,0.0,0,20.6,20.4
2020-09-13,MS,28059,23.3,23.0,0.0,0.0,23.3,23.3
2020-09-20,MS,28059,20.5,20.3,0.0,0.0,20.5,20.5
2020-09-27,MS,28059,21.9,21.7,0.0,0.0,21.9,21.9
2020-10-04,MS,28059,24.2,24.2,0.0,0.0,24.2,24.2
2020-10-11,MS,28059,28.7,28.7,31.0,0.0,28.7,28.7
2020-10-18,MS,28059,37.7,37.7,38.7,0.0,37.7,37.7
2020-10-25,MS,28059,32.4,32.1,31.6,0.0,32.4,32.4
2020-11-01,MS,28059,34.3,33.9,33.9,0.0,34.3,34.3
2020-11-08,MS,28059,38.9,38.9,37.0,0.0,38.9,38.9
2020-11-15,MS,28059,35.6,35.4,34.6,0.0,35.6,35.6
2020-11-22,MS,28059,33.9,33.7,34.0,0.0,33.9,33.9
2020-11-29,MS,28059,37.9,37.7,34.4,0.0,37.9,37.9
2020-12-06,MS,28059,39.3,39.3,32.0,0.0,39.3,39.3
2020-12-13,MS,28059,40.1,40.1,35.1,0.0,40.1,40.1
2020-12-20,MS,28059,48.3,48.1,37.1,0,48.6,48.3
2020-12-27,MS,28059,61.7,61.4,37.1,0.0,61.7,61.7
2021-01-03,MS,28059,58.9,58.7,36.6,0.0,58.9,58.9
2021-01-10,MS,28059,60.9,60.9,34.3,0.0,60.9,60.9
2021-01-17,MS,28059,64.4,64.4,35.9,0.0,64.4,64.4
2021-01-24,MS,28059,59.3,59.3,35.0,0,59.4,59.3
2021-01-31,MS,28059,43.4,43.4,31.3,0.0,43.4,43.4
2021-02-07,MS,28059,33.6,33.6,32.1,0.0,33.6,33.6
2021-02-14,MS,28059,24.7,24.7,29.1,0.0,24.7,24.7
2021-02-21,MS,28059,19.0,19.0,29.1,0,19.1,19.0
2021-02-28,MS,28059,13.3,13.3,28.4,0,13.6,13.3
2021-03-07,MS,28059,9.7,9.7,29.3,0.0,9.7,9.7
2021-03-14,MS,28059,11.7,11.7,31.1,0.0,11.7,11.7
2021-03-21,MS,28059,9.3,9.1,34.0,0,9.6,9.3
2021-03-28,MS,28059,5.0,5.0,27.1,0.0,5.0,5.0
2021-04-04,MS,28059,0,0,25.6,0.0,0,0.0
2021-04-11,MS,28059,0,0,29.0,0.0,0,0.0
2021-04-18,MS,28059,8.6,8.3,32.3,0.0,8.6,8.6
2021-04-25,MS,28059,5.7,5.7,26.0,0.0,5.7,5.7
2021-05-02,MS,28059,0,0,21.1,0.0,0,0.0
2021-05-09,MS,28059,5.4,5.4,29.6,0.0,5.4,5.4
2021-05-16,MS,28059,4.1,4.1,28.9,0.0,4.1,4.1
2021-05-23,MS,28059,5.0,5.0,32.0,0.0,5.0,5.0
2021-05-30,MS,28059,6.6,6.6,31.1,0.0,6.6,6.6
2021-06-06,MS,28059,6.0,6.0,32.6,0.0,6.0,6.0
2021-06-13,MS,28059,0,0,30.9,0.0,0,0.0
2021-06-20,MS,28059,5.0,5.0,32.3,0.0,5.0,5.0
2021-06-27,MS,28059,5.4,5.4,32.7,0.0,5.4,5.4
2021-07-04,MS,28059,5.0,5.0,33.7,0.0,5.0,5.0
2021-07-11,MS,28059,12.7,12.7,33.4,0,12.9,12.7
2021-07-18,MS,28059,22.9,22.9,34.7,0.0,22.9,22.9
2021-07-25,MS,28059,41.4,41.4,35.6,0,41.6,41.4
2021-08-01,MS,28059,67.4,67.4,35.3,0,68.3,67.4
2021-08-08,MS,28059,84.9,84.9,36.4,0,85.3,84.9
2021-08-15,MS,28059,92.0,92.0,38.9,0,92.6,92.0
2021-08-22,MS,28059,96.0,96.0,38.3,0,96.9,96.0
2021-08-29,MS,28059,84.4,84.4,36.6,0,85.7,84.4
2021-09-05,MS,28059,69.4,69.4,36.7,0,69.7,69.4
2021-09-12,MS,28059,57.6,57.6,39.7,0.0,57.6,57.6
2021-09-19,MS,28059,42.7,42.7,34.9,0.0,42.7,42.7
2021-09-26,MS,28059,26.4,26.4,34.7,0,26.6,26.4
2021-10-03,MS,28059,16.4,16.4,31.0,0,17.0,16.4
2021-10-10,MS,28059,13.9,11.9,23.4,0.0,13.9,13.9
2021-10-17,MS,28059,8.6,7.9,32.7,0,8.9,8.6
2021-10-24,MS,28059,4.4,4.4,30.7,0,5.4,4.4
2021-10-31,MS,28059,7.0,7.0,35.7,0,7.1,7.0
2021-11-07,MS,28059,8.4,8.4,33.4,0,8.6,8.4
2021-11-14,MS,28059,6.1,6.1,33.3,0.0,6.1,6.1
2021-11-21,MS,28059,5.3,5.1,34.7,0.0,5.3,5.3
2021-11-28,MS,28059,5.9,5.9,33.3,0.0,5.9,5.9
2021-12-05,MS,28059,6.1,6.1,35.3,0.0,6.1,6.1
2021-12-12,MS,28059,4.4,4.4,34.7,0.0,4.4,4.4
2021-12-19,MS,28059,4.4,4.4,30.7,0.0,4.4,4.4
2021-12-26,MS,28059,9.4,9.4,32.7,0.0,9.4,9.4
