collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28067,27.4,21.9,15.6,0,27.7,27.4
2020-08-09,MS,28067,24.0,19.1,15.3,0,24.3,24.0
2020-08-16,MS,28067,21.9,18.6,11.7,0,22.0,21.9
2020-08-23,MS,28067,22.6,18.3,12.0,0.0,22.6,22.6
2020-08-30,MS,28067,24.1,18.9,11.7,0.0,24.1,24.1
2020-09-06,MS,28067,20.4,17.0,12.1,0.0,20.4,20.4
2020-09-13,MS,28067,19.0,13.3,10.4,0,19.1,19.0
2020-09-20,MS,28067,15.0,10.4,11.3,0.0,15.0,15.0
2020-09-27,MS,28067,10.4,7.6,10.1,0,10.6,10.4
2020-10-04,MS,28067,14.7,10.0,12.1,0.0,14.7,14.7
2020-10-11,MS,28067,19.0,16.3,11.1,0.0,19.0,19.0
2020-10-18,MS,28067,12.4,10.7,10.1,0.0,12.4,12.4
2020-10-25,MS,28067,11.1,9.9,11.0,0.0,11.1,11.1
2020-11-01,MS,28067,12.4,8.4,11.9,0,12.6,12.4
2020-11-08,MS,28067,12.6,9.6,12.3,0.0,12.6,12.6
2020-11-15,MS,28067,20.1,18.1,12.3,0.0,20.1,20.1
2020-11-22,MS,28067,17.7,15.1,11.7,0,18.0,17.7
2020-11-29,MS,28067,22.7,20.3,11.9,0.0,22.7,22.7
2020-12-06,MS,28067,26.6,24.0,11.7,0.0,26.6,26.6
2020-12-13,MS,28067,33.7,30.1,12.7,0.0,33.7,33.7
2020-12-20,MS,28067,38.0,36.3,13.0,0,38.1,38.0
2020-12-27,MS,28067,40.0,36.6,13.0,0.0,40.0,40.0
2021-01-03,MS,28067,38.0,34.9,13.0,0.0,38.0,38.0
2021-01-10,MS,28067,42.3,40.0,13.0,0.0,42.3,42.3
2021-01-17,MS,28067,36.6,36.0,13.0,0.0,36.6,36.6
2021-01-24,MS,28067,34.3,33.3,13.0,0.0,34.3,34.3
2021-01-31,MS,28067,33.6,32.0,13.0,0.0,33.6,33.6
2021-02-07,MS,28067,24.3,23.1,13.0,0.0,24.3,24.3
2021-02-14,MS,28067,20.3,18.9,13.0,0.0,20.3,20.3
2021-02-21,MS,28067,15.9,11.9,13.0,0,16.3,15.9
2021-02-28,MS,28067,8.1,7.0,10.6,0.0,8.1,8.1
2021-03-07,MS,28067,7.4,5.1,10.3,0.0,7.4,7.4
2021-03-14,MS,28067,5.4,4.6,9.4,0.0,5.4,5.4
2021-03-21,MS,28067,6.0,4.3,10.4,0.0,6.0,6.0
2021-03-28,MS,28067,6.3,5.7,8.6,0.0,6.3,6.3
2021-04-04,MS,28067,4.0,0,10.9,0.0,4.0,4.0
2021-04-11,MS,28067,0,0,9.3,0.0,0,0.0
2021-04-18,MS,28067,0,0,6.4,0.0,0,0.0
2021-04-25,MS,28067,5.1,5.1,9.3,0.0,5.1,5.1
2021-05-02,MS,28067,7.6,6.6,12.1,0.0,7.6,7.6
2021-05-09,MS,28067,6.7,6.1,9.1,0.0,6.7,6.7
2021-05-16,MS,28067,5.6,4.1,10.0,0.0,5.6,5.6
2021-05-23,MS,28067,4.0,0,9.7,0.0,4.0,4.0
2021-05-30,MS,28067,0,0,11.6,0.0,0,0.0
2021-06-06,MS,28067,0,0,11.4,0.0,0,0.0
2021-06-13,MS,28067,0,0,11.3,0,0,0.0
2021-06-20,MS,28067,0,0,10.6,0.0,0,0.0
2021-06-27,MS,28067,0,0,10.6,0.0,0,0.0
2021-07-04,MS,28067,0,0,6.0,0.0,0,0.0
2021-07-11,MS,28067,6.9,5.4,10.9,0.0,6.9,6.9
2021-07-18,MS,28067,11.6,9.4,11.7,0.0,11.6,11.6
2021-07-25,MS,28067,21.1,18.4,13.4,0.0,21.1,21.1
2021-08-01,MS,28067,32.9,31.1,15.0,0.0,32.9,32.9
2021-08-08,MS,28067,50.1,47.6,15.7,0,50.9,50.1
2021-08-15,MS,28067,49.0,48.0,17.4,0,49.1,49.0
2021-08-22,MS,28067,56.0,55.0,18.0,0.0,56.0,56.0
2021-08-29,MS,28067,51.9,51.9,18.0,0.0,51.9,51.9
2021-09-05,MS,28067,46.3,46.1,17.7,0.0,46.3,46.3
2021-09-12,MS,28067,30.9,30.6,16.4,0.0,30.9,30.9
2021-09-19,MS,28067,21.3,21.1,14.9,0.0,21.3,21.3
2021-09-26,MS,28067,13.0,12.9,14.0,0.0,13.0,13.0
2021-10-03,MS,28067,10.4,10.3,13.0,0.0,10.4,10.4
2021-10-10,MS,28067,14.7,14.6,13.0,0.0,14.7,14.7
2021-10-17,MS,28067,9.1,9.1,12.4,0.0,9.1,9.1
2021-10-24,MS,28067,8.3,8.3,11.7,0.0,8.3,8.3
2021-10-31,MS,28067,0,0,11.9,0.0,0,0.0
2021-11-07,MS,28067,0,0,10.0,0.0,0,0.0
2021-11-14,MS,28067,0,0,7.9,0.0,0,0.0
2021-11-21,MS,28067,0,0,9.3,0.0,0,0.0
2021-11-28,MS,28067,0,0,12.0,0.0,0,0.0
2021-12-05,MS,28067,0,0,10.1,0.0,0,0.0
2021-12-12,MS,28067,0,0,10.9,0.0,0,0.0
2021-12-19,MS,28067,0,0,9.6,0.0,0,0.0
2021-12-26,MS,28067,6.4,6.1,10.4,0,6.9,6.4
