collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28075,44.199999999999996,40.5,41.900000000000006,0.0,47.9,44.199999999999996
2020-08-09,MS,28075,49.099999999999994,42.1,46.5,0.0,49.099999999999994,49.099999999999994
2020-08-16,MS,28075,40.7,34.5,43.099999999999994,0.0,40.7,40.7
2020-08-23,MS,28075,41.4,35.4,42.5,0.0,41.4,41.4
2020-08-30,MS,28075,42.599999999999994,35.0,44.5,0.0,42.599999999999994,42.599999999999994
2020-09-06,MS,28075,32.7,29.7,40.9,0.0,32.7,32.7
2020-09-13,MS,28075,26.7,23.6,41.2,0.0,26.7,26.7
2020-09-20,MS,28075,20.299999999999997,16.6,35.4,0.0,20.299999999999997,20.299999999999997
2020-09-27,MS,28075,21.0,16.7,40.0,0.0,21.0,21.0
2020-10-04,MS,28075,19.7,17.200000000000003,35.7,0.0,19.7,19.7
2020-10-11,MS,28075,26.4,25.099999999999998,39.7,0.0,26.4,26.4
2020-10-18,MS,28075,26.0,25.4,39.4,0.0,26.1,26.0
2020-10-25,MS,28075,25.9,25.0,42.599999999999994,0.0,25.9,25.9
2020-11-01,MS,28075,28.4,28.3,37.9,0.0,28.4,28.4
2020-11-08,MS,28075,32.0,31.6,44.7,0.0,32.0,32.0
2020-11-15,MS,28075,46.400000000000006,37.2,46.6,0.0,46.8,46.400000000000006
2020-11-22,MS,28075,54.3,41.5,44.0,0.0,54.3,54.3
2020-11-29,MS,28075,46.8,46.5,46.5,0.0,46.8,46.8
2020-12-06,MS,28075,49.8,48.400000000000006,50.0,0.0,49.8,49.8
2020-12-13,MS,28075,56.0,55.9,53.8,0.0,56.0,56.0
2020-12-20,MS,28075,46.7,46.6,53.8,0.0,46.7,46.7
2020-12-27,MS,28075,60.400000000000006,59.400000000000006,48.0,0.0,60.7,60.400000000000006
2021-01-03,MS,28075,61.6,61.6,48.5,0.0,61.6,61.6
2021-01-10,MS,28075,55.2,55.2,51.3,0.0,55.2,55.2
2021-01-17,MS,28075,50.0,49.8,48.1,0.0,50.0,50.0
2021-01-24,MS,28075,41.9,41.9,46.5,0.0,41.9,41.9
2021-01-31,MS,28075,38.9,38.9,46.6,0.0,38.9,38.9
2021-02-07,MS,28075,28.1,28.1,45.1,0.0,28.1,28.1
2021-02-14,MS,28075,15.0,15.0,42.4,0.0,15.0,15.0
2021-02-21,MS,28075,22.8,22.8,44.8,0.0,22.8,22.8
2021-02-28,MS,28075,22.4,21.9,42.7,0.0,22.4,22.4
2021-03-07,MS,28075,19.6,19.6,37.0,0.0,19.6,19.6
2021-03-14,MS,28075,16.5,16.5,24.799999999999997,0.0,16.5,16.5
2021-03-21,MS,28075,9.7,9.7,36.3,0.0,9.7,9.7
2021-03-28,MS,28075,5.9,5.9,31.2,0.0,5.9,5.9
2021-04-04,MS,28075,0.0,0.0,28.4,0.0,0.0,0.0
2021-04-11,MS,28075,0.0,0.0,31.0,0.0,0.0,0.0
2021-04-18,MS,28075,0.0,0.0,31.4,0.0,0.0,0.0
2021-04-25,MS,28075,0.0,0.0,31.099999999999998,0.0,0.0,0.0
2021-05-02,MS,28075,0.0,0.0,37.8,0.0,0.0,0.0
2021-05-09,MS,28075,4.7,4.7,39.400000000000006,0.0,4.7,4.7
2021-05-16,MS,28075,5.3,5.3,34.4,0.0,5.3,5.3
2021-05-23,MS,28075,5.0,5.0,31.5,0.0,5.0,5.0
2021-05-30,MS,28075,0.0,0.0,32.8,0.0,0.0,0.0
2021-06-06,MS,28075,0.0,0.0,30.0,0.0,0.0,0.0
2021-06-13,MS,28075,0.0,0.0,27.1,0.0,0.0,0.0
2021-06-20,MS,28075,0.0,0.0,26.5,0.0,0.0,0.0
2021-06-27,MS,28075,0.0,0.0,30.3,0.0,0.0,0.0
2021-07-04,MS,28075,0.0,0.0,27.6,0.0,0.0,0.0
2021-07-11,MS,28075,6.0,6.0,34.099999999999994,0.0,6.0,6.0
2021-07-18,MS,28075,19.700000000000003,19.3,34.1,0.0,19.700000000000003,19.700000000000003
2021-07-25,MS,28075,35.0,35.0,37.3,0.0,35.0,35.0
2021-08-01,MS,28075,58.5,58.5,47.5,4.4,62.9,62.9
2021-08-08,MS,28075,74.1,74.1,46.8,0.0,79.0,74.1
2021-08-15,MS,28075,76.5,76.4,49.2,0.0,76.7,76.5
2021-08-22,MS,28075,79.1,79.1,51.599999999999994,0.0,79.4,79.1
2021-08-29,MS,28075,71.0,71.0,53.099999999999994,0.0,71.1,71.0
2021-09-05,MS,28075,64.4,64.3,55.5,0.0,64.4,64.4
2021-09-12,MS,28075,56.7,56.7,51.6,0.0,56.7,56.7
2021-09-19,MS,28075,43.7,42.900000000000006,37.6,0.0,43.7,43.7
2021-09-26,MS,28075,40.1,40.1,40.5,0.0,40.1,40.1
2021-10-03,MS,28075,31.200000000000003,31.200000000000003,40.8,0.0,31.200000000000003,31.200000000000003
2021-10-10,MS,28075,23.700000000000003,23.700000000000003,32.6,0.0,23.700000000000003,23.700000000000003
2021-10-17,MS,28075,20.6,20.6,28.400000000000002,0.0,20.6,20.6
2021-10-24,MS,28075,12.0,12.0,29.3,0.0,12.0,12.0
2021-10-31,MS,28075,9.8,9.8,33.6,0.0,9.8,9.8
2021-11-07,MS,28075,4.4,4.4,37.8,0.0,4.7,4.4
2021-11-14,MS,28075,0.0,0.0,38.6,0.0,0.0,0.0
2021-11-21,MS,28075,4.3,0.0,29.4,0.0,4.3,4.3
2021-11-28,MS,28075,4.0,4.0,34.0,0.0,4.0,4.0
2021-12-05,MS,28075,5.9,5.9,39.099999999999994,0.0,5.9,5.9
2021-12-12,MS,28075,11.6,11.6,39.3,0.0,11.6,11.6
2021-12-19,MS,28075,9.4,9.4,33.1,0.0,9.4,9.4
2021-12-26,MS,28075,19.799999999999997,19.799999999999997,37.7,0.0,19.799999999999997,19.799999999999997
