collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28133,12.3,11.899999999999999,0,0.0,12.3,12.3
2020-08-09,MS,28133,13.3,12.1,0,0.0,13.3,13.3
2020-08-16,MS,28133,9.1,9.1,0,0.0,9.1,9.1
2020-08-23,MS,28133,7.7,7.7,0,0.0,7.7,7.7
2020-08-30,MS,28133,7.6,7.6,0,0.0,7.7,7.6
2020-09-06,MS,28133,13.2,13.2,0,0.0,13.2,13.2
2020-09-13,MS,28133,0,0,0,0.0,0,0.0
2020-09-20,MS,28133,6.6,6.6,0,0.0,6.6,6.6
2020-09-27,MS,28133,6.7,6.7,0.0,0.0,6.7,6.7
2020-10-04,MS,28133,0,0,0,0.0,0,0.0
2020-10-11,MS,28133,0,0,0,0.0,0,0.0
2020-10-18,MS,28133,0,0,0.0,0.0,0,0.0
2020-10-25,MS,28133,10.1,6.1,0.0,0.0,10.2,10.1
2020-11-01,MS,28133,5.4,5.3,0.0,0.0,5.4,5.4
2020-11-08,MS,28133,5.4,5.1,0.0,0.0,5.4,5.4
2020-11-15,MS,28133,7.9,7.6,0.0,0.0,7.9,7.9
2020-11-22,MS,28133,9.6,9.6,0.0,0.0,9.6,9.6
2020-11-29,MS,28133,13.6,6.3,0.0,0.0,13.6,13.6
2020-12-06,MS,28133,12.6,6.6,0.0,0.0,12.6,12.6
2020-12-13,MS,28133,18.700000000000003,7.4,0.0,0.0,18.700000000000003,18.700000000000003
2020-12-20,MS,28133,18.799999999999997,9.7,0.0,0.0,18.799999999999997,18.799999999999997
2020-12-27,MS,28133,15.9,7.6,0.0,0.0,15.9,15.9
2021-01-03,MS,28133,14.6,7.3,0.0,0.0,14.6,14.6
2021-01-10,MS,28133,13.9,8.0,0.0,0.0,13.9,13.9
2021-01-17,MS,28133,10.9,5.7,0.0,0.0,10.9,10.9
2021-01-24,MS,28133,4.6,0.0,0.0,0.0,4.6,4.6
2021-01-31,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-02-07,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-02-14,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-02-21,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-02-28,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-03-07,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-03-14,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-04-04,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,MS,28133,0,0,0.0,0.0,0,0.0
2021-06-06,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,MS,28133,0,0,0.0,0.0,0,0.0
2021-07-25,MS,28133,0,0,0.0,0.0,0,0.0
2021-08-01,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-08-08,MS,28133,4.1,4.1,0.0,0.0,4.3,4.1
2021-08-15,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-08-22,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-08-29,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-09-05,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-09-12,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-09-19,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-09-26,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-10-03,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-10,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-24,MS,28133,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-11-07,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-11-14,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-11-21,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-11-28,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-12-05,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-12-12,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-12-19,MS,28133,0,0.0,0.0,0.0,0,0.0
2021-12-26,MS,28133,4.3,0.0,0.0,0.0,4.3,4.3
