collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MS,28151,54.3,39.3,23.0,0.0,54.3,54.3
2020-08-09,MS,28151,58.900000000000006,48.099999999999994,24.200000000000003,0.0,58.900000000000006,58.900000000000006
2020-08-16,MS,28151,51.400000000000006,43.900000000000006,25.5,0.0,51.400000000000006,51.400000000000006
2020-08-23,MS,28151,41.8,37.3,24.8,0.0,41.8,41.8
2020-08-30,MS,28151,40.2,34.3,25.8,0.0,40.2,40.2
2020-09-06,MS,28151,36.7,30.0,25.0,0.0,36.7,36.7
2020-09-13,MS,28151,31.4,26.7,23.8,0.0,31.4,31.4
2020-09-20,MS,28151,27.9,25.7,23.1,0.0,27.9,27.9
2020-09-27,MS,28151,28.1,25.7,26.7,0.0,28.1,28.1
2020-10-04,MS,28151,36.6,32.8,26.200000000000003,0.0,36.6,36.6
2020-10-11,MS,28151,26.7,25.7,24.3,0.0,26.7,26.7
2020-10-18,MS,28151,31.9,30.9,24.0,0.0,31.9,31.9
2020-10-25,MS,28151,35.5,33.3,23.7,0.0,35.5,35.5
2020-11-01,MS,28151,32.3,31.0,23.7,0.0,32.3,32.3
2020-11-08,MS,28151,33.400000000000006,32.400000000000006,22.8,0.0,33.400000000000006,33.400000000000006
2020-11-15,MS,28151,40.3,39.3,24.0,0.0,40.3,40.3
2020-11-22,MS,28151,36.7,36.6,26.0,0.0,36.7,36.7
2020-11-29,MS,28151,40.8,40.2,25.1,0.0,40.8,40.8
2020-12-06,MS,28151,31.3,31.0,26.4,0.0,31.3,31.3
2020-12-13,MS,28151,32.7,31.5,25.6,0.0,32.7,32.7
2020-12-20,MS,28151,30.4,29.799999999999997,24.4,0.0,30.4,30.4
2020-12-27,MS,28151,30.1,30.0,26.0,0.0,30.1,30.1
2021-01-03,MS,28151,27.700000000000003,27.4,26.8,0.0,27.700000000000003,27.700000000000003
2021-01-10,MS,28151,26.200000000000003,26.0,23.3,0.0,26.200000000000003,26.200000000000003
2021-01-17,MS,28151,25.0,24.7,24.0,0.0,25.0,25.0
2021-01-24,MS,28151,26.299999999999997,26.299999999999997,23.0,0.0,26.299999999999997,26.299999999999997
2021-01-31,MS,28151,20.9,20.9,23.6,0.0,20.9,20.9
2021-02-07,MS,28151,20.299999999999997,20.1,24.3,0.0,20.299999999999997,20.299999999999997
2021-02-14,MS,28151,16.1,16.0,24.200000000000003,0.0,16.1,16.1
2021-02-21,MS,28151,13.100000000000001,13.0,23.3,0.0,13.100000000000001,13.100000000000001
2021-02-28,MS,28151,11.8,11.5,22.5,0.0,11.8,11.8
2021-03-07,MS,28151,13.6,13.6,21.6,0.0,13.6,13.6
2021-03-14,MS,28151,12.9,12.9,20.2,0.0,12.9,12.9
2021-03-21,MS,28151,8.0,8.0,21.0,0.0,8.0,8.0
2021-03-28,MS,28151,10.4,10.4,22.200000000000003,0.0,10.4,10.4
2021-04-04,MS,28151,9.0,8.1,22.0,0.0,9.0,9.0
2021-04-11,MS,28151,5.9,5.9,23.5,0.0,5.9,5.9
2021-04-18,MS,28151,0,0,21.8,0.0,0,0.0
2021-04-25,MS,28151,4.1,4.1,21.1,0.0,4.1,4.1
2021-05-02,MS,28151,5.0,4.6,20.7,0.0,5.0,5.0
2021-05-09,MS,28151,0,0,22.700000000000003,0.0,0,0.0
2021-05-16,MS,28151,4.6,4.6,22.8,0.0,4.6,4.6
2021-05-23,MS,28151,4.0,4.0,20.3,0.0,4.0,4.0
2021-05-30,MS,28151,4.0,4.0,19.6,0.0,4.0,4.0
2021-06-06,MS,28151,0,0,21.7,0.0,0,0.0
2021-06-13,MS,28151,0,0,20.3,0.0,0,0.0
2021-06-20,MS,28151,0,0,20.5,0.0,0,0.0
