collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MT,30031,0.0,0.0,4.3,0.0,4.0,0.0
2020-08-09,MT,30031,0.0,0,0.0,0.0,0.0,0.0
2020-08-16,MT,30031,0.0,0,0.0,0.0,0.0,0.0
2020-08-23,MT,30031,0,0,4.5,0.0,0,0.0
2020-08-30,MT,30031,4.0,0.0,6.1,0.0,4.0,4.0
2020-09-06,MT,30031,0.0,0.0,5.4,0.0,0.0,0.0
2020-09-13,MT,30031,0.0,0.0,9.5,0.0,0.0,0.0
2020-09-20,MT,30031,0.0,0.0,14.1,0.0,0.0,0.0
2020-09-27,MT,30031,5.6,4.6,12.7,0.0,5.7,5.6
2020-10-04,MT,30031,11.3,8.9,8.6,0.0,11.3,11.3
2020-10-11,MT,30031,9.1,7.1,11.3,0.0,9.3,9.1
2020-10-18,MT,30031,11.1,11.0,11.3,0.0,11.1,11.1
2020-10-25,MT,30031,13.4,13.1,15.1,0.0,13.4,13.4
2020-11-01,MT,30031,17.0,16.0,14.4,0.0,17.3,17.0
2020-11-08,MT,30031,17.6,17.6,15.0,0.0,17.6,17.6
2020-11-15,MT,30031,26.3,25.9,15.9,0.0,26.3,26.3
2020-11-22,MT,30031,28.7,27.4,14.9,0.0,28.7,28.7
2020-11-29,MT,30031,20.6,20.0,16.7,0.0,20.6,20.6
2020-12-06,MT,30031,23.0,22.1,16.4,0.0,23.1,23.0
2020-12-13,MT,30031,12.0,11.3,12.0,0.0,12.0,12.0
2020-12-20,MT,30031,8.9,8.6,13.7,0.0,8.9,8.9
2020-12-27,MT,30031,13.1,12.4,12.3,0.0,13.1,13.1
2021-01-03,MT,30031,14.3,14.0,17.1,0.0,14.3,14.3
2021-01-10,MT,30031,12.6,10.7,17.1,0.0,12.6,12.6
2021-01-17,MT,30031,12.0,11.7,15.6,0.0,12.0,12.0
2021-01-24,MT,30031,7.9,7.9,13.9,0.0,7.9,7.9
2021-01-31,MT,30031,7.1,7.1,13.4,0.0,7.1,7.1
2021-02-07,MT,30031,10.0,9.4,14.9,0.0,10.0,10.0
2021-02-14,MT,30031,6.0,5.7,13.4,0.0,6.0,6.0
2021-02-21,MT,30031,5.6,5.6,11.3,0.0,5.6,5.6
2021-02-28,MT,30031,5.6,5.6,13.3,0.0,5.6,5.6
2021-03-07,MT,30031,0.0,0.0,13.3,0.0,0.0,0.0
2021-03-14,MT,30031,0,0,13.7,0.0,0,0.0
2021-03-21,MT,30031,0.0,0.0,15.1,0.0,0.0,0.0
2021-03-28,MT,30031,4.7,4.7,13.0,0.0,4.7,4.7
2021-04-04,MT,30031,4.4,4.3,12.0,0.0,4.4,4.4
2021-04-11,MT,30031,6.6,6.6,15.4,0.0,6.6,6.6
2021-04-18,MT,30031,7.6,6.7,16.0,0.0,8.4,7.6
2021-04-25,MT,30031,6.6,6.3,13.6,0.0,7.3,6.6
2021-05-02,MT,30031,5.7,5.7,14.4,0.0,5.7,5.7
2021-05-09,MT,30031,5.9,5.6,15.3,0.0,5.9,5.9
2021-05-16,MT,30031,5.3,4.4,15.4,0.0,6.0,5.3
2021-05-23,MT,30031,6.4,6.1,12.4,0.0,6.7,6.4
2021-05-30,MT,30031,0.0,0.0,14.3,0.0,0.0,0.0
2021-06-06,MT,30031,0.0,0.0,14.9,0.0,0.0,0.0
2021-06-13,MT,30031,0.0,0.0,15.1,0.0,0.0,0.0
2021-06-20,MT,30031,0.0,0.0,12.6,0.0,0.0,0.0
2021-06-27,MT,30031,0.0,0.0,12.9,0.0,0.0,0.0
2021-07-04,MT,30031,0.0,0.0,12.4,0.0,0.0,0.0
2021-07-11,MT,30031,0,0,15.7,0.0,0,0.0
2021-07-18,MT,30031,5.1,4.7,13.7,0.0,5.1,5.1
2021-07-25,MT,30031,6.1,5.1,13.0,0.0,6.3,6.1
2021-08-01,MT,30031,12.4,12.4,13.0,0.0,13.4,12.4
2021-08-08,MT,30031,10.1,10.1,13.0,0.0,10.1,10.1
2021-08-15,MT,30031,10.1,10.1,13.1,0.0,10.1,10.1
2021-08-22,MT,30031,15.7,15.7,15.3,0.0,15.7,15.7
2021-08-29,MT,30031,19.4,19.4,15.6,0.0,19.4,19.4
2021-09-05,MT,30031,23.1,23.1,15.1,0.0,23.1,23.1
2021-09-12,MT,30031,21.3,21.3,17.6,0.0,21.3,21.3
2021-09-19,MT,30031,28.9,28.9,17.7,0.0,30.1,28.9
2021-09-26,MT,30031,26.9,26.9,17.7,0.0,27.4,26.9
2021-10-03,MT,30031,30.4,30.4,22.1,0.0,30.4,30.4
2021-10-10,MT,30031,30.6,30.6,18.3,0.0,30.7,30.6
2021-10-17,MT,30031,25.1,25.0,19.0,0.0,26.0,25.1
2021-10-24,MT,30031,25.4,25.4,18.7,0.0,26.3,25.4
2021-10-31,MT,30031,26.0,26.0,17.0,0.0,26.1,26.0
2021-11-07,MT,30031,23.7,23.7,18.0,0.0,25.0,23.7
2021-11-14,MT,30031,22.0,22.0,18.0,0.0,22.6,22.0
2021-11-21,MT,30031,18.1,18.1,16.0,0.0,18.1,18.1
2021-11-28,MT,30031,21.7,21.7,19.4,0.0,21.7,21.7
2021-12-05,MT,30031,22.3,22.3,19.4,0.0,22.4,22.3
2021-12-12,MT,30031,14.3,14.3,18.6,0.0,14.3,14.3
2021-12-19,MT,30031,11.9,11.9,18.6,0.0,11.9,11.9
2021-12-26,MT,30031,13.1,13.1,18.0,0.0,13.1,13.1
