collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MT,30049,0,0,6.4,0.0,0,0.0
2020-08-09,MT,30049,0,0,7.3,0.0,0,0.0
2020-08-16,MT,30049,0,0,6.4,0.0,0,0.0
2020-08-23,MT,30049,0,0,5.2,0.0,0,0.0
2020-08-30,MT,30049,0,0,5.4,0.0,0,0.0
2020-09-06,MT,30049,0,0,6.0,0.0,0,0.0
2020-09-13,MT,30049,0,0,5.0,0.0,0,0.0
2020-09-20,MT,30049,0,0,5.3,0.0,0,0.0
2020-09-27,MT,30049,6.1,0,4.7,0,6.3,6.1
2020-10-04,MT,30049,6.7,0,7.4,0,6.9,6.7
2020-10-11,MT,30049,9.1,6.4,7.6,0.0,9.1,9.1
2020-10-18,MT,30049,12.9,10.4,7.3,0.0,12.9,12.9
2020-10-25,MT,30049,13.4,9.1,6.9,0.0,13.4,13.4
2020-11-01,MT,30049,15.0,12.3,7.5,0.0,15.0,15.0
2020-11-08,MT,30049,16.3,13.1,6.9,0,16.4,16.3
2020-11-15,MT,30049,19.0,15.7,7.4,0.0,19.0,19.0
2020-11-22,MT,30049,20.4,18.7,7.0,0,20.7,20.4
2020-11-29,MT,30049,24.1,23.3,7.6,0.0,24.1,24.1
2020-12-06,MT,30049,25.7,25.6,7.0,0.0,25.7,25.7
2020-12-13,MT,30049,31.0,31.0,6.7,0.0,31.0,31.0
2020-12-20,MT,30049,22.7,22.7,5.4,0,23.3,22.7
2020-12-27,MT,30049,18.7,18.7,6.4,0.0,18.7,18.7
2021-01-03,MT,30049,25.6,25.6,6.4,0,25.7,25.6
2021-01-10,MT,30049,22.6,22.6,7.1,0,23.0,22.6
2021-01-17,MT,30049,15.1,15.1,6.6,0,15.3,15.1
2021-01-24,MT,30049,12.3,12.1,7.3,0,12.6,12.3
2021-01-31,MT,30049,8.6,8.6,6.9,0,8.7,8.6
2021-02-07,MT,30049,7.9,7.9,5.7,0,8.3,7.9
2021-02-14,MT,30049,5.3,5.3,6.0,0.0,5.3,5.3
2021-02-21,MT,30049,0,0,0,0.0,0,0.0
2021-02-28,MT,30049,0,0,0,0.0,0,0.0
2021-03-07,MT,30049,0,0,5.4,0.0,0,0.0
2021-03-14,MT,30049,0,0,0,0.0,0,0.0
2021-03-21,MT,30049,0,0,6.1,0.0,0,0.0
2021-03-28,MT,30049,0,0,4.1,0.0,0,0.0
2021-04-04,MT,30049,0,0,0,0.0,0,0.0
2021-04-11,MT,30049,0,0,5.4,0.0,0,0.0
2021-04-18,MT,30049,0,0,5.4,0.0,0,0.0
2021-04-25,MT,30049,4.4,4.4,0,0.0,4.4,4.4
2021-05-02,MT,30049,0,0,4.7,0,0,0.0
2021-05-09,MT,30049,0,0,5.0,0.0,0,0.0
2021-05-16,MT,30049,0,0,5.4,0.0,0,0.0
2021-05-23,MT,30049,0,0,4.9,0.0,0,0.0
2021-05-30,MT,30049,0,0,5.7,0,0,0.0
2021-06-06,MT,30049,0,0,5.0,0.0,0,0.0
2021-06-13,MT,30049,5.6,5.6,5.3,0.0,5.6,5.6
2021-06-20,MT,30049,4.0,0,4.1,0.0,4.0,4.0
2021-06-27,MT,30049,0,0,4.9,0.0,0,0.0
2021-07-04,MT,30049,0,0,5.1,0.0,0,0.0
2021-07-11,MT,30049,0,0,4.4,0.0,0,0.0
2021-07-18,MT,30049,0,0,5.1,0.0,0,0.0
2021-07-25,MT,30049,0,0,6.3,0.0,0,0.0
2021-08-01,MT,30049,4.1,4.1,6.4,0,4.3,4.1
2021-08-08,MT,30049,6.1,6.1,6.6,0,6.3,6.1
2021-08-15,MT,30049,9.0,8.6,6.0,0,9.3,9.0
2021-08-22,MT,30049,10.4,10.4,5.6,0,10.6,10.4
2021-08-29,MT,30049,13.4,13.4,6.4,0.0,13.4,13.4
2021-09-05,MT,30049,19.1,19.1,7.3,0,19.3,19.1
2021-09-12,MT,30049,16.0,16.0,6.7,0,16.1,16.0
2021-09-19,MT,30049,17.0,17.0,6.9,0,18.1,17.0
2021-09-26,MT,30049,20.1,20.1,7.1,0,20.6,20.1
2021-10-03,MT,30049,33.1,33.1,7.4,0.0,33.1,33.1
2021-10-10,MT,30049,34.1,34.1,7.0,0.0,34.1,34.1
2021-10-17,MT,30049,34.0,34.0,6.6,0,34.3,34.0
2021-10-24,MT,30049,33.6,33.6,7.4,0.0,33.6,33.6
2021-10-31,MT,30049,18.7,18.7,7.0,0.0,18.7,18.7
2021-11-07,MT,30049,19.9,19.9,6.6,0,20.1,19.9
2021-11-14,MT,30049,15.3,15.3,6.0,0.0,15.3,15.3
2021-11-21,MT,30049,14.9,14.9,5.7,0.0,14.9,14.9
2021-11-28,MT,30049,11.7,11.7,5.4,0,12.0,11.7
2021-12-05,MT,30049,12.3,12.3,6.3,0,12.7,12.3
2021-12-12,MT,30049,7.6,7.6,5.1,0,8.4,7.6
2021-12-19,MT,30049,6.1,6.1,5.3,0.0,6.1,6.1
2021-12-26,MT,30049,7.4,7.4,6.1,0,7.7,7.4
