collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MT,30061,0,0,0.0,0,0.0,0.0
2020-08-09,MT,30061,0,0,0.0,0,0.0,0.0
2020-08-16,MT,30061,0,0,0.0,0,0.0,0.0
2020-08-23,MT,30061,0,0,0.0,0.0,0,0.0
2020-08-30,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,MT,30061,0,0.0,0.0,0.0,0,0.0
2020-09-27,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,MT,30061,0,0.0,0.0,0.0,0,0.0
2020-11-15,MT,30061,0,0.0,0.0,0.0,0,0.0
2020-11-22,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,MT,30061,0,0.0,0.0,0.0,0,0.0
2020-12-06,MT,30061,0,0.0,0.0,0.0,0,0.0
2020-12-13,MT,30061,0,0,0.0,0.0,0,0.0
2020-12-20,MT,30061,0,0,0.0,0.0,0,0.0
2020-12-27,MT,30061,0,0,0.0,0.0,0,0.0
2021-01-03,MT,30061,0,0,0.0,0.0,0,0.0
2021-01-10,MT,30061,0,0,0.0,0.0,0,0.0
2021-01-17,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,MT,30061,0,0,0.0,0.0,0,0.0
2021-01-31,MT,30061,0,0,0.0,0.0,0,0.0
2021-02-07,MT,30061,0,0,0.0,0.0,0,0.0
2021-02-14,MT,30061,0,0.0,0.0,0.0,0,0.0
2021-02-21,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,MT,30061,0,0.0,0.0,0.0,0,0.0
2021-03-07,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,MT,30061,0,0,0.0,0.0,0,0.0
2021-04-04,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,MT,30061,0,0,0.0,0.0,0,0.0
2021-05-30,MT,30061,0,0,0.0,0.0,0,0.0
2021-06-06,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,MT,30061,0,0,0.0,0.0,0,0.0
2021-06-20,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-18,MT,30061,0,0.0,0.0,0.0,0,0.0
2021-07-25,MT,30061,0,0,0.0,0.0,0,0.0
2021-08-01,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-08,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-15,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-22,MT,30061,0,0,0.0,0.0,0,0.0
2021-08-29,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-05,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-12,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-19,MT,30061,0,0,0.0,0.0,0,0.0
2021-09-26,MT,30061,0,0,0.0,0.0,0,0.0
2021-10-03,MT,30061,0,0,0.0,0.0,0,0.0
2021-10-10,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-17,MT,30061,0,0,0.0,0.0,0,0.0
2021-10-24,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-31,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-07,MT,30061,0,0,0.0,0.0,0,0.0
2021-11-14,MT,30061,0,0,0.0,0,0,0.0
2021-11-21,MT,30061,0,0,0.0,0.0,0,0.0
2021-11-28,MT,30061,0,0,0.0,0.0,0,0.0
2021-12-05,MT,30061,0,0,0.0,0.0,0,0.0
2021-12-12,MT,30061,0,0,0.0,0.0,0,0.0
2021-12-19,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-26,MT,30061,0.0,0.0,0.0,0.0,0.0,0.0
