collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,MT,30063,5.0,0,20.9,0.0,5.0,5.0
2020-08-09,MT,30063,4.8,0,20.5,0.0,4.8,4.8
2020-08-16,MT,30063,0,0,8.3,0.0,0,0.0
2020-08-23,MT,30063,0,0.0,25.0,0.0,0,0.0
2020-08-30,MT,30063,0,0.0,26.8,0.0,0,0.0
2020-09-06,MT,30063,0,0.0,22.200000000000003,0.0,0,0.0
2020-09-13,MT,30063,0,0.0,23.799999999999997,0.0,0,0.0
2020-09-20,MT,30063,6.3,6.0,21.9,0.0,6.3,6.3
2020-09-27,MT,30063,11.3,10.0,25.099999999999998,0.0,11.3,11.3
2020-10-04,MT,30063,9.3,8.4,23.6,0.0,9.3,9.3
2020-10-11,MT,30063,19.3,17.1,26.0,0.0,19.4,19.3
2020-10-18,MT,30063,22.200000000000003,20.7,23.9,0.0,22.3,22.200000000000003
2020-10-25,MT,30063,26.3,25.6,28.0,0.0,26.6,26.3
2020-11-01,MT,30063,39.9,36.7,26.7,0.0,40.5,39.9
2020-11-08,MT,30063,39.9,32.7,27.8,0.0,41.0,39.9
2020-11-15,MT,30063,52.0,37.1,23.9,0.0,52.0,52.0
2020-11-22,MT,30063,40.4,30.0,21.3,0.0,40.7,40.4
2020-11-29,MT,30063,35.599999999999994,32.2,22.2,0.0,36.3,35.599999999999994
2020-12-06,MT,30063,39.5,38.1,26.4,0.0,40.3,39.5
2020-12-13,MT,30063,28.200000000000003,27.1,29.6,0.0,28.200000000000003,28.200000000000003
2020-12-20,MT,30063,25.700000000000003,24.299999999999997,26.299999999999997,0.0,25.8,25.700000000000003
2020-12-27,MT,30063,20.1,18.3,27.700000000000003,0.0,20.5,20.1
2021-01-03,MT,30063,20.4,19.299999999999997,25.200000000000003,0.0,19.6,20.4
2021-01-10,MT,30063,20.0,14.9,24.6,0.0,20.4,20.0
2021-01-17,MT,30063,16.1,11.6,25.9,0.0,17.1,16.1
2021-01-24,MT,30063,13.0,11.3,25.4,0.0,14.100000000000001,13.0
2021-01-31,MT,30063,19.8,17.0,22.8,0.0,19.9,19.8
2021-02-07,MT,30063,17.0,15.899999999999999,22.8,0.0,17.0,17.0
2021-02-14,MT,30063,4.1,4.1,22.9,0.0,4.1,4.1
2021-02-21,MT,30063,7.0,7.0,20.2,0.0,7.0,7.0
2021-02-28,MT,30063,5.6,5.6,18.4,0.0,5.6,5.6
2021-03-07,MT,30063,5.1,5.1,16.8,0.0,5.1,5.1
2021-03-14,MT,30063,5.6,5.6,23.3,0.0,5.6,5.6
2021-03-21,MT,30063,12.7,12.7,24.8,0.0,12.8,12.7
2021-03-28,MT,30063,16.3,16.1,23.700000000000003,0.0,16.3,16.3
2021-04-04,MT,30063,7.3,7.3,25.0,0.0,7.3,7.3
2021-04-11,MT,30063,6.7,6.7,25.1,0.0,6.7,6.7
2021-04-18,MT,30063,8.7,8.4,25.4,0.0,8.7,8.7
2021-04-25,MT,30063,0,0,23.5,0.0,0,0.0
2021-05-02,MT,30063,5.4,5.4,28.5,0.0,5.4,5.4
2021-05-09,MT,30063,5.0,5.0,26.0,0.0,5.0,5.0
2021-05-16,MT,30063,0,0,22.7,0.0,0,0.0
2021-05-23,MT,30063,4.0,0,25.6,0.0,4.0,4.0
2021-05-30,MT,30063,5.6,5.0,24.6,0.0,5.6,5.6
2021-06-06,MT,30063,5.6,5.6,22.799999999999997,0.0,5.6,5.6
2021-06-13,MT,30063,5.3,5.3,23.9,0.0,5.3,5.3
2021-06-20,MT,30063,0,0,26.5,0.0,0,0.0
2021-06-27,MT,30063,5.7,5.7,25.799999999999997,0.0,5.7,5.7
2021-07-04,MT,30063,5.4,5.4,25.700000000000003,0.0,5.4,5.4
2021-07-11,MT,30063,6.1,6.1,25.5,0.0,6.1,6.1
2021-07-18,MT,30063,9.0,9.0,27.6,0.0,9.0,9.0
2021-07-25,MT,30063,12.3,11.3,28.8,0.0,12.3,12.3
2021-08-01,MT,30063,19.5,18.5,24.7,0.0,20.5,19.5
2021-08-08,MT,30063,23.299999999999997,22.700000000000003,27.0,0.0,23.4,23.299999999999997
2021-08-15,MT,30063,24.1,23.799999999999997,27.4,0.0,24.1,24.1
2021-08-22,MT,30063,26.0,26.0,27.299999999999997,0.0,26.6,26.0
2021-08-29,MT,30063,30.400000000000002,30.3,28.700000000000003,0.0,30.5,30.400000000000002
2021-09-05,MT,30063,35.4,34.599999999999994,28.4,0.0,35.4,35.4
2021-09-12,MT,30063,45.0,44.5,31.9,0.0,45.5,45.0
2021-09-19,MT,30063,49.2,48.7,30.799999999999997,0.0,49.599999999999994,49.2
2021-09-26,MT,30063,51.3,50.6,31.799999999999997,0,52.2,51.3
2021-10-03,MT,30063,51.400000000000006,50.599999999999994,30.1,0.0,52.0,51.400000000000006
2021-10-10,MT,30063,51.3,51.1,30.200000000000003,0.0,51.3,51.3
2021-10-17,MT,30063,48.0,48.0,31.5,0.0,48.0,48.0
2021-10-24,MT,30063,44.6,43.3,28.7,0.0,44.6,44.6
2021-10-31,MT,30063,37.6,37.3,28.6,0.0,37.6,37.6
2021-11-07,MT,30063,32.699999999999996,32.3,28.799999999999997,0.0,32.699999999999996,32.699999999999996
2021-11-14,MT,30063,26.6,26.0,25.6,0.0,26.6,26.6
2021-11-21,MT,30063,18.7,18.4,24.5,0.0,18.7,18.7
2021-11-28,MT,30063,11.6,11.4,24.5,0.0,11.6,11.6
2021-12-05,MT,30063,8.9,8.1,19.1,0.0,8.9,8.9
2021-12-12,MT,30063,8.4,7.9,18.3,0.0,8.4,8.4
2021-12-19,MT,30063,16.4,16.1,21.6,0.0,16.4,16.4
2021-12-26,MT,30063,19.1,18.6,22.799999999999997,0.0,19.1,19.1
