collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,NC,37019,4.9,0.0,0.0,0.0,4.9,4.9
2020-08-23,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,NC,37019,0,0,0.0,0.0,0,0.0
2020-09-06,NC,37019,4.6,0,4.0,0.0,4.6,4.6
2020-09-13,NC,37019,4.9,4.0,4.4,0.0,5.0,4.9
2020-09-20,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,NC,37019,4.6,0.0,0.0,0.0,4.6,4.6
2020-10-04,NC,37019,11.3,9.3,0.0,0.0,11.9,11.3
2020-10-11,NC,37019,16.1,14.9,4.4,0.0,16.1,16.1
2020-10-18,NC,37019,16.7,15.6,4.1,0.0,16.7,16.7
2020-10-25,NC,37019,10.7,10.3,0.0,0.0,10.9,10.7
2020-11-01,NC,37019,7.3,6.3,0.0,0.0,7.3,7.3
2020-11-08,NC,37019,5.1,0.0,0.0,0.0,5.1,5.1
2020-11-15,NC,37019,10.1,8.7,0.0,0.0,10.1,10.1
2020-11-22,NC,37019,9.7,9.0,0.0,0.0,10.6,9.7
2020-11-29,NC,37019,16.9,15.9,0.0,0.0,16.9,16.9
2020-12-06,NC,37019,14.1,12.6,0.0,0.0,14.3,14.1
2020-12-13,NC,37019,10.3,9.3,0.0,0.0,10.4,10.3
2020-12-20,NC,37019,11.0,8.4,0.0,0.0,11.0,11.0
2020-12-27,NC,37019,14.4,12.3,4.4,0.0,14.4,14.4
2021-01-03,NC,37019,15.1,13.6,0.0,0.0,15.4,15.1
2021-01-10,NC,37019,17.1,15.3,5.1,0.0,17.3,17.1
2021-01-17,NC,37019,16.9,15.4,8.6,0.0,16.9,16.9
2021-01-24,NC,37019,19.3,17.3,8.6,0.0,19.3,19.3
2021-01-31,NC,37019,19.7,17.9,9.6,0.0,19.9,19.7
2021-02-07,NC,37019,19.6,18.4,8.7,0.0,19.7,19.6
2021-02-14,NC,37019,15.7,14.6,8.0,0.0,15.7,15.7
2021-02-21,NC,37019,10.6,9.7,9.0,0.0,10.6,10.6
2021-02-28,NC,37019,9.0,7.4,9.6,0.0,9.1,9.0
2021-03-07,NC,37019,6.6,5.4,6.6,0.0,6.6,6.6
2021-03-14,NC,37019,4.6,0,6.6,0.0,4.6,4.6
2021-03-21,NC,37019,0,0,8.1,0.0,0,0.0
2021-03-28,NC,37019,7.0,5.4,5.9,0.0,7.0,7.0
2021-04-04,NC,37019,5.9,5.4,6.1,0.0,6.0,5.9
2021-04-11,NC,37019,8.0,7.6,5.7,0.0,8.3,8.0
2021-04-18,NC,37019,0.0,0.0,5.9,0.0,0.0,0.0
2021-04-25,NC,37019,0,0,6.4,0.0,0,0.0
2021-05-02,NC,37019,4.6,4.0,6.1,0.0,4.6,4.6
2021-05-09,NC,37019,0,0,7.0,0.0,4.0,0.0
2021-05-16,NC,37019,0.0,0.0,4.9,0.0,0.0,0.0
2021-05-23,NC,37019,0.0,0.0,7.0,0.0,0.0,0.0
2021-05-30,NC,37019,0.0,0.0,5.6,0.0,0.0,0.0
2021-06-06,NC,37019,0.0,0.0,5.9,0.0,0.0,0.0
2021-06-13,NC,37019,0.0,0.0,5.6,0.0,0.0,0.0
2021-06-20,NC,37019,0.0,0.0,4.7,0.0,0.0,0.0
2021-06-27,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,NC,37019,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,NC,37019,0.0,0.0,4.9,0.0,0.0,0.0
2021-07-18,NC,37019,6.4,5.1,4.6,0.0,6.7,6.4
2021-07-25,NC,37019,11.1,9.1,4.6,0.0,11.7,11.1
2021-08-01,NC,37019,20.7,18.4,4.7,0.0,20.9,20.7
2021-08-08,NC,37019,26.1,24.1,4.4,0.0,26.1,26.1
2021-08-15,NC,37019,24.7,22.0,4.6,0.0,25.1,24.7
2021-08-22,NC,37019,23.7,21.1,4.7,0.0,24.0,23.7
2021-08-29,NC,37019,19.1,18.1,4.4,0.0,19.4,19.1
2021-09-05,NC,37019,21.3,18.9,5.0,0.0,21.4,21.3
2021-09-12,NC,37019,20.4,19.0,4.4,0.0,20.9,20.4
2021-09-19,NC,37019,15.7,14.1,4.9,0.0,16.0,15.7
2021-09-26,NC,37019,13.6,12.0,4.9,0.0,14.4,13.6
2021-10-03,NC,37019,12.1,10.9,4.4,0.0,13.0,12.1
2021-10-10,NC,37019,8.9,8.4,4.0,0.0,9.7,8.9
2021-10-17,NC,37019,7.1,6.4,4.3,0.0,8.1,7.1
2021-10-24,NC,37019,6.9,5.9,4.0,0.0,7.1,6.9
2021-10-31,NC,37019,0,0,4.3,0.0,0,0.0
2021-11-07,NC,37019,0,0,0.0,0.0,0,0.0
2021-11-14,NC,37019,0,0,4.1,0.0,0,0.0
2021-11-21,NC,37019,6.6,5.6,0.0,0.0,6.9,6.6
2021-11-28,NC,37019,9.3,5.9,4.1,0.0,10.7,9.3
2021-12-05,NC,37019,7.3,6.3,0.0,0.0,7.7,7.3
2021-12-12,NC,37019,7.3,6.3,0.0,0.0,7.9,7.3
2021-12-19,NC,37019,8.4,6.1,0.0,0.0,9.0,8.4
2021-12-26,NC,37019,13.7,12.0,0.0,0.0,14.3,13.7
