collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,NC,37023,9.7,9.7,14.7,0.0,9.7,9.7
2020-08-09,NC,37023,10.1,10.1,13.1,0.0,10.1,10.1
2020-08-16,NC,37023,10.3,10.3,14.4,0.0,10.3,10.3
2020-08-23,NC,37023,10.7,10.7,15.3,0.0,10.7,10.7
2020-08-30,NC,37023,7.4,7.4,13.1,0.0,7.4,7.4
2020-09-06,NC,37023,8.7,8.4,12.0,0.0,8.7,8.7
2020-09-13,NC,37023,5.7,5.6,9.0,0.0,5.7,5.7
2020-09-20,NC,37023,6.1,6.1,11.1,0.0,6.1,6.1
2020-09-27,NC,37023,8.1,7.9,11.6,0.0,8.1,8.1
2020-10-04,NC,37023,10.1,10.0,14.3,0.0,10.1,10.1
2020-10-11,NC,37023,9.3,9.3,14.3,0.0,9.3,9.3
2020-10-18,NC,37023,9.0,8.7,12.1,0.0,9.0,9.0
2020-10-25,NC,37023,7.0,7.0,11.3,0.0,7.0,7.0
2020-11-01,NC,37023,6.6,6.6,13.1,0.0,6.6,6.6
2020-11-08,NC,37023,9.0,9.0,14.4,0.0,9.0,9.0
2020-11-15,NC,37023,11.6,11.6,17.9,0.0,11.6,11.6
2020-11-22,NC,37023,16.1,16.1,15.9,0.0,16.1,16.1
2020-11-29,NC,37023,17.1,17.1,16.3,0.0,17.1,17.1
2020-12-06,NC,37023,20.3,20.3,18.3,0.0,20.3,20.3
2020-12-13,NC,37023,23.4,23.4,17.9,0.0,23.4,23.4
2020-12-20,NC,37023,19.3,19.1,20.9,0.0,19.3,19.3
2020-12-27,NC,37023,23.7,23.7,24.3,0.0,23.7,23.7
2021-01-03,NC,37023,28.9,28.9,29.9,0.0,28.9,28.9
2021-01-10,NC,37023,32.3,32.3,35.0,0.0,32.3,32.3
2021-01-17,NC,37023,30.1,30.0,19.6,0,30.4,30.1
2021-01-24,NC,37023,21.4,21.3,9.7,0,21.9,21.4
2021-01-31,NC,37023,10.7,10.7,10.4,0,10.9,10.7
2021-02-07,NC,37023,9.3,9.3,9.3,0.0,9.3,9.3
2021-02-14,NC,37023,9.7,9.4,10.1,0.0,9.7,9.7
2021-02-21,NC,37023,9.6,9.6,10.7,0.0,9.6,9.6
